# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 13:11:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25ee35bb.json
# init = /tmp/RtmpC8O1hA/init-b41c25f45d9cb_4.json
# random
#   seed = 4352010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0429_rep043_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605311411-4-487f43.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0429_rep043_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605311411-4-89cc0a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.151748
# Diagonal elements of inverse mass matrix:
# 0.0542191, 0.0213562, 0.00637251, 0.00424451, 0.00521558, 0.00908361, 0.00845159
-505.057,0.999586,0.151748,5,31,0,506.816,-1.1692,-1.74715,-0.798225,-0.698857,4.4247,0.640574,-0.751443,5.18301,2.42101,3.14219e-05,4.04748e-05,5.22058e-05,6.74546e-05,8.73575e-05,0.000113475,0.000147994,0.000194057,0.000256319,0.000341935,0.000462299,0.000635945,0.000892743,0.00127891,0.00186192,0.0027341,0.00401345,0.00583959,0.00836295,0.0117255,0.016034,0.0212953,0.0274101,0.0341588,0.0412062,0.0481239,0.054427,0.0596207,0.063258,0.065013,0.0647625,0.0626208,0.0588889,0.0539687,0.0482949,0.0422862,0.0363093,0.0306523,0.0255118,0.020993,0.0171239,0.0138768,0.0111915,0.0089943,0.00720973,0.00576799,0.00460765,0.00367639,0.00293054,0.00233416,0.00185788,0.0014779,0.00117498,0.00093363,0.000741404,0.000588314,0.000466371,0.00036919,0.000291688,0.000229826,0.000180404,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.66175,-6.28615,-11.8039,-0,-0,-4.78394,-4.44599,-8.26609,-15.3971,-39.5653,-23.6371,-19.135,-24.2718,-29.109,-31.0173,-33.1264,-43.7307,-30.1073,-30.4772,-45.3136,-32.1129,-39.3956,-34.7962,-29.8411,-31.3654,-7.33723,-7.72713,-24.4037,-0,-0,-4.71116,-9.86465,-5.15543,-0,-0,-5.83257,-0,-0,-0,-0,-6.97643,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,2,10,3,10,8,12,13,13,14,17,9,7,13,11,7,12,8,3,3,3,3,3,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
-505.526,0.995432,0.151748,4,31,0,506.379,-1.67494,-1.56328,-0.759346,-0.6515,4.45694,0.771486,-0.620435,5.36636,2.35759,1.43718e-05,1.87214e-05,2.44155e-05,3.189e-05,4.17372e-05,5.47729e-05,7.21427e-05,9.54952e-05,0.000127282,0.000171308,0.000233762,0.000325137,0.0004634,0.000678587,0.00101874,0.00155688,0.00239796,0.00368386,0.0055927,0.00832774,0.0120915,0.0170119,0.0231102,0.0302597,0.0381643,0.0463631,0.0542603,0.0611757,0.0664215,0.0694213,0.0698806,0.0678934,0.0638579,0.0583181,0.0518518,0.0450025,0.038232,0.0318909,0.0262055,0.0212833,0.0171358,0.0137104,0.010921,0.00867159,0.00686967,0.00543285,0.0042909,0.00338546,0.00266883,0.00210242,0.00165523,0.00130247,0.0010244,0.00080532,0.000632784,0.000496929,0.000389955,0.000305696,0.000239292,0.000186915,0.000145559,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.2955,-6.88919,-12.9301,-0,-0,-5.18629,-4.78816,-8.8305,-16.2954,-41.4423,-24.4856,-19.5951,-24.57,-29.1396,-30.734,-32.5408,-42.681,-29.2706,-29.588,-44.0175,-31.2603,-38.4717,-34.1114,-29.3767,-31.0089,-7.28357,-7.69967,-24.3995,-0,-0,-4.7477,-9.96128,-5.21529,-0,-0,-5.92612,-0,-0,-0,-0,-7.12427,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,3,2,6,5,1,11,11,14,14,14,19,11,13,9,15,10,7,5,8,0,3,3,1,2,2,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0
-506.232,0.99703,0.151748,4,15,0,507.325,-0.65052,-1.674,-0.831703,-0.640677,4.71448,0.604949,-0.541088,5.13567,2.38805,2.60897e-05,3.41163e-05,4.46788e-05,5.86276e-05,7.71351e-05,0.000101847,0.000135129,0.000180478,0.000243258,0.000331999,0.000460638,0.000651929,0.000941721,0.00138328,0.00205056,0.00303927,0.00446452,0.00645425,0.00913762,0.0126287,0.0170066,0.0222226,0.0281475,0.034567,0.041187,0.047649,0.0535522,0.0584814,0.0620427,0.0639134,0.0639148,0.0620818,0.0586589,0.0540192,0.0485765,0.0427302,0.0368328,0.0311709,0.0259542,0.0213128,0.0173036,0.0139234,0.0111275,0.0088483,0.00700987,0.00553823,0.0043666,0.00343744,0.00270267,0.00212286,0.00166606,0.00130662,0.00102405,0.000802072,0.000627763,0.000490907,0.000383437,0.000299003,0.000232617,0.000180371,0.000139212,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.5833,-6.18964,-11.5923,-0,-0,-4.69535,-4.37178,-8.14831,-15.2266,-39.2732,-23.554,-19.1378,-24.3511,-29.271,-31.2295,-33.3592,-44.0036,-30.2522,-30.5723,-45.3762,-32.1026,-39.32,-34.6814,-29.7123,-31.2144,-7.30285,-7.69689,-24.3411,-0,-0,-4.72753,-9.92087,-5.19608,-0,-0,-5.91351,-0,-0,-0,-0,-7.12831,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,9,3,3,4,10,5,6,16,9,12,16,20,13,3,7,13,12,6,2,4,9,3,0,2,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
-508.636,0.984136,0.151748,4,15,0,511.182,-0.881253,-1.28858,-0.728725,-0.533007,4.70972,0.483219,-0.443069,5.09688,2.23025,6.50817e-06,8.76356e-06,1.18177e-05,1.59678e-05,2.16343e-05,2.94222e-05,4.02248e-05,5.54032e-05,7.71181e-05,0.000108965,0.000157202,0.00023304,0.000356494,0.000562098,0.000906326,0.00147589,0.00239503,0.00382883,0.00597927,0.00907117,0.0133272,0.0187971,0.0254242,0.0330224,0.0412646,0.0496842,0.0576923,0.0646126,0.0697452,0.0724783,0.0724557,0.06973,0.0647583,0.0582279,0.0508603,0.0432897,0.036009,0.0293566,0.0235256,0.0185864,0.0145183,0.011242,0.00864863,0.00662222,0.00505354,0.00384722,0.00292382,0.00221927,0.00168293,0.0012753,0.000965866,0.000731177,0.000553294,0.000418531,0.000316465,0.000239165,0.000180604,0.000136208,0.000102502,7.68586e-05,5.72925e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.48383,-7.00611,-13.037,-0,-0,-5.11946,-4.70265,-8.63589,-15.8962,-40.3926,-23.874,-19.1265,-24.0165,-28.5263,-30.1328,-31.9549,-41.9915,-28.8726,-29.2944,-43.7935,-31.2773,-38.7227,-34.5383,-29.9159,-31.7541,-7.49934,-7.97066,-25.3941,-0,-0,-5.01732,-10.5753,-5.56041,-0,-0,-6.38722,-0,-0,-0,-0,-7.77876,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,4,2,3,8,12,14,17,10,14,16,8,19,17,11,5,7,6,6,3,1,1,2,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-508.716,0.997515,0.151748,5,31,0,511.855,-2.00034,-2.12312,-0.914007,-0.599753,4.14502,0.733123,-0.765799,5.34205,2.3881,4.33431e-05,5.71281e-05,7.53377e-05,9.94223e-05,0.000131331,0.000173699,0.000230124,0.000305571,0.000407001,0.000544339,0.000732013,0.000991219,0.00135284,0.00186056,0.00257361,0.00356891,0.00494126,0.00680009,0.00926035,0.0124257,0.0163647,0.0210735,0.0264634,0.0323546,0.0384845,0.0445255,0.050108,0.0548482,0.0583846,0.0604356,0.0608657,0.0597108,0.0571408,0.0534116,0.0488282,0.0437158,0.0383917,0.0331377,0.0281771,0.0236605,0.0196661,0.016213,0.0132791,0.0108189,0.00877642,0.0070939,0.00571638,0.00459416,0.00368369,0.00294757,0.00235418,0.00187707,0.00149433,0.00118792,0.000943031,0.000747634,0.00059194,0.000468039,0.000369548,0.000291335,0.000229285,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.28688,-5.96244,-11.271,-0,-0,-4.68201,-4.38799,-8.22526,-15.439,-39.9519,-24.017,-19.545,-24.8935,-29.9357,-31.9351,-34.0884,-44.8988,-30.7899,-31.0007,-45.7958,-32.227,-39.2528,-34.4305,-29.3392,-30.6637,-7.13849,-7.4879,-23.5732,-0,-0,-4.52646,-9.47137,-4.94852,-0,-0,-5.60384,-0,-0,-0,-0,-6.73556,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,1,3,2,1,5,3,5,8,6,9,12,4,12,17,10,15,15,6,11,10,7,8,8,0,5,2,3,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-509.979,0.986134,0.151748,4,15,0,513.594,-2.1836,-1.97839,-0.547078,-0.475776,4.18348,0.766866,-0.43742,5.13337,2.07734,1.00944e-05,1.37897e-05,1.88464e-05,2.57737e-05,3.5278e-05,4.83454e-05,6.63647e-05,9.13155e-05,0.000126069,0.000174887,0.000244299,0.00034467,0.000492935,0.000716964,0.00106192,0.00159874,0.00243427,0.00372072,0.00565913,0.00848815,0.0124489,0.0177135,0.0243172,0.0321008,0.0406899,0.0495141,0.0578608,0.0649522,0.070052,0.0726143,0.0724388,0.0696981,0.0648313,0.0584263,0.0511266,0.043551,0.0362239,0.0295265,0.0236781,0.0187511,0.0147108,0.0114616,0.00888434,0.00685976,0.00528042,0.00405472,0.0031072,0.00237698,0.00181563,0.001385,0.00105525,0.000803124,0.000610621,0.000463819,0.000351987,0.000266877,0.000202157,0.000152975,0.000115622,8.72654e-05,6.57466e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.24048,-6.84768,-12.8771,-0,-0,-5.17448,-4.76908,-8.77225,-16.1337,-40.8823,-24.0721,-19.2107,-24.044,-28.4972,-30.0751,-31.9022,-41.9615,-28.8751,-29.2994,-43.7755,-31.2399,-38.6548,-34.472,-29.8623,-31.7022,-7.48641,-7.953,-25.315,-0,-0,-4.98208,-10.4875,-5.50787,-0,-0,-6.31132,-0,-0,-0,-0,-7.67602,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,11,5,4,9,12,17,9,18,18,14,7,13,12,10,5,5,7,3,1,3,1,1,0,1,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0
