# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 13:46:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c241bbf061.json
# init = /tmp/RtmpC8O1hA/init-b41c2501f61fe_4.json
# random
#   seed = 4452005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0434_rep044_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605311446-4-717e5d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0434_rep044_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605311446-4-86460c.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0534248
# Diagonal elements of inverse mass matrix:
# 0.112758, 0.0965139, 0.122669, 0.0748342, 0.148284, 0.096153, 0.243103
-539.775,0.999544,0.0534248,5,31,0,540.481,-2.49397,-3.17653,-1.03088,-0.165319,3.29258,-0.369164,-1.74006,5.08958,2.19657,1.77677e-05,2.70767e-05,4.12216e-05,6.26696e-05,9.50973e-05,0.000143935,0.000217104,0.000325979,0.000486568,0.00072083,0.00105799,0.00153556,0.00219969,0.00310456,0.00431022,0.00587892,0.0078697,0.0103316,0.0132958,0.0167683,0.0207235,0.0250894,0.0297522,0.0345583,0.0393201,0.043826,0.047855,0.0511935,0.0536555,0.0551011,0.0554526,0.0547022,0.0529115,0.0502021,0.0467406,0.0427211,0.0383483,0.0338213,0.0293206,0.0249987,0.0209736,0.0173271,0.0141053,0.0113236,0.00897209,0.00702225,0.00543386,0.00416068,0.00315504,0.00237124,0.0017677,0.00130799,0.000961273,0.000702094,0.000509899,0.000368405,0.000264917,0.000189673,0.000135258,9.6098e-05,6.80413e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.11944,-0,-10.8935,-0,-9.68947,-4.57255,-21.6016,-16.3531,-11.6295,-11.0559,-24.604,-20.1906,-22.6521,-25.0202,-18.2375,-26.7493,-38.0272,-28.9859,-28.9223,-29.0585,-38.2087,-35.9004,-24.5051,-44.1429,-29.3494,-30.48,-17.6473,-18.4447,-3.86449,-8.11097,-8.52241,-8.96172,-14.1409,-4.95867,-5.2151,-16.4462,-5.75876,-12.0887,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,0,4,4,2,4,11,13,12,7,8,11,12,9,7,14,11,10,11,5,8,5,5,4,5,4,2,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-539.844,0.998183,0.0534248,6,63,0,542.206,-1.04393,-2.86144,-1.19182,-0.474282,5.27043,0.853181,-0.491062,5.33586,2.27027,5.42049e-05,7.41013e-05,0.000101357,0.000138744,0.000190121,0.000260903,0.000358744,0.000494563,0.000683923,0.000948479,0.00131675,0.00182397,0.00251144,0.00342556,0.0046163,0.00613483,0.00802991,0.0103425,0.0130987,0.0163007,0.0199191,0.0238781,0.0280686,0.0323564,0.0365919,0.0406187,0.0442794,0.0474214,0.0499025,0.0515984,0.0524121,0.0522877,0.0512286,0.0493067,0.0466444,0.0433902,0.0397016,0.0357357,0.0316429,0.0275622,0.0236183,0.019918,0.0165453,0.0135564,0.0109758,0.0087981,0.00699476,0.00552371,0.0043378,0.00339062,0.00263972,0.00204803,0.00158417,0.00122206,0.000940422,0.00072208,0.000553282,0.000423113,0.000322957,0.000246049,0.000187101,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.9869,-0,-10.7563,-0,-9.64916,-4.57149,-21.6762,-16.4662,-11.7482,-11.2044,-25.0117,-20.5857,-23.1555,-25.6282,-18.7034,-27.4381,-38.9699,-29.6427,-29.4862,-29.5099,-38.6289,-36.1164,-24.5216,-43.9253,-29.0373,-29.9844,-17.2662,-17.9566,-3.74573,-7.83226,-8.2033,-8.60179,-13.5362,-4.73322,-4.96259,-15.5961,-5.44039,-11.3735,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,4,2,0,1,4,1,3,1,4,9,6,9,14,13,13,12,9,7,10,12,11,7,8,2,3,6,5,5,1,3,0,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
-540.77,0.993853,0.0534248,6,63,0,546.497,-1.57251,-2.39674,-1.60038,0.524875,6.06572,0.416225,-0.89904,5.56015,1.92808,5.94267e-07,1.37538e-06,3.16336e-06,7.18827e-06,1.59836e-05,3.43284e-05,7.02932e-05,0.000136075,0.000248528,0.000429523,0.000706249,0.00111148,0.00168368,0.00246685,0.00350979,0.00486426,0.0065817,0.00870771,0.0112744,0.0142917,0.0177399,0.0215537,0.0256368,0.0298706,0.0341237,0.0382608,0.0421473,0.0456518,0.0486486,0.0510187,0.0526533,0.0534585,0.0533631,0.0523308,0.0503787,0.0475965,0.0441449,0.0402214,0.0360156,0.0316889,0.0273751,0.0231861,0.0192167,0.0155464,0.0122398,0.0093454,0.00689367,0.00489401,0.00333241,0.00217115,0.0013524,0.000806254,0.000461384,0.000254528,0.000136034,7.07894e-05,3.60314e-05,1.80092e-05,8.86776e-06,4.31289e-06,2.07613e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.38678,-0,-11.3044,-0,-10.0469,-4.74355,-22.4261,-16.9923,-12.0958,-11.5116,-25.6461,-21.0653,-23.6443,-26.1066,-18.9995,-27.7804,-39.3007,-29.7556,-29.4403,-29.2885,-38.0983,-35.4021,-23.9055,-42.6299,-28.0825,-28.9202,-16.619,-17.2589,-3.59812,-7.52841,-7.90396,-8.32786,-13.2092,-4.67287,-4.97715,-15.9592,-5.70406,-12.265,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,2,1,4,14,5,6,9,6,9,12,6,11,11,7,5,6,18,13,10,5,9,4,6,4,2,2,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0
-541.396,0.985926,0.0534248,5,31,0,542.873,-1.17629,-2.2315,-1.56366,0.451634,5.79241,0.562466,-0.718393,5.11232,1.89705,5.9554e-07,1.30541e-06,2.85855e-06,6.24395e-06,1.35575e-05,2.90522e-05,6.06941e-05,0.000121784,0.000231984,0.000417648,0.000711852,0.00115432,0.00179122,0.00267465,0.00386154,0.00541151,0.00738304,0.00982718,0.0127785,0.0162443,0.0201955,0.0245344,0.0291273,0.0338173,0.0384377,0.0428224,0.0468112,0.0502518,0.0530023,0.0549328,0.0559302,0.0559055,0.0548066,0.0526425,0.0495139,0.0456219,0.0412197,0.0365443,0.0317893,0.0271081,0.0226241,0.0184381,0.0146312,0.0112657,0.00838424,0.00600717,0.00412903,0.00271644,0.00170993,0.00103188,0.000599353,0.000336823,0.00018415,9.84456e-05,5.16827e-05,2.67376e-05,1.36679e-05,6.91832e-06,3.47313e-06,1.73148e-06,8.5807e-07,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.32486,-0,-11.1134,-0,-9.81714,-4.6226,-21.8,-16.4801,-11.7069,-11.123,-24.7525,-20.3207,-22.811,-25.2055,-18.3698,-26.9164,-38.1865,-29.0165,-28.8365,-28.8409,-37.7513,-35.3308,-24.044,-43.2231,-28.6996,-29.7831,-17.2431,-18.0396,-3.78874,-7.98667,-8.4492,-8.97199,-14.3442,-5.1148,-5.48971,-17.7253,-6.3713,-13.7527,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,2,7,3,4,3,8,5,6,11,8,10,9,13,9,7,13,9,10,7,10,5,4,6,3,6,8,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
-544.515,0.985814,0.0534248,6,127,0,547.793,-1.34744,-3.45998,-1.08783,-0.536764,3.3466,-0.423018,-0.440277,5.09761,2.64013,0.000148065,0.000198123,0.00026499,0.00035421,0.000473071,0.000631091,0.000840572,0.00111722,0.00148072,0.00195527,0.00256972,0.00335729,0.0043546,0.00559978,0.00712975,0.00897672,0.0111641,0.0137025,0.016586,0.0197894,0.0232667,0.0269317,0.0306751,0.0343695,0.0378753,0.0410495,0.0437556,0.0458743,0.0473132,0.0480147,0.0479606,0.0471718,0.0457049,0.0436456,0.0410998,0.0381849,0.0350215,0.0317259,0.028404,0.0251474,0.0220302,0.0191086,0.016421,0.0139897,0.0118229,0.00991768,0.00826274,0.00684081,0.00563101,0.00461077,0.00375718,0.00304812,0.00246288,0.00198262,0.00159057,0.00127201,0.00101427,0.000806529,0.000639679,0.000506092,0.000399449,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.43652,-0,-9.88696,-0,-8.9901,-4.29017,-20.496,-15.6904,-11.2822,-10.8434,-24.3901,-20.2235,-22.9142,-25.5438,-18.7748,-27.7367,-39.6626,-30.3625,-30.3738,-30.5396,-40.1121,-37.5798,-25.534,-45.7144,-30.1661,-31.0556,-17.8061,-18.415,-3.81534,-7.91523,-8.21839,-8.53887,-13.3132,-4.61344,-4.796,-14.9545,-5.17947,-10.7587,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,4,2,3,7,5,6,9,8,8,7,13,12,10,5,5,8,11,10,5,6,2,14,3,4,3,2,5,3,2,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0
-543.101,1,0.0534248,4,15,0,545.307,-1.37774,-3.30456,-1.11321,-0.466484,3.35402,-0.422476,-0.409947,5.01887,2.55114,0.000110194,0.000150562,0.000205603,0.000280546,0.000382397,0.000520469,0.000707006,0.000957894,0.00129336,0.00173858,0.00232397,0.003085,0.00406117,0.00529417,0.00682495,0.00868992,0.0109166,0.0135193,0.0164943,0.0198178,0.0234431,0.0272784,0.031207,0.0350915,0.0387811,0.0421208,0.0449622,0.0471752,0.0486591,0.0493513,0.0492324,0.048327,0.046699,0.0444444,0.041681,0.038539,0.0351509,0.0316434,0.028131,0.0247114,0.0214626,0.0184422,0.0156879,0.0132198,0.0110427,0.00914935,0.00752389,0.00614456,0.00498635,0.00402297,0.00322849,0.00257832,0.00204993,0.00162318,0.00128046,0.00100661,0.000788813,0.000616302,0.000480179,0.000373137,0.000289226,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.50628,-0,-9.97434,-0,-9.03493,-4.30364,-20.5237,-15.6847,-11.2595,-10.805,-24.2698,-20.0988,-22.7488,-25.3377,-18.6116,-27.485,-39.2979,-30.0879,-30.112,-30.2977,-39.8324,-37.3622,-25.4217,-45.5852,-30.1329,-31.079,-17.8544,-18.5025,-3.84145,-7.98623,-8.30973,-8.65207,-13.518,-4.69407,-4.88967,-15.2766,-5.30105,-11.0315,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,0,1,1,1,5,6,5,6,1,5,5,8,6,13,7,10,13,12,12,13,6,6,5,8,9,1,4,4,4,0,2,2,0,2,2,0,0,0,1,0,1,0,1,1,1,0,1
