# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 14:25:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c225d58732.json
# init = /tmp/RtmpC8O1hA/init-b41c2eafc3e4_3.json
# random
#   seed = 4452010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0439_rep044_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605311525-3-27b891.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0439_rep044_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605311525-3-584798.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.178739
# Diagonal elements of inverse mass matrix:
# 0.0413513, 0.0398483, 0.0090938, 0.00461967, 0.00753584, 0.00983406, 0.0097913
-542.37,0.999339,0.178739,5,31,0,543.879,-0.390733,-2.12153,-0.859308,-0.738577,4.7287,0.503139,-0.787058,5.22621,2.57451,7.59563e-05,9.6971e-05,0.000123986,0.000158834,0.00020399,0.000262844,0.000340136,0.000442638,0.000580258,0.000767764,0.00102723,0.00139088,0.00190332,0.00262225,0.00361711,0.00496555,0.006748,0.00904022,0.0119038,0.0153751,0.0194538,0.0240638,0.0290735,0.0342987,0.0395115,0.0444556,0.0488643,0.0524814,0.055082,0.0564973,0.0566404,0.0555274,0.0532733,0.0500667,0.0461379,0.0417329,0.0370933,0.0324392,0.0279556,0.0237824,0.0200108,0.0166853,0.0138118,0.011368,0.0093152,0.00760678,0.00619489,0.00503419,0.0040838,0.00330801,0.00267625,0.00216275,0.00174596,0.00140804,0.00113426,0.000912558,0.000733058,0.000587736,0.000470084,0.000374838,0.000297751,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.26416,-0,-11.2442,-0,-9.99702,-4.70607,-22.1545,-16.7,-11.8191,-11.1811,-24.7655,-20.2359,-22.6181,-24.9061,-18.1122,-26.5257,-37.6861,-28.7356,-28.7103,-28.9088,-38.1202,-35.9328,-24.609,-44.4705,-29.6489,-30.8555,-17.8857,-18.694,-3.91148,-8.18645,-8.56447,-8.9539,-14.0283,-4.87872,-5.08403,-15.8745,-5.50073,-11.4228,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,1,0,1,1,3,1,3,6,4,8,8,10,11,10,4,13,10,2,11,11,11,10,11,11,6,4,3,2,5,2,3,2,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
-540.957,0.996255,0.178739,5,31,0,543.78,-0.986252,-2.20718,-0.931561,-0.680105,4.7357,0.647654,-0.654682,5.28961,2.45001,6.87621e-05,8.88876e-05,0.000115021,0.000149036,0.000193449,0.000251679,0.000328439,0.000430359,0.000566949,0.000752117,0.00100631,0.00135897,0.00185068,0.00253425,0.00347458,0.00474672,0.00643179,0.00861002,0.0113507,0.0146994,0.0186642,0.0231842,0.0281393,0.0333528,0.0386023,0.0436352,0.0481864,0.0519964,0.0548311,0.056504,0.0569054,0.0560305,0.0539812,0.050937,0.0471204,0.0427715,0.0381298,0.0334193,0.028835,0.0245322,0.0206189,0.0171546,0.0141557,0.0116053,0.00946613,0.00769035,0.00622777,0.00503028,0.00405434,0.0032618,0.00262007,0.00210166,0.00168369,0.00134723,0.00107674,0.000859525,0.000685236,0.00054549,0.000433504,0.000343809,0.000272004,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.2922,-0,-11.3246,-0,-10.093,-4.75483,-22.3924,-16.8798,-11.9435,-11.2929,-24.9941,-20.4037,-22.7811,-25.0551,-18.1961,-26.6092,-37.7455,-28.7344,-28.6636,-28.8186,-37.9486,-35.726,-24.4404,-44.1264,-29.4008,-30.5876,-17.7308,-18.5389,-3.88155,-8.13098,-8.51528,-8.91258,-13.9801,-4.86779,-5.07874,-15.8768,-5.50797,-11.451,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,5,2,2,4,3,3,8,15,15,5,17,12,10,19,11,9,6,9,8,7,6,3,1,1,3,3,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
-541.529,0.989249,0.178739,4,31,0,543.137,-1.81321,-2.66613,-0.698107,-0.739692,4.23944,0.671689,-0.395676,5.49468,2.55681,9.45378e-05,0.000120243,0.000153016,0.00019485,0.000248333,0.000316843,0.000404829,0.000518206,0.000664938,0.000855918,0.00110628,0.00143731,0.00187891,0.00247231,0.00327245,0.00434941,0.00578771,0.0076818,0.0101261,0.0131988,0.0169409,0.0213307,0.0262734,0.0315992,0.0370725,0.0424094,0.0472992,0.0514312,0.054527,0.0563791,0.0568874,0.0560692,0.0540421,0.0509978,0.0471761,0.0428403,0.0382517,0.0336466,0.029217,0.0250988,0.0213724,0.0180706,0.0151915,0.0127118,0.010596,0.008804,0.007295,0.00603032,0.00497454,0.00409604,0.00336708,0.00276367,0.00226522,0.00185423,0.00151588,0.00123771,0.00100928,0.00082188,0.000668275,0.000542467,0.000439502,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.27706,-0,-11.4444,-0,-10.304,-4.8689,-22.9632,-17.3105,-12.2341,-11.5428,-25.4744,-20.7277,-23.0642,-25.2831,-18.3076,-26.7076,-37.8178,-28.7566,-28.6668,-28.8117,-37.9339,-35.7117,-24.4309,-44.1039,-29.3721,-30.5266,-17.665,-18.4247,-3.84565,-8.02694,-8.37403,-8.73045,-13.6418,-4.73255,-4.92057,-15.3329,-5.30342,-10.9955,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,3,1,2,1,6,3,6,8,5,19,13,10,9,10,11,12,11,6,8,9,5,5,2,0,7,2,6,4,3,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0
-541.129,0.994371,0.178739,5,31,0,543.467,-1.60288,-2.62014,-0.803446,-0.628657,4.66739,0.534652,-0.646796,5.47654,2.36928,6.07557e-05,7.94803e-05,0.00010404,0.000136301,0.000178758,0.000234776,0.000308934,0.000407539,0.000539388,0.000716911,0.000957751,0.00128675,0.00173801,0.00235671,0.00320017,0.00433764,0.00584776,0.00781294,0.0103096,0.0133947,0.0170902,0.0213646,0.0261267,0.0312256,0.0364578,0.0415806,0.0463293,0.0504368,0.053656,0.0557842,0.0566909,0.0563387,0.0547862,0.0521711,0.0486871,0.0445613,0.0400344,0.0353415,0.030695,0.02627,0.0221944,0.0185457,0.0153557,0.0126196,0.0103083,0.00837875,0.00678286,0.00547245,0.00440266,0.00353335,0.00282965,0.00226182,0.00180487,0.00143799,0.00114401,0.000908855,0.000721037,0.000571223,0.000451864,0.000356869,0.00028134,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.35502,-0,-11.4891,-0,-10.2834,-4.85197,-22.8734,-17.2516,-12.2077,-11.5381,-25.5136,-20.7991,-23.1812,-25.441,-18.4319,-26.8833,-38.0271,-28.8626,-28.7014,-28.7637,-37.7561,-35.4387,-24.1787,-43.5525,-28.9622,-30.0843,-17.4183,-18.1966,-3.80792,-7.97503,-8.35253,-8.745,-13.7244,-4.78206,-4.99336,-15.6241,-5.42555,-11.291,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,4,3,3,5,11,4,6,8,14,6,14,6,13,8,9,10,11,10,5,8,6,5,3,3,3,3,4,2,1,2,1,0,1,0,0,0,1,1,0,0,0,0,0
-543.893,0.961234,0.178739,3,7,0,544.941,-1.02206,-2.99754,-0.679906,-0.528164,4.52914,0.564247,-0.642383,4.97404,2.16506,5.24805e-05,7.05647e-05,9.49216e-05,0.00012776,0.000172095,0.000232062,0.000313377,0.000424007,0.000575167,0.000782791,0.00106956,0.00146732,0.00201941,0.00278209,0.00382465,0.00522752,0.00707758,0.00945981,0.012445,0.0160737,0.0203401,0.0251743,0.030439,0.0359335,0.0414056,0.0465696,0.0511291,0.0548017,0.0573472,0.0585958,0.0584735,0.0570141,0.0543507,0.0506909,0.0462885,0.0414163,0.0363425,0.0313105,0.0265224,0.022128,0.0182196,0.0148351,0.0119684,0.00958315,0.00762622,0.0060383,0.00476095,0.00374051,0.00292985,0.00228881,0.00178385,0.00138739,0.001077,0.000834588,0.000645679,0.000498744,0.000384647,0.000296181,0.00022768,0.000174703,0.00013378,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.20495,-0,-11.1326,-0,-9.90165,-4.6607,-21.9322,-16.5223,-11.6855,-11.0458,-24.4442,-19.9565,-22.2904,-24.5345,-17.8404,-26.1363,-37.1622,-28.3709,-28.3918,-28.6446,-37.8599,-35.7841,-24.5829,-44.5771,-29.8329,-31.1742,-18.1488,-19.0546,-4.00526,-8.42152,-8.85097,-9.2955,-14.6285,-5.10963,-5.34731,-16.7656,-5.8328,-12.1594,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,3,2,1,2,7,6,5,5,4,8,11,8,11,15,13,6,18,14,10,8,7,6,6,2,2,3,2,2,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-546.215,0.9998,0.178739,4,15,0,548.088,-0.723471,-3.8362,-0.715026,-0.696059,4.67119,0.540817,-0.331958,5.26709,2.4586,0.000154302,0.000198195,0.000254651,0.000327317,0.000420932,0.000541674,0.00069763,0.000899435,0.00116111,0.00150115,0.00194365,0.00251932,0.00326568,0.00422655,0.00545056,0.00698866,0.00889012,0.0111969,0.0139361,0.0171116,0.0206962,0.0246243,0.0287928,0.0330646,0.0372757,0.0412442,0.0447822,0.0477094,0.0498683,0.0511408,0.0514627,0.0508322,0.0493086,0.0470016,0.0440561,0.0406369,0.036914,0.0330514,0.0291976,0.0254772,0.0219868,0.0187916,0.015927,0.0134033,0.0112114,0.00932986,0.00772995,0.00638008,0.00524849,0.00430498,0.00352188,0.00287444,0.00234096,0.00190266,0.00154349,0.00124981,0.00101016,0.00081494,0.000656167,0.000527229,0.000422675,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.72429,-0,-10.4241,-0,-9.44563,-4.49212,-21.3664,-16.272,-11.6334,-11.1121,-24.8334,-20.4557,-23.0259,-25.506,-18.6357,-27.3836,-38.9788,-29.7317,-29.669,-29.7923,-39.1255,-36.6909,-24.9783,-44.8431,-29.6925,-30.6872,-17.6684,-18.3499,-3.81731,-7.94869,-8.27948,-8.62451,-13.4725,-4.67454,-4.86265,-15.1637,-5.24981,-10.896,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,2,1,3,2,5,3,4,5,7,3,8,10,8,12,11,5,6,12,6,12,5,6,13,6,6,5,3,4,4,4,3,1,2,3,0,0,1,0,0,2,1,0,1,0,0,0,1
