# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 14:42:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c23bd8b404.json
# init = /tmp/RtmpC8O1hA/init-b41c2421ff61f_1.json
# random
#   seed = 4552002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0441_rep045_accurate_weak/prior_sensitivity_obspair_FAST-202605311542-1-1b673b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0441_rep045_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605311542-1-39b456.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0728913
# Diagonal elements of inverse mass matrix:
# 0.0886576, 0.0759846, 0.109455, 0.0369973, 0.12383, 0.124806, 0.295405
-539.791,0.956201,0.0728913,3,15,0,544.016,-1.59764,-2.20351,-0.213209,-0.590636,3.09019,-0.255428,-0.317249,4.8702,2.506,8.37441e-05,0.000110573,0.000146035,0.000192935,0.000255004,0.000337215,0.000446217,0.00059091,0.000783243,0.00103928,0.00138062,0.00183628,0.00244495,0.0032576,0.00433991,0.00577344,0.00765399,0.0100851,0.0131647,0.0169658,0.0215119,0.0267323,0.0324521,0.0383894,0.0441763,0.0494026,0.0536765,0.0566848,0.0582382,0.0582909,0.0569316,0.0543557,0.0508261,0.0466331,0.04206,0.0373583,0.0327322,0.0283346,0.0242678,0.0205909,0.0173281,0.0144775,0.0120195,0.00992333,0.00815253,0.00666859,0.00543364,0.00441208,0.00357143,0.00288283,0.00232107,0.00186441,0.00149439,0.00119542,0.000954485,0.000760757,0.000605308,0.000480801,0.00038124,0.000301742,0.000238352,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.4399,-10.309,-4.87253,-9.1934,-4.33021,-8.15311,-15.3566,-32.5969,-44.5639,-22.8198,-31.1957,-15.0388,-40.9469,-14.3513,-42.6482,-31.2654,-31.525,-26.2099,-20.8554,-18.3927,-25.3493,-29.5848,-23.9358,-46.3278,-22.3116,-23.2974,-12.1663,-8.47032,-0,-9.22573,-14.4283,-10.0207,-5.21515,-0,-0,-0,-0,-6.28481,-6.50604,-0,-0,-0,-0,-0,-0,-8.10594,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,5,3,4,5,8,9,5,11,6,13,13,11,6,10,16,9,11,3,5,5,11,4,5,5,3,3,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
-538.405,0.995333,0.0728913,6,63,0,540.494,-1.55185,-1.97683,-0.804564,-0.506495,3.94907,-0.265683,-1.15727,5.23691,2.43476,5.07566e-05,6.87148e-05,9.30716e-05,0.000126139,0.000171084,0.00023226,0.000315661,0.000429558,0.000585367,0.000798795,0.0010913,0.00149178,0.00203831,0.00277948,0.00377476,0.00509318,0.00680974,0.00899917,0.0117271,0.0150395,0.0189512,0.0234167,0.0283324,0.0335326,0.0387937,0.0438468,0.0484004,0.0521697,0.0549109,0.0564517,0.0567136,0.0557184,0.0535794,0.0504808,0.0466509,0.0423348,0.0377704,0.0331704,0.0287099,0.0245209,0.0206919,0.0172724,0.0142788,0.0117028,0.00951872,0.00769048,0.0061768,0.00493535,0.0039254,0.00310954,0.00245443,0.00193117,0.00151512,0.00118564,0.00092562,0.000721059,0.000560563,0.000434944,0.000336834,0.000260357,0.000200847,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.57942,-10.5597,-4.9894,-9.42125,-4.44585,-8.39415,-15.8636,-33.7888,-46.3287,-23.7667,-32.495,-15.6353,-42.3955,-14.7663,-43.5307,-31.6181,-31.5672,-25.987,-20.4861,-17.917,-24.5205,-28.4593,-22.9336,-44.2793,-21.3031,-22.2494,-11.634,-8.11729,-0,-8.89586,-13.9635,-9.73554,-5.08695,-0,-0,-0,-0,-6.24963,-6.49226,-0,-0,-0,-0,-0,-0,-8.25346,-0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,3,1,3,2,3,1,5,5,10,9,10,10,15,9,8,11,6,12,7,11,7,5,9,12,3,3,3,2,2,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
-540.179,0.998121,0.0728913,5,31,0,541.404,-1.28026,-3.26399,-0.52594,-0.700971,3.90131,0.480477,-1.00948,4.8765,2.35388,0.000137292,0.00017614,0.000226051,0.000290222,0.000372805,0.000479209,0.000616514,0.000794039,0.00102413,0.00132326,0.00171353,0.00222464,0.0028962,0.00377984,0.0049402,0.00645397,0.00840553,0.0108783,0.0139409,0.01763,0.0219311,0.0267629,0.0319707,0.0373307,0.0425645,0.0473623,0.0514138,0.0544434,0.0562471,0.0567206,0.055871,0.0538086,0.0507254,0.0468669,0.0425019,0.0378946,0.0332793,0.0288435,0.0247195,0.0209863,0.0176778,0.0147943,0.0123142,0.0102034,0.00842175,0.00692818,0.00568307,0.00464991,0.00379602,0.00309266,0.00251502,0.00204183,0.00165508,0.00133961,0.00108273,0.000873877,0.00070429,0.000566745,0.000455301,0.000365089,0.000292134,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.31035,-10.0861,-4.77887,-9.04198,-4.27293,-8.07631,-15.2794,-32.5866,-44.7582,-23.0156,-31.5673,-15.2496,-41.5499,-14.553,-43.17,-31.5658,-31.7318,-26.3009,-20.8693,-18.3627,-25.2656,-29.4565,-23.8197,-46.0963,-22.201,-23.1833,-12.1063,-8.42703,-0,-9.17007,-14.3308,-9.94432,-5.17026,-0,-0,-0,-0,-6.19391,-6.40391,-0,-0,-0,-0,-0,-0,-7.91537,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,3,2,0,6,8,7,5,10,12,11,7,11,17,9,6,12,7,15,8,3,8,4,6,3,1,3,2,0,1,0,3,1,0,2,2,0,0,0,0,0,0,0,0,0
-539.535,0.997534,0.0728913,5,63,0,541.946,-2.33259,-2.58677,-0.587206,-0.621956,3.55695,0.461904,-0.973909,5.23364,2.45239,6.38882e-05,8.36456e-05,0.000109547,0.000143528,0.000188151,0.000246822,0.000324088,0.000426063,0.000561024,0.000740285,0.000979471,0.00130037,0.00173351,0.0023214,0.00312207,0.00421191,0.00568644,0.00765692,0.0102401,0.0135394,0.0176184,0.0224692,0.0279897,0.0339746,0.0401219,0.0460563,0.0513656,0.0556497,0.0585806,0.0599564,0.0597266,0.0579859,0.0549479,0.0509087,0.0462049,0.0411705,0.036099,0.0312195,0.0266887,0.0225963,0.0189784,0.0158333,0.0131351,0.0108445,0.00891645,0.00730488,0.00596567,0.00485828,0.00394646,0.00319844,0.0025868,0.0020881,0.00168255,0.00135351,0.00108711,0.000871815,0.00069812,0.000558198,0.000445636,0.000355195,0.000282616,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.76926,-10.9397,-5.16967,-9.74429,-4.58145,-8.60431,-16.1552,-34.1605,-46.4869,-23.675,-32.1583,-15.3895,-41.563,-14.4434,-42.5603,-30.9555,-30.9978,-25.628,-20.3096,-17.8663,-24.5974,-28.7103,-23.2504,-45.0673,-21.7411,-22.7398,-11.8934,-8.29128,-0,-9.0482,-14.1596,-9.83843,-5.12173,-0,-0,-0,-0,-6.1715,-6.38744,-0,-0,-0,-0,-0,-0,-7.94284,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,5,4,6,7,8,5,7,9,15,8,16,11,9,9,11,10,13,5,5,4,4,5,5,2,1,4,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
-541.537,0.996845,0.0728913,5,31,0,542.93,-1.60413,-3.91067,-0.562559,-0.567866,3.39977,0.00703654,-0.454645,4.81171,2.38664,0.000110114,0.000146226,0.000194194,0.00025792,0.000342596,0.000455122,0.000604679,0.000803452,0.00106758,0.00141834,0.00188349,0.00249871,0.00330879,0.0043679,0.00573836,0.00748705,0.0096789,0.0123676,0.0155842,0.0193253,0.0235431,0.0281346,0.0329444,0.0377703,0.0423771,0.0465163,0.0499495,0.0524738,0.0539449,0.0542924,0.0535256,0.0517276,0.0490428,0.0456583,0.0417832,0.0376283,0.0333878,0.0292265,0.0252724,0.0216147,0.0183068,0.0153716,0.012809,0.0106022,0.00872363,0.00714043,0.00581746,0.00472005,0.00381551,0.00307408,0.0024693,0.0019781,0.00158066,0.00126018,0.00100253,0.000795972,0.000630771,0.000498942,0.000393956,0.000310502,0.00024428,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.16058,-9.78916,-4.63781,-8.78535,-4.1615,-7.89268,-14.9957,-32.1368,-44.3681,-22.9336,-31.6115,-15.3398,-41.9544,-14.7372,-43.7969,-32.0471,-32.2036,-26.6559,-21.1054,-18.5194,-25.4021,-29.52,-23.797,-45.9248,-22.0682,-23.0063,-12.0015,-8.35046,-0,-9.0934,-14.2252,-9.88396,-5.14689,-0,-0,-0,-0,-6.22562,-6.44991,-0,-0,-0,-0,-0,-0,-8.07732,-0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,1,1,2,2,2,3,5,6,5,11,5,7,9,11,13,7,10,14,12,8,7,7,10,11,6,4,1,4,1,1,3,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0
-538.706,0.998988,0.0728913,5,63,0,543.204,-2.45539,-2.2655,-1.05654,-0.35964,3.67753,0.123309,-0.560771,5.15452,2.24271,2.39017e-05,3.39009e-05,4.8093e-05,6.82448e-05,9.68754e-05,0.000137581,0.000195504,0.000278,0.00039559,0.000563259,0.000802147,0.00114158,0.00162114,0.00229239,0.00321958,0.00447868,0.006154,0.00833179,0.0110904,0.0144878,0.0185478,0.0232298,0.0284298,0.0339762,0.0396337,0.0451153,0.0501011,0.054267,0.0573206,0.0590445,0.0593323,0.0582032,0.0557888,0.0523033,0.0480098,0.0431899,0.0381186,0.0330433,0.0281681,0.0236454,0.0195734,0.0160008,0.0129354,0.010355,0.00821804,0.00647277,0.00506423,0.00393893,0.00304772,0.0023472,0.00180016,0.00137543,0.00104732,0.000795003,0.000601745,0.000454261,0.000342078,0.000257001,0.000192656,0.000144113,0.000107576,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.7385,-10.8169,-5.09065,-9.57535,-4.50167,-8.46889,-15.9496,-33.8609,-46.2841,-23.6747,-32.2807,-15.4927,-41.912,-14.5692,-42.8864,-31.1241,-31.0706,-25.5943,-20.2033,-17.7042,-24.2908,-28.2793,-22.8694,-44.3292,-21.4174,-22.4675,-11.8007,-8.27023,-0,-9.14057,-14.4043,-10.0803,-5.28555,-0,-0,-0,-0,-6.58899,-6.86152,-0,-0,-0,-0,-0,-0,-8.84491,-0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,1,1,1,3,3,7,6,5,7,11,5,13,16,15,8,13,10,8,8,7,13,8,4,3,6,1,5,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
