# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 15:07:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c214f45d5f.json
# init = /tmp/RtmpC8O1hA/init-b41c252eba326_4.json
# random
#   seed = 4552005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0444_rep045_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605311607-4-4d6ca4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0444_rep045_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605311607-4-8a45ea.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0502294
# Diagonal elements of inverse mass matrix:
# 0.235676, 0.112558, 0.156743, 0.0493685, 0.15555, 0.205175, 0.531732
-541.286,0.986246,0.0502294,6,63,0,543.589,-2.78458,-2.4603,-2.08579,-0.153939,3.65893,0.326546,0.0811972,4.8893,2.1133,1.22885e-05,1.88689e-05,2.8975e-05,4.44975e-05,6.83401e-05,0.000104956,0.000161153,0.000247244,0.00037861,0.000577514,0.000874774,0.00131073,0.00193522,0.00280665,0.00399028,0.00555544,0.00757146,0.0101019,0.013198,0.0168921,0.0211967,0.0259933,0.0311275,0.036412,0.0416333,0.04656,0.050949,0.0545535,0.0571359,0.0584933,0.0585007,0.0571555,0.0545898,0.0510324,0.046749,0.0420006,0.0370236,0.0320254,0.0271835,0.0226433,0.0185154,0.0148721,0.0117462,0.00913421,0.00700395,0.00530368,0.00397206,0.00294607,0.00216658,0.00158147,0.00114678,0.000826708,0.00059286,0.000423166,0.000300764,0.000212944,0.000150235,0.00010565,7.40741e-05,5.17901e-05,3.61146e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.52389,-10.386,-4.88337,-9.19006,-4.32769,-8.16182,-15.4156,-32.8492,-45.1056,-23.19,-31.7886,-15.3351,-41.677,-14.5429,-42.9349,-31.2273,-31.2259,-25.7578,-20.3554,-17.8518,-24.5037,-28.5306,-23.0734,-44.7359,-21.6309,-22.7274,-11.9675,-8.41653,-0,-9.39146,-14.8838,-10.4787,-5.52847,-0,-0,-0,-0,-7.09806,-7.43055,-0,-0,-0,-0,-0,-0,-9.86831,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,3,2,5,6,5,9,12,9,4,10,9,13,22,12,11,6,9,11,5,9,3,4,4,2,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-540.765,0.999323,0.0502294,5,31,0,543.5,-3.18767,-1.71345,-1.94874,-0.198274,3.60167,0.268755,-0.884534,5.09183,2.15346,1.1222e-05,1.69182e-05,2.55107e-05,3.84773e-05,5.80544e-05,8.76285e-05,0.000132324,0.000199873,0.000301832,0.000455179,0.000684096,0.00102161,0.0015107,0.00220465,0.00316658,0.00446786,0.0061852,0.00839578,0.0111706,0.0145662,0.0186166,0.0232654,0.0284082,0.033891,0.0395117,0.0450249,0.0501475,0.0545687,0.0579696,0.0600599,0.0606378,0.0596512,0.0572194,0.0535938,0.0490899,0.0440298,0.0387091,0.0333826,0.0282587,0.0234965,0.0192059,0.0154485,0.012243,0.00957226,0.00739378,0.00564972,0.00427601,0.00320913,0.00239055,0.00176905,0.00130144,0.000952406,0.000693681,0.000503075,0.00036342,0.000261596,0.000187683,0.000134245,9.57486e-05,6.81091e-05,4.83246e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.7551,-10.8217,-5.0856,-9.56005,-4.49447,-8.45811,-15.9348,-33.8471,-46.294,-23.6922,-32.3116,-15.5027,-41.899,-14.5415,-42.7176,-30.9365,-30.8312,-25.3732,-20.026,-17.5579,-24.1128,-28.106,-22.7618,-44.1964,-21.3981,-22.5054,-11.8576,-8.34048,-0,-9.29777,-14.7213,-10.3523,-5.45474,-0,-0,-0,-0,-6.95652,-7.2735,-0,-0,-0,-0,-0,-0,-9.5944,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,5,3,3,6,7,4,10,8,17,8,12,14,15,17,7,7,14,6,2,9,2,7,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-542.123,0.992635,0.0502294,6,127,0,545.587,-1.66797,-1.29417,-1.0105,-0.817892,1.63041,0.219443,-1.49901,4.66334,3.03209,0.000197398,0.000246643,0.000308329,0.000385686,0.000482833,0.000605046,0.000759129,0.000953922,0.001201,0.00151571,0.00191856,0.00243735,0.00311009,0.00398914,0.00514647,0.00667926,0.00871344,0.0114007,0.0149045,0.0193735,0.0249075,0.0312622,0.0380004,0.044529,0.0502046,0.0544844,0.0570497,0.0578441,0.0570267,0.0548882,0.051771,0.0480095,0.0438952,0.039662,0.0354843,0.0314837,0.0277379,0.0242912,0.0211627,0.0183542,0.0158555,0.0136491,0.0117131,0.0100235,0.00855585,0.00728622,0.00619186,0.0052516,0.00444607,0.00375778,0.00317105,0.00267196,0.00224825,0.00188917,0.00158535,0.00132863,0.00111195,0.000929232,0.000775223,0.000645445,0.000536082,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.26944,-10.0175,-4.74289,-8.94816,-4.20609,-7.8877,-14.7703,-31.1881,-42.5121,-21.7813,-29.9165,-14.5492,-40.0937,-14.25,-42.9635,-31.927,-32.5702,-27.3272,-21.8816,-19.3642,-26.7093,-31.1246,-25.0947,-48.3294,-23.1331,-23.9874,-12.4327,-8.58816,-0,-9.20565,-14.2834,-9.84354,-5.08452,-0,-0,-0,-0,-5.92494,-6.0976,-0,-0,-0,-0,-0,-0,-7.34557,-0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,5,0,1,1,5,4,6,8,6,12,17,8,9,10,12,15,10,9,6,12,4,7,2,1,5,4,1,2,1,3,0,0,1,1,1,3,0,0,0,0,1,1,0,0,0,1
-540.454,0.997332,0.0502294,6,95,0,544.759,-3.32542,-2.29963,-1.53898,-0.149264,3.40955,0.0372966,-0.58237,5.0235,2.10286,1.0275e-05,1.58049e-05,2.43091e-05,3.73836e-05,5.7474e-05,8.83161e-05,0.000135586,0.000207833,0.000317751,0.000483793,0.000732,0.00109776,0.00162709,0.00237701,0.00341456,0.00481428,0.00665348,0.0090055,0.0119309,0.0154676,0.0196216,0.0243306,0.0294796,0.0349005,0.0403771,0.0456534,0.0504476,0.0544699,0.0574493,0.0591674,0.0594965,0.0584258,0.0560623,0.0526053,0.0483094,0.0434497,0.0382963,0.0330959,0.0280595,0.0233534,0.0190952,0.0153538,0.0121533,0.00948155,0.00729984,0.00555313,0.00417903,0.00311467,0.00230141,0.00168741,0.00122869,0.000889142,0.000639847,0.000458134,0.000326531,0.000231766,0.000163878,0.000115471,8.10998e-05,5.67878e-05,3.96515e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.67971,-10.6723,-5.01261,-9.41984,-4.42862,-8.33801,-15.7245,-33.4442,-45.8128,-23.4868,-32.0949,-15.4334,-41.8155,-14.5505,-42.8528,-31.1012,-31.0402,-25.56,-20.169,-17.6696,-24.241,-28.2254,-22.8368,-44.3085,-21.4406,-22.5421,-11.875,-8.35279,-0,-9.31682,-14.7597,-10.3868,-5.47768,-0,-0,-0,-0,-7.02525,-7.35428,-0,-0,-0,-0,-0,-0,-9.77619,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,5,7,6,4,3,4,6,13,14,8,10,14,7,12,15,14,6,9,8,7,5,5,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-541.145,0.994235,0.0502294,5,63,0,543.54,-1.34226,-3.1204,-0.824983,-0.671917,3.2381,0.445802,-1.68698,4.58063,2.40617,0.000162759,0.000210226,0.000271579,0.000350911,0.000453537,0.000586376,0.000758456,0.000981581,0.00127124,0.00164779,0.00213807,0.00277726,0.00361106,0.00469717,0.00610507,0.00791274,0.0101997,0.0130355,0.016465,0.0204914,0.0250612,0.0300462,0.0352497,0.0404176,0.0452586,0.0494705,0.0527722,0.0549403,0.0558427,0.0554556,0.0538586,0.0512137,0.0477413,0.0436924,0.0393213,0.0348605,0.0305015,0.0263859,0.0226049,0.0192064,0.0162046,0.0135902,0.011339,0.00941856,0.00779294,0.00642578,0.00528233,0.00433052,0.0035415,0.00288978,0.00235319,0.00191265,0.00155188,0.00125711,0.00101675,0.000821121,0.000662148,0.000533152,0.000428618,0.000344011,0.000275613,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.09864,-9.67856,-4.5854,-8.68016,-4.10652,-7.7755,-14.7457,-31.5452,-43.4889,-22.4594,-30.9536,-15.0319,-41.1848,-14.5075,-43.2783,-31.8139,-32.1353,-26.7457,-21.2937,-18.7835,-25.8879,-30.2076,-24.4298,-47.254,-22.7375,-23.7151,-12.3674,-8.59682,-0,-9.33015,-14.5636,-10.0949,-5.24339,-0,-0,-0,-0,-6.25927,-6.46829,-0,-0,-0,-0,-0,-0,-7.97484,-0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,4,1,3,4,2,9,7,9,10,15,12,9,11,11,16,16,11,12,3,3,1,1,2,3,2,3,3,1,3,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
-541.174,0.991606,0.0502294,6,63,0,546.56,-2.50929,-1.6625,-0.636388,-0.0813261,2.84412,-0.677868,-0.32787,4.90078,2.18809,1.15151e-05,1.80751e-05,2.82973e-05,4.41559e-05,6.8627e-05,0.000106144,0.000163224,0.000249286,0.000377709,0.000567092,0.000842709,0.00123801,0.00179603,0.00257031,0.00362513,0.00503436,0.00687865,0.00924057,0.0121974,0.0158122,0.0201228,0.0250804,0.0305634,0.0363706,0.0422251,0.0477909,0.0527055,0.0566229,0.0592605,0.0604385,0.0601036,0.0583301,0.0553013,0.0512761,0.0465519,0.0414282,0.0361799,0.0310382,0.0261818,0.0217353,0.0177728,0.0143258,0.0113915,0.00894246,0.00693515,0.00531706,0.00403268,0.00302762,0.00225147,0.00165939,0.00121283,0.000879554,0.000633236,0.000452821,0.000321773,0.000227315,0.000159713,0.000111648,7.76809e-05,5.38102e-05,3.71213e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.61987,-10.5829,-4.97933,-9.3683,-4.40653,-8.29395,-15.6236,-33.171,-45.3434,-23.198,-31.6474,-15.2046,-41.2025,-14.3567,-42.3872,-30.8674,-30.9285,-25.5747,-20.2647,-17.8232,-24.5375,-28.6541,-23.2348,-45.143,-21.8561,-22.9729,-12.0903,-8.49139,-0,-9.43389,-14.9135,-10.4737,-5.51332,-0,-0,-0,-0,-7.0361,-7.36467,-0,-0,-0,-0,-0,-0,-9.83005,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,6,2,10,6,9,4,6,9,9,9,11,13,13,10,13,8,8,3,7,7,4,6,2,2,2,2,2,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
