# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 15:37:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24acdce6e.json
# init = /tmp/RtmpC8O1hA/init-b41c27d568e6c_3.json
# random
#   seed = 4552009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0448_rep045_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605311637-3-806401.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0448_rep045_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605311637-3-0b79a6.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0868738
# Diagonal elements of inverse mass matrix:
# 0.0921836, 0.0822106, 0.0317271, 0.0108283, 0.0277894, 0.0352648, 0.0557966
-543.185,0.988303,0.0868738,5,31,0,546.694,-0.080342,-2.21854,-0.568074,-0.446373,4.47167,0.176824,-0.352043,4.74072,2.18698,2.74409e-05,3.78729e-05,5.23142e-05,7.23441e-05,0.000100198,0.000139067,0.000193559,0.000270415,0.000379628,0.000536183,0.000762634,0.00109257,0.00157457,0.00227535,0.00328056,0.00469152,0.00661757,0.00916446,0.0124198,0.016437,0.0212187,0.0266616,0.0325937,0.0387701,0.044882,0.0505769,0.0554885,0.0592724,0.0616463,0.0624299,0.0615768,0.0591849,0.055477,0.0507613,0.0453857,0.039698,0.034013,0.028589,0.0236143,0.0192039,0.0154065,0.0122173,0.00959421,0.00747362,0.00578317,0.00445076,0.00341002,0.00260297,0.00198076,0.00150332,0.00113838,0.000860319,0.000649029,0.000488838,0.000367623,0.000276047,0.000206956,0.000154886,0.000115681,8.61863e-05,6.4016e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.71974,-10.724,-5.01803,-9.38484,-4.38846,-8.21644,-15.4115,-32.6208,-44.5073,-22.7507,-31.0372,-14.9213,-40.4821,-14.1281,-41.7951,-30.5108,-30.6622,-25.4438,-20.2425,-17.8837,-24.7405,-29.0381,-23.6671,-46.2115,-22.4754,-23.7158,-12.5189,-8.8098,-0,-9.79275,-15.4584,-10.8294,-5.68104,-0,-0,-0,-0,-7.05821,-7.34003,-0,-0,-0,-0,-0,-0,-9.359,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,6,4,5,4,5,7,14,14,6,14,10,13,11,8,15,9,5,8,3,11,5,3,4,4,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-539.984,0.999904,0.0868738,5,31,0,545.146,-0.650495,-2.31659,-0.985788,-0.486646,5.04637,0.611974,-0.744374,5.11642,2.25155,3.82811e-05,5.21957e-05,7.12388e-05,9.73621e-05,0.000133315,0.000183016,0.000252137,0.000349024,0.000486123,0.000681962,0.000963357,0.00136706,0.0019403,0.00274014,0.00383162,0.00528462,0.00716912,0.00954864,0.0124715,0.0159606,0.0200027,0.0245207,0.0293882,0.0344341,0.0394535,0.044221,0.0485057,0.0520854,0.0547605,0.0563685,0.0568017,0.056028,0.0541082,0.0511869,0.0474627,0.0431578,0.0384988,0.0337029,0.0289674,0.0244605,0.0203132,0.0166144,0.0134086,0.0106997,0.00845922,0.00663841,0.00517883,0.00402115,0.00311037,0.00239832,0.00184439,0.00141517,0.00108366,0.000828317,0.000632083,0.000481573,0.00036633,0.000278222,0.000210947,0.000159642,0.000120559,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.56447,-10.4859,-4.93797,-9.30271,-4.38431,-8.27526,-15.6476,-33.3741,-45.8531,-23.581,-32.3263,-15.5928,-42.365,-14.7744,-43.5718,-31.6343,-31.5501,-25.9371,-20.4174,-17.8336,-24.3825,-28.286,-22.7999,-44.0722,-21.2495,-22.2642,-11.6894,-8.19497,-0,-9.07509,-14.3175,-10.0298,-5.26318,-0,-0,-0,-0,-6.5605,-6.82741,-0,-0,-0,-0,-0,-0,-8.74258,-0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,2,3,0,2,2,1,4,3,5,9,14,12,12,11,11,17,9,7,10,5,12,6,4,9,6,2,3,3,2,1,1,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0
-541.194,0.987171,0.0868738,5,31,0,544.519,-1.23701,-3.65406,-0.819775,-0.493701,4.75955,0.620075,-0.326395,5.18563,2.18516,5.63928e-05,7.65709e-05,0.000103995,0.000141288,0.000192044,0.000261195,0.000355543,0.000484497,0.000661116,0.000903468,0.00123619,0.00169186,0.00231181,0.00314615,0.00425296,0.00569604,0.00754073,0.00984718,0.0126609,0.0160014,0.0198513,0.0241466,0.028777,0.03359,0.0383994,0.0429945,0.047152,0.0506505,0.0532881,0.0549035,0.0553971,0.0547477,0.0530162,0.0503329,0.0468763,0.0428512,0.0384697,0.0339361,0.0294359,0.0251268,0.0211323,0.017536,0.0143817,0.0116764,0.00939953,0.00751261,0.00596828,0.0047171,0.0037118,0.00290958,0.00227307,0.00177052,0.00137539,0.00106586,0.000824159,0.000635957,0.000489782,0.000376505,0.000288899,0.000221273,0.000169158,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.46014,-10.336,-4.88744,-9.24114,-4.36924,-8.27016,-15.6779,-33.5125,-46.1263,-23.7547,-32.5971,-15.7334,-42.7613,-14.914,-43.9806,-31.924,-31.8255,-26.1452,-20.5601,-17.9346,-24.4819,-28.3502,-22.8052,-43.9826,-21.1532,-22.1029,-11.5709,-8.08699,-0,-8.90037,-14.0013,-9.78235,-5.1213,-0,-0,-0,-0,-6.33648,-6.58902,-0,-0,-0,-0,-0,-0,-8.41612,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,5,1,6,5,8,10,13,14,9,11,10,13,15,9,8,13,5,8,8,4,5,2,4,3,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-540.854,0.99817,0.0868738,5,31,0,544.001,-1.74219,-3.56372,-1.00779,-0.548271,4.37642,0.82201,-0.837577,5.22749,2.27488,7.40005e-05,9.88381e-05,0.000132032,0.000176407,0.00023576,0.000315193,0.000421586,0.000564244,0.000755783,0.00101335,0.0013601,0.00182676,0.00245261,0.00328575,0.00438267,0.00580659,0.00762381,0.00989721,0.0126763,0.0159842,0.0198049,0.0240724,0.028672,0.033448,0.0382125,0.0427555,0.0468544,0.0502873,0.0528507,0.0543831,0.054792,0.0540727,0.0523028,0.0496211,0.0462052,0.0422533,0.0379693,0.0335516,0.0291825,0.0250171,0.0211722,0.0177206,0.0146928,0.0120862,0.00987563,0.00802343,0.00648663,0.00522179,0.00418779,0.00334734,0.00266758,0.00212014,0.00168093,0.00132972,0.00104971,0.000827057,0.000650443,0.000510647,0.000400213,0.00031313,0.000244576,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.4301,-10.2975,-4.87648,-9.23101,-4.36802,-8.27231,-15.6873,-33.5402,-46.1738,-23.7843,-32.6459,-15.7613,-42.8499,-14.95,-44.1043,-32.0287,-31.9463,-26.2568,-20.6549,-18.02,-24.5973,-28.4767,-22.8968,-44.1307,-21.2051,-22.1292,-11.5652,-8.06606,-0,-8.83139,-13.8531,-9.65078,-5.03801,-0,-0,-0,-0,-6.15627,-6.38841,-0,-0,-0,-0,-0,-0,-8.06889,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,2,1,3,3,4,7,11,9,14,12,11,7,9,10,7,11,9,12,5,9,9,7,4,2,5,2,2,0,3,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0
-540.279,0.998325,0.0868738,5,31,0,542.973,-1.78839,-3.00103,-0.79382,-0.536829,4.39525,0.831782,-1.01289,5.18867,2.16795,4.98653e-05,6.68507e-05,8.96473e-05,0.000120264,0.000161421,0.000216814,0.000291492,0.000392394,0.000529139,0.000715177,0.000969448,0.00131849,0.00179869,0.00245819,0.00335834,0.00457409,0.00619209,0.00830494,0.011,0.0143417,0.018351,0.022985,0.0281309,0.0336096,0.0391872,0.0445884,0.0495121,0.0536528,0.0567293,0.0585208,0.0589071,0.0578923,0.0555936,0.0522102,0.0479922,0.0432136,0.0381494,0.0330574,0.0281607,0.023631,0.0195781,0.0160503,0.0130459,0.0105304,0.00845152,0.00675081,0.00537064,0.00425785,0.00336543,0.00265297,0.00208636,0.00163725,0.00128231,0.00100251,0.000782456,0.000609741,0.000474431,0.000368601,0.000285952,0.000221494,0.000171288,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.69631,-10.7747,-5.08448,-9.58181,-4.50986,-8.48917,-15.9923,-33.9562,-46.4215,-23.7506,-32.394,-15.5514,-42.0775,-14.6261,-43.042,-31.2221,-31.1497,-25.6425,-20.2278,-17.7149,-24.2937,-28.2744,-22.8637,-44.3236,-21.419,-22.4712,-11.8,-8.26406,-0,-9.10697,-14.3202,-9.99618,-5.22681,-0,-0,-0,-0,-6.41474,-6.65909,-0,-0,-0,-0,-0,-0,-8.41511,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,3,2,4,5,3,5,9,11,13,13,8,8,12,10,11,14,9,7,11,8,8,4,1,1,3,1,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-543.399,0.989845,0.0868738,6,63,0,545.073,-0.499873,-1.6577,-1.57602,-0.378999,4.77668,0.641644,-0.238575,4.68141,2.26421,3.4632e-05,4.8868e-05,6.90148e-05,9.7585e-05,0.000138217,0.00019623,0.000279497,0.000399781,0.000574664,0.000829776,0.00120035,0.0017312,0.0024755,0.00349323,0.00484947,0.0066123,0.00885,0.0116274,0.0150015,0.0190178,0.0237092,0.0287699,0.0339687,0.039097,0.0439563,0.0483551,0.0521062,0.0550251,0.0569319,0.0576603,0.0570884,0.0551976,0.052132,0.0481769,0.0436589,0.0388673,0.0340301,0.0293193,0.0248627,0.0207533,0.0170556,0.0138083,0.0110245,0.00869283,0.00678113,0.00524248,0.00402298,0.00306837,0.00232845,0.00175946,0.0013247,0.000994242,0.000744158,0.000555606,0.000413902,0.000307706,0.000228316,0.000169095,0.000125003,9.22306e-05,6.7905e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.32888,-10.0376,-4.72734,-8.90878,-4.1996,-7.92476,-14.9676,-31.9358,-43.9701,-22.692,-31.2456,-15.1459,-41.3626,-14.4998,-42.9885,-31.385,-31.4947,-26.0715,-20.6778,-18.1973,-25.0508,-29.2284,-23.6636,-45.8836,-22.1663,-23.2503,-12.2138,-8.56497,-0,-9.49051,-14.9808,-10.5019,-5.51573,-0,-0,-0,-0,-6.91353,-7.20326,-0,-0,-0,-0,-0,-0,-9.29122,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,2,4,4,5,10,10,8,13,14,10,12,12,10,10,10,10,11,6,6,5,4,4,1,1,2,1,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
