# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 15:46:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c272b679a4.json
# init = /tmp/RtmpC8O1hA/init-b41c273da2502_2.json
# random
#   seed = 4552011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0450_rep045_manuscript_default/prior_sensitivity_obspair_FAST-202605311646-2-4cb4ff.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0450_rep045_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605311646-2-4c16e8.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0385631
# Diagonal elements of inverse mass matrix:
# 0.117113, 0.0826331, 0.151016, 0.0304589, 0.212285, 0.230775, 0.323808
-544.518,0.988517,0.0385631,6,95,0,547.82,-1.37639,-3.62246,-1.58456,-0.71619,4.04817,0.657833,-0.836805,5.21702,2.68802,0.000219151,0.000279929,0.000357607,0.000456915,0.000583923,0.000746433,0.000954485,0.00122102,0.00156269,0.00200086,0.00256243,0.0032802,0.00419186,0.00533796,0.00675922,0.00849335,0.0105712,0.0130119,0.0158177,0.0189687,0.0224196,0.0260851,0.029856,0.0336048,0.0371939,0.0404824,0.0433329,0.0456177,0.047227,0.0480812,0.0481447,0.0474337,0.046009,0.0439616,0.0414022,0.0384521,0.0352379,0.0318848,0.0285101,0.0252168,0.0220873,0.0191803,0.0165312,0.0141554,0.0120524,0.0102111,0.00861358,0.00723802,0.00606128,0.00506021,0.00421272,0.00349826,0.0028982,0.00239588,0.00197662,0.00162761,0.00133777,0.00109759,0.000898949,0.000734965,0.000599821,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-4.99685,-9.53694,-4.54962,-8.68378,-4.14663,-7.92993,-15.1913,-32.8175,-45.6478,-23.7516,-32.9161,-16.0344,-43.9438,-15.4373,-45.7918,-33.3835,-33.369,-27.4358,-21.5524,-18.7466,-25.4754,-29.3251,-23.4194,-44.7932,-21.345,-22.0815,-11.4383,-7.90775,-0,-8.51532,-13.2555,-9.16855,-4.75441,-0,-0,-0,-0,-5.65549,-5.84367,-0,-0,-0,-0,-0,-0,-7.21569,-0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,2,2,6,5,1,6,3,5,8,6,12,13,10,12,10,8,14,8,8,8,4,7,4,8,5,4,2,1,0,2,5,3,1,0,0,2,0,0,0,0,0,0,0,0,0
-542.379,0.999324,0.0385631,7,127,0,546.582,-3.60327,-2.27054,-1.91374,-0.344211,3.95366,0.350569,-1.50074,5.57224,2.3594,2.69045e-05,3.83667e-05,5.47232e-05,7.80737e-05,0.000111427,0.000159097,0.000227269,0.000324784,0.000464168,0.000662842,0.000944301,0.00133894,0.00188431,0.00262485,0.00361095,0.00489713,0.00653906,0.00858901,0.0110898,0.0140677,0.0175256,0.0214175,0.025662,0.0301442,0.0347199,0.0392217,0.0434651,0.0472546,0.0503921,0.0526899,0.0539948,0.0542196,0.0533653,0.051517,0.048818,0.0454425,0.0415757,0.0374019,0.0330969,0.0288208,0.0247115,0.0208788,0.0173999,0.0143192,0.0116505,0.00938313,0.00748894,0.00592938,0.0046613,0.00364129,0.00282843,0.00218588,0.00168157,0.00128822,0.00098313,0.000747676,0.000566777,0.000428358,0.000322834,0.000242659,0.000181932,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.62378,-10.6382,-5.02996,-9.51454,-4.50173,-8.52775,-16.1764,-34.5919,-47.6157,-24.5123,-33.6044,-16.1926,-43.9012,-15.261,-44.8188,-32.3767,-32.1075,-26.2324,-20.5142,-17.7951,-24.1572,-27.8218,-22.2617,-42.7184,-20.4499,-21.2799,-11.1015,-7.73804,-0,-8.49231,-13.3572,-9.33768,-4.89433,-0,-0,-0,-0,-6.12574,-6.38803,-0,-0,-0,-0,-0,-0,-8.32385,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,3,1,5,3,6,11,5,6,14,9,13,11,19,13,4,10,6,5,11,6,1,7,4,4,1,1,1,2,3,1,1,1,0,1,0,1,1,0,1,0,0,0,0
-541.822,0.999936,0.0385631,7,127,0,545.525,0.136067,-0.635301,-1.14196,-0.83918,3.7498,-0.123971,-0.785039,4.70006,2.86512,3.30274e-05,4.15669e-05,5.24954e-05,6.65842e-05,8.49134e-05,0.000109027,0.000141186,0.000184782,0.000245042,0.000330197,0.000453473,0.000636344,0.000913661,0.00134119,0.00200572,0.00303707,0.00462018,0.00700453,0.0105075,0.0155093,0.0224374,0.0302248,0.0381431,0.0456613,0.0523562,0.0578643,0.0618704,0.0641328,0.0645296,0.0631015,0.0600622,0.055763,0.0506242,0.0450625,0.0394367,0.0340203,0.0289971,0.0244718,0.0204865,0.0170388,0.0140978,0.0116165,0.00954101,0.00781654,0.00639115,0.00521767,0.00425456,0.00346599,0.00282148,0.00229546,0.0018666,0.0015172,0.00123269,0.00100104,0.000812364,0.000658522,0.000532777,0.000429542,0.000344155,0.000272716,0.000211968,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.21175,-11.5937,-5.37732,-9.9224,-4.55566,-8.33263,-15.1881,-31.4918,-42.4633,-21.6055,-29.4968,-14.2483,-38.958,-13.734,-41.1095,-30.3931,-30.9361,-25.9798,-20.8833,-18.5982,-25.8645,-30.4272,-24.7839,-48.233,-23.3279,-24.4336,-12.7852,-8.91066,-0,-9.70303,-15.1585,-10.5114,-5.45976,-0,-0,-0,-0,-6.49089,-6.69856,-0,-0,-0,-0,-0,-0,-8.20708,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,4,4,5,9,17,14,8,10,16,10,12,12,11,10,9,6,6,5,6,4,6,2,1,2,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
-539.14,0.999889,0.0385631,6,79,0,543.175,-1.17773,-1.308,-1.53064,-0.665662,3.74983,0.658118,-1.65378,4.79804,2.50569,6.03582e-05,7.83341e-05,0.000101776,0.000132425,0.000172629,0.000225597,0.000295779,0.000389459,0.000515712,0.000687951,0.000926374,0.00126148,0.00173804,0.0024179,0.00338074,0.00472265,0.00655274,0.00898699,0.0121388,0.0161062,0.0209567,0.0265706,0.0327489,0.0392135,0.0456167,0.0515559,0.0565964,0.0603077,0.0623278,0.0624649,0.0607808,0.0575611,0.0532011,0.0481102,0.0426627,0.0371761,0.0319002,0.0270133,0.0226236,0.0187778,0.0154745,0.0126805,0.0103446,0.00840899,0.00681578,0.00551124,0.00444744,0.00358281,0.00288196,0.00231513,0.00185758,0.00148884,0.0011921,0.000953577,0.000762053,0.000608395,0.000485197,0.000386469,0.000307374,0.000244016,0.00019326,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.68966,-10.7108,-5.02787,-9.42396,-4.41135,-8.2571,-15.4612,-32.6515,-44.4455,-22.6711,-30.8748,-14.8254,-40.2053,-14.0415,-41.6302,-30.5047,-30.8053,-25.6942,-20.5357,-18.2056,-25.2354,-29.6288,-24.116,-46.9485,-22.7326,-23.8505,-12.5057,-8.73538,-0,-9.55691,-14.9655,-10.4019,-5.41543,-0,-0,-0,-0,-6.50976,-6.73204,-0,-0,-0,-0,-0,-0,-8.31828,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,2,1,6,5,5,6,6,10,15,16,8,15,13,9,12,6,10,11,6,6,7,2,1,3,4,1,2,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
-540.84,0.992653,0.0385631,6,127,0,543.609,-0.993105,-1.07915,-1.62428,-0.878937,4.34598,0.0734214,-1.70717,5.60508,3.02031,6.16373e-05,7.6936e-05,9.63572e-05,0.000121191,0.000153225,0.000194992,0.00025014,0.000324019,0.000424569,0.000563601,0.00075852,0.00103439,0.0014261,0.00198022,0.0027563,0.00382705,0.00527739,0.00720198,0.00970117,0.0128755,0.0168191,0.0214171,0.0265139,0.0319125,0.0373783,0.042646,0.047431,0.051448,0.0544365,0.0561948,0.0566146,0.0557062,0.0535991,0.0505138,0.0467181,0.0424844,0.0380596,0.0336483,0.029407,0.0254448,0.0218291,0.0185924,0.0157404,0.0132599,0.0111252,0.00930353,0.00775967,0.0064583,0.005366,0.00445225,0.00368987,0.00305506,0.00252727,0.00208895,0.00172517,0.00142333,0.00117284,0.000964824,0.000791886,0.000647867,0.000527663,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.89387,-11.1313,-5.24432,-9.8668,-4.63551,-8.70486,-16.341,-34.5921,-47.1911,-24.1133,-32.8666,-15.7741,-42.6787,-14.8359,-43.6608,-31.6682,-31.5864,-25.989,-20.4836,-17.913,-24.509,-28.4276,-22.8802,-44.0933,-21.1591,-22.0275,-11.4735,-7.97001,-0,-8.64602,-13.4956,-9.35472,-4.85881,-0,-0,-0,-0,-5.79096,-5.98061,-0,-0,-0,-0,-0,-0,-7.34182,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,3,3,3,4,10,6,3,9,11,11,6,10,12,14,11,12,10,11,8,7,5,5,5,2,1,0,0,1,2,4,1,0,1,0,0,0,3,0,0,0,1,0,0
-541.265,1,0.0385631,6,63,0,543.094,0.0945097,-1.86899,-0.634888,-1.04524,3.92591,0.474324,-0.870046,5.18415,3.05859,0.000136317,0.00016433,0.000198545,0.000240541,0.000292396,0.000356892,0.000437827,0.000540511,0.000672553,0.000845178,0.0010754,0.00138953,0.00182832,0.00245282,0.00334817,0.00462191,0.00639545,0.00878998,0.0119088,0.0158172,0.0205227,0.0258949,0.0317191,0.0377015,0.0434878,0.0486936,0.0529459,0.0559315,0.0574491,0.0574459,0.0560192,0.0533827,0.0498214,0.0456469,0.0411602,0.0366214,0.0322314,0.0281266,0.0243843,0.0210357,0.0180798,0.0154962,0.0132539,0.0113177,0.00965221,0.00822351,0.00700054,0.00595538,0.00506326,0.00430251,0.00365419,0.00310191,0.00263142,0.00223036,0.00188799,0.00159498,0.00134335,0.00112642,0.000938771,0.000776113,0.000635147,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.69934,-10.7539,-5.05217,-9.46828,-4.43048,-8.29332,-15.5449,-32.8834,-44.8609,-22.9464,-31.3528,-15.111,-41.1388,-14.4181,-42.8528,-31.426,-31.7027,-26.3724,-20.9952,-18.5209,-25.5223,-29.7641,-24.0437,-46.4235,-22.2829,-23.1692,-12.0389,-8.33432,-0,-8.96277,-13.9217,-9.60152,-4.96177,-0,-0,-0,-0,-5.77574,-5.94023,-0,-0,-0,-0,-0,-0,-7.16121,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,9,1,2,7,9,8,4,8,11,11,12,10,10,13,17,12,8,7,8,5,4,3,2,2,1,3,1,1,1,3,0,1,0,0,1,1,0,0,0,0,0,0,0
