# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 16:12:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2723763ac.json
# init = /tmp/RtmpC8O1hA/init-b41c22d78d394_2.json
# random
#   seed = 4652003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0452_rep046_accurate_moderate/prior_sensitivity_obspair_FAST-202605311712-2-3fca86.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0452_rep046_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605311712-2-3b8221.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.111638
# Diagonal elements of inverse mass matrix:
# 0.0711429, 0.0826332, 0.0268148, 0.0186725, 0.0505614, 0.0366045, 0.0614032
-545.789,0.988016,0.111638,4,15,0,549.854,-2.6769,-4.02479,-1.03525,-0.542184,3.84179,0.441619,-1.50147,5.56432,2.48089,7.00967e-05,9.37627e-05,0.000125425,0.000167791,0.000224487,0.000300373,0.000401967,0.000538009,0.000720209,0.000964214,0.00129078,0.00172704,0.00230766,0.0030754,0.00408098,0.00538163,0.00703783,0.00910771,0.0116388,0.0146577,0.01816,0.0220997,0.0263873,0.0308913,0.0354448,0.0398546,0.043913,0.047412,0.0501608,0.0520065,0.0528544,0.0526781,0.0515167,0.0494647,0.04666,0.0432699,0.0394781,0.0354694,0.0314161,0.0274652,0.0237308,0.020291,0.0171904,0.0144456,0.0120525,0.00999232,0.00823788,0.0067575,0.00551825,0.00448798,0.00363663,0.00293687,0.00236445,0.00189818,0.00151983,0.0012139,0.000967289,0.000769078,0.000610187,0.000483125,0.000381748,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.305,-0,-0,-0,-0,-20.8991,-4.95645,-0,-8.90683,-4.22279,-20.0427,-15.2488,-29.079,-24.341,-10.0193,-25.7801,-28.1299,-45.7332,-26.9327,-32.5203,-38.2228,-32.3791,-26.6926,-24.052,-30.6487,-21.9821,-29.0881,-26.7127,-20.7626,-32.3535,-18.7049,-19.4879,-8.12681,-8.47473,-4.41849,-13.8178,-0,-0,-5.19969,-0,-0,-0,-6.04721,-0,-0,-0,-0,-0,-0,-7.63523,-0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,4,4,3,2,9,7,7,10,12,11,10,9,7,7,13,7,10,8,6,5,7,4,4,7,2,3,5,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0
-546.717,0.978199,0.111638,4,15,0,550.186,-3.00465,-4.4655,-1.21997,-0.310979,3.9491,0.47155,-1.58565,5.30516,2.14938,2.10277e-05,3.03334e-05,4.3758e-05,6.31253e-05,9.1067e-05,0.00013138,0.000189538,0.000273423,0.000394339,0.000568366,0.000818003,0.00117389,0.00167625,0.00237574,0.00333345,0.00461947,0.00630923,0.00847657,0.0111833,0.0144662,0.0183236,0.0227024,0.0274971,0.0325531,0.0376752,0.0426394,0.0472048,0.0511284,0.0541829,0.0561797,0.0569963,0.0565957,0.0550282,0.052416,0.0489337,0.0447894,0.0402082,0.0354167,0.0306283,0.0260286,0.0217624,0.0179272,0.0145725,0.0117065,0.00930714,0.00733239,0.00573051,0.00444699,0.00342934,0.00262977,0.0020065,0.001524,0.00115276,0.000868677,0.000652346,0.000488333,0.000364479,0.00027129,0.000201407,0.000149159,0.000110207,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-14.2173,-0,-0,-0,-0,-21.5099,-5.06574,-0,-8.98666,-4.23594,-19.9978,-15.1411,-28.7494,-23.9742,-9.83626,-25.2398,-27.4793,-44.6012,-26.2385,-31.6712,-37.242,-31.59,-26.0992,-23.5884,-30.1729,-21.7405,-28.9232,-26.7246,-20.915,-32.837,-19.1379,-20.1072,-8.45724,-8.89521,-4.67697,-14.7464,-0,-0,-5.67539,-0,-0,-0,-6.7656,-0,-0,-0,-0,-0,-0,-8.81049,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2,3,5,5,3,5,9,4,11,13,15,10,12,7,15,11,13,6,4,6,6,2,5,4,6,2,1,2,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0
-546.165,0.996397,0.111638,5,31,0,548.753,-2.16659,-0.665224,-1.5493,-0.446794,3.49777,-0.49687,-0.707354,5.8146,2.74951,1.91422e-05,2.63538e-05,3.62844e-05,4.99624e-05,6.88089e-05,9.4791e-05,0.000130637,0.000180142,0.000248592,0.000343375,0.000474819,0.000657372,0.000911203,0.00126437,0.00175571,0.00243858,0.00338574,0.00469556,0.00650001,0.00897496,0.012354,0.0165798,0.0215616,0.0271613,0.0331811,0.0393586,0.0453709,0.0508534,0.055433,0.0587746,0.0606309,0.0608844,0.0595664,0.0568486,0.0530084,0.0483793,0.0433011,0.0380805,0.0329669,0.0281436,0.0237297,0.0197895,0.0163437,0.013382,0.0108734,0.00877513,0.00703891,0.00561565,0.00445841,0.00352416,0.00277467,0.00217674,0.00170207,0.00132692,0.00103159,0.000799925,0.000618774,0.000477524,0.000367657,0.000282378,0.000216291,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-15.3052,-0,-0,-0,-0,-24.0654,-5.68818,-0,-10.0719,-4.71332,-21.9689,-16.3983,-30.6947,-25.2417,-10.2173,-25.8803,-27.836,-44.6821,-26.0332,-31.1745,-36.4383,-30.7866,-25.386,-22.9389,-29.373,-21.2008,-28.2562,-26.1444,-20.4735,-32.1339,-18.7051,-19.613,-8.22783,-8.62769,-4.52144,-14.2075,-0,-0,-5.41296,-0,-0,-0,-6.37591,-0,-0,-0,-0,-0,-0,-8.17226,-0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,1,4,2,3,7,7,4,10,9,12,10,19,17,10,16,6,12,7,8,6,7,2,1,5,2,0,0,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0
-542.494,1,0.111638,3,7,0,547.009,-2.19383,-1.33922,-1.63216,-0.346798,3.17633,-0.311917,-0.69545,5.26576,2.48735,2.98489e-05,4.24834e-05,6.04505e-05,8.59844e-05,0.000122237,0.000173638,0.000246375,0.000349022,0.000493336,0.000695218,0.000975809,0.00136265,0.00189077,0.0026036,0.00355348,0.00480162,0.0064173,0.00847639,0.0110589,0.0142456,0.0181147,0.0225969,0.0275769,0.0328891,0.0383165,0.0435968,0.0484349,0.0525271,0.0555935,0.0574161,0.0578747,0.0569669,0.0548069,0.0516022,0.0476152,0.0431243,0.0383917,0.0336424,0.0290547,0.0247579,0.0208366,0.0173366,0.0142725,0.0116357,0.00940086,0.00753253,0.00598969,0.0047297,0.00371094,0.00289461,0.0022458,0.00173389,0.00133267,0.00102008,0.000777858,0.000591082,0.000447699,0.000338072,0.00025456,0.000191155,0.000143159,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.8645,-0,-0,-0,-0,-21.3552,-5.04876,-0,-9.00905,-4.25131,-20.0552,-15.1598,-28.7262,-23.9023,-9.78562,-25.0622,-27.2478,-44.1964,-26.0072,-31.4317,-37.0432,-31.5181,-26.1354,-23.7135,-30.446,-22.0057,-29.3392,-27.1357,-21.2315,-33.2875,-19.3552,-20.2747,-8.49884,-8.90736,-4.66695,-14.6656,-0,-0,-5.59647,-0,-0,-0,-6.62057,-0,-0,-0,-0,-0,-0,-8.56243,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,2,6,4,10,5,8,2,14,12,9,13,12,5,7,10,13,11,12,2,5,7,4,3,1,3,3,1,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0
-543.403,0.995271,0.111638,5,31,0,546.138,-2.36432,-1.80055,-1.50793,-0.602631,3.25338,0.567579,-0.780273,5.13577,2.61361,7.12967e-05,9.38451e-05,0.000123568,0.000162781,0.000214569,0.000283062,0.000373819,0.000494371,0.000655014,0.000869944,0.00115891,0.00154948,0.00207964,0.00280019,0.00377564,0.00508329,0.00681019,0.00904745,0.0118812,0.0153802,0.0195817,0.0244218,0.0297668,0.035412,0.0410858,0.0464609,0.0511726,0.054854,0.057202,0.0580559,0.0574309,0.0554826,0.0524487,0.0486043,0.0442313,0.0395966,0.0349329,0.030426,0.0262087,0.0223628,0.0189274,0.0159089,0.0132921,0.0110481,0.00914104,0.00753262,0.00618478,0.00506158,0.00413013,0.00336099,0.00272831,0.00220966,0.00178579,0.00144035,0.00115954,0.000931787,0.000747457,0.00059855,0.000478466,0.000381778,0.000304039,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.5205,-0,-0,-0,-0,-21.1272,-4.98934,-0,-8.8656,-4.17468,-19.6658,-14.8491,-28.1149,-23.3849,-9.57628,-24.5532,-26.753,-43.5462,-25.7505,-31.3098,-37.1433,-31.8086,-26.5313,-24.1924,-31.1832,-22.6031,-30.1889,-27.9397,-21.85,-34.2032,-19.8357,-20.7044,-8.64117,-9.011,-4.69498,-14.6655,-0,-0,-5.48945,-0,-0,-0,-6.3279,-0,-0,-0,-0,-0,-0,-7.87067,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,3,4,6,4,5,6,8,9,12,10,18,20,8,10,11,8,9,4,7,4,7,4,3,1,5,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-544.546,0.99479,0.111638,4,15,0,545.38,-2.75452,-1.8819,-1.46203,-0.732027,3.01932,0.536624,-0.872964,5.47827,2.94171,0.000123998,0.000157921,0.000201199,0.00025646,0.000327097,0.000417515,0.000533457,0.000682464,0.00087451,0.00112291,0.00144559,0.00186684,0.00241943,0.00314684,0.0041044,0.00535885,0.00698563,0.00906376,0.0116679,0.0148576,0.0186647,0.0230381,0.0278654,0.0329687,0.0381084,0.0429925,0.047297,0.0507066,0.0529771,0.0539898,0.0537582,0.0523975,0.0500879,0.0470449,0.0434948,0.0396538,0.0357116,0.0318212,0.0280958,0.0246112,0.0214118,0.0185178,0.0159317,0.0136436,0.0116364,0.0098879,0.00837427,0.00707095,0.00595399,0.00500076,0.00419029,0.00350353,0.00292336,0.00243457,0.00202379,0.00167934,0.00139109,0.0011503,0.000949477,0.000782241,0.000643162,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.0785,-0,-0,-0,-0,-20.916,-4.9639,-0,-8.90182,-4.20925,-19.9056,-15.0824,-28.643,-23.8854,-9.80196,-25.1738,-27.4618,-44.7255,-26.4411,-32.1086,-38.0024,-32.4379,-26.9458,-24.4532,-31.3511,-22.593,-29.9905,-27.581,-21.4328,-33.341,-19.2191,-19.9451,-8.27889,-8.58896,-4.45362,-13.8493,-0,-0,-5.12369,-0,-0,-0,-5.83502,-0,-0,-0,-0,-0,-0,-7.15335,-0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,3,2,2,3,4,1,8,4,9,20,11,14,12,11,13,5,11,9,8,6,9,4,4,0,2,4,1,3,2,2,2,0,1,0,2,0,1,1,0,0,0,0,0,0
