# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 16:18:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22e8d2aa8.json
# init = /tmp/RtmpC8O1hA/init-b41c2b66c2a1_3.json
# random
#   seed = 4652004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0453_rep046_accurate_strong/prior_sensitivity_obspair_FAST-202605311718-3-6b58b5.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0453_rep046_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605311718-3-6cb562.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.107038
# Diagonal elements of inverse mass matrix:
# 0.0625873, 0.0537038, 0.00766081, 0.00542307, 0.00994408, 0.00648888, 0.00637634
-544.018,0.998358,0.107038,5,31,0,546.792,-1.43387,-2.24267,-1.19026,-0.466768,4.01605,-0.0960358,-1.03612,5.12942,2.40449,6.27586e-05,8.59612e-05,0.000117779,0.000161434,0.000221365,0.000303685,0.000416798,0.000572209,0.000785532,0.00107766,0.00147597,0.00201521,0.0027379,0.00369365,0.0049373,0.00652548,0.00851191,0.0109414,0.013843,0.0172239,0.021063,0.0252844,0.0297727,0.0343748,0.0389069,0.0431642,0.0469345,0.0500154,0.0522332,0.0534621,0.0536402,0.052777,0.0509502,0.0482925,0.0449732,0.0411798,0.037101,0.0329143,0.0287753,0.0248119,0.0211202,0.0177643,0.0147791,0.0121739,0.00993866,0.00804913,0.00647258,0.00517205,0.00410978,0.00324953,0.00255806,0.00200584,0.00156733,0.00122081,0.000948195,0.000734529,0.000567638,0.000437676,0.000336747,0.000258556,0.000198116,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.0369,-0,-0,-0,-0,-20.1282,-4.76629,-0,-8.55994,-4.06146,-19.3012,-14.7103,-28.1133,-23.593,-9.73975,-25.142,-27.531,-44.9314,-26.5683,-32.2166,-38.0309,-32.3585,-26.7922,-24.2438,-31.0169,-22.3287,-29.647,-27.3108,-21.2894,-33.2679,-19.2876,-20.1528,-8.42908,-8.81692,-4.61132,-14.4666,-0,-0,-5.49439,-0,-0,-0,-6.45838,-0,-0,-0,-0,-0,-0,-8.2604,-0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,3,4,4,4,6,0,4,11,9,10,8,11,9,11,12,8,8,11,8,7,7,6,9,5,5,2,3,2,3,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0
-543.22,0.991055,0.107038,5,31,0,547.178,-2.79703,-2.06847,-1.39696,-0.416644,3.22378,0.218195,-1.08014,5.06433,2.36035,3.50912e-05,4.88183e-05,6.79288e-05,9.45458e-05,0.00013164,0.000183374,0.000255595,0.000356533,0.000497774,0.000695609,0.000972782,0.00136055,0.00190074,0.00264712,0.00366552,0.00503207,0.00682915,0.00913855,0.0120321,0.0155598,0.019738,0.0245074,0.0297463,0.035269,0.0408299,0.046135,0.0508605,0.0546826,0.0573199,0.0585827,0.0584096,0.0568701,0.0541379,0.0504531,0.0460877,0.0413168,0.036397,0.0315486,0.0269452,0.0227087,0.0189118,0.0155844,0.0127235,0.0103029,0.00828278,0.00661634,0.00525527,0.00415309,0.00326718,0.00255971,0.00199797,0.00155421,0.00120525,0.000931947,0.000718698,0.000552863,0.000424296,0.0003249,0.000248255,0.000189292,0.000144032,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.8707,-0,-0,-0,-0,-21.1677,-4.98656,-0,-8.84036,-4.16307,-19.626,-14.8351,-28.1204,-23.4133,-9.59502,-24.6095,-26.808,-43.5931,-25.732,-31.2105,-36.9236,-31.5368,-26.246,-23.8937,-30.7721,-22.3054,-29.8194,-27.6498,-21.6837,-34.0651,-19.8398,-20.8074,-8.72862,-9.15066,-4.79358,-15.0546,-0,-0,-5.72383,-0,-0,-0,-6.72107,-0,-0,-0,-0,-0,-0,-8.57222,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,1,2,3,8,7,6,6,11,11,16,12,7,10,12,12,11,10,10,6,5,7,4,5,2,1,2,2,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0
-542.542,0.999707,0.107038,5,31,0,545.945,-2.09179,-1.36432,-1.29173,-0.435916,3.53691,-0.0865902,-0.883607,5.25321,2.4474,2.63754e-05,3.65014e-05,5.05422e-05,7.00333e-05,9.71298e-05,0.000134867,0.00018754,0.000261243,0.000364652,0.000510109,0.000715087,0.00100405,0.00141059,0.00197963,0.00276928,0.00385173,0.00531274,0.00724906,0.00976332,0.0129564,0.0169176,0.0216262,0.0269969,0.0328673,0.0389922,0.0450473,0.0506475,0.0553831,0.0588742,0.0608352,0.0611305,0.0597979,0.0570304,0.0531271,0.0484341,0.0432943,0.0380129,0.0328382,0.027955,0.0234863,0.0195007,0.0160225,0.013043,0.0105309,0.00844156,0.00672396,0.00532601,0.00419794,0.00329436,0.00257523,0.00200606,0.00155779,0.00120624,0.0009316,0.000717765,0.000551778,0.000423284,0.000324057,0.000247601,0.000188805,0.000143672,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-14.4862,-0,-0,-0,-0,-22.2369,-5.23765,-0,-9.25825,-4.34616,-20.397,-15.3354,-28.8963,-23.9069,-9.73318,-24.8003,-26.8458,-43.4022,-25.4912,-30.7955,-36.3317,-30.9846,-25.7775,-23.4805,-30.2755,-21.9781,-29.4285,-27.3293,-21.4629,-33.762,-19.6865,-20.6688,-8.67901,-9.10688,-4.77459,-15.0062,-0,-0,-5.71554,-0,-0,-0,-6.72024,-0,-0,-0,-0,-0,-0,-8.57479,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,3,7,3,5,6,7,9,13,15,9,9,12,8,11,9,12,9,10,5,4,4,3,8,2,1,1,1,0,0,0,2,0,0,0,2,1,1,0,0,0,0
-542.453,0.997822,0.107038,5,31,0,544.079,-1.96701,-2.37023,-1.25624,-0.515268,3.64824,-0.123086,-1.07612,5.41363,2.56696,7.61292e-05,0.000102702,0.000138575,0.000187019,0.000252457,0.000340866,0.000460308,0.000621611,0.000839198,0.00113205,0.00152469,0.00204794,0.00273931,0.00364253,0.00480607,0.00628052,0.00811459,0.0103502,0.0130165,0.0161245,0.0196613,0.0235683,0.0277512,0.0320811,0.0363984,0.0405204,0.0442524,0.0474028,0.0498013,0.0513177,0.0518777,0.0514712,0.0501502,0.0480184,0.0452161,0.0419046,0.0382516,0.0344193,0.0305544,0.0267818,0.0231999,0.0198796,0.0168657,0.0141796,0.0118241,0.00978738,0.00804797,0.00657846,0.00534867,0.00432799,0.00348701,0.00279851,0.00223803,0.00178403,0.00141793,0.00112389,0.000888557,0.000700824,0.000551499,0.000433039,0.000339295,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.9719,-0,-0,-0,-0,-20.2812,-4.81409,-0,-8.68307,-4.12742,-19.6455,-14.9914,-28.6758,-24.0764,-9.93969,-25.6476,-28.0606,-45.7361,-26.9974,-32.6669,-38.4653,-32.6341,-26.9346,-24.2894,-30.963,-22.2065,-29.3721,-26.9531,-20.9295,-32.5803,-18.818,-19.5903,-8.16495,-8.5119,-4.43762,-13.88,-0,-0,-5.23091,-0,-0,-0,-6.10216,-0,-0,-0,-0,-0,-0,-7.74468,-0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,3,0,2,3,0,4,3,9,9,4,9,9,8,5,6,14,11,10,9,11,8,8,6,8,4,2,2,6,2,6,0,4,1,2,0,1,1,1,1,0,1,0,0,0,0,1
-541.299,0.999559,0.107038,5,63,0,544.098,-1.80899,-2.04897,-1.32731,-0.503523,3.54159,-0.0789729,-1.07483,5.21722,2.51944,6.66402e-05,9.02462e-05,0.000122252,0.00016567,0.000224611,0.00030468,0.000413528,0.000561567,0.000762903,0.00103647,0.00140724,0.00190744,0.00257722,0.00346469,0.00462461,0.00611584,0.00799716,0.0103217,0.0131305,0.0164454,0.0202629,0.0245146,0.0290884,0.0338294,0.0385438,0.0430091,0.0469886,0.0502526,0.0526028,0.0538986,0.0540767,0.0531586,0.0512424,0.0484835,0.0450715,0.0412089,0.0370929,0.0329028,0.0287909,0.0248773,0.0212483,0.0179584,0.0150339,0.0124784,0.0102784,0.00840861,0.00683733,0.00552967,0.00445059,0.00356666,0.00284724,0.002265,0.00179613,0.00142021,0.00111999,0.000881057,0.000691506,0.000541552,0.000423228,0.000330079,0.000256906,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.1322,-0,-0,-0,-0,-20.3875,-4.82867,-0,-8.66563,-4.10771,-19.4948,-14.834,-28.2993,-23.705,-9.76788,-25.1708,-27.5206,-44.8604,-26.5049,-32.1272,-37.9256,-32.2792,-26.7407,-24.2123,-30.995,-22.3237,-29.649,-27.3136,-21.2862,-33.2442,-19.2574,-20.0985,-8.39489,-8.7675,-4.57771,-14.3355,-0,-0,-5.41472,-0,-0,-0,-6.32212,-0,-0,-0,-0,-0,-0,-8.01618,-0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2,1,6,1,2,2,6,8,4,9,4,14,8,11,14,12,17,10,9,4,9,5,5,6,4,4,7,0,1,1,1,2,4,0,2,1,0,0,0,0,0,0,0,0,0
-542.551,0.998967,0.107038,5,31,0,543.274,-2.8436,-2.0036,-1.17698,-0.403325,3.5783,0.0529617,-0.8337,5.38576,2.3773,2.82322e-05,3.94573e-05,5.51596e-05,7.71366e-05,0.000107917,0.000151063,0.000211604,0.000296641,0.000416196,0.00058436,0.000820749,0.00115222,0.00161464,0.00225424,0.00312827,0.00430421,0.00585722,0.00786514,0.0104011,0.0135236,0.0172662,0.021605,0.0264627,0.0317017,0.0371237,0.0424756,0.0474636,0.0517755,0.0551152,0.0572452,0.0580259,0.0574378,0.0555755,0.0526218,0.0488147,0.0444162,0.039686,0.0348617,0.0301444,0.0256897,0.0216058,0.0179554,0.0147632,0.0120235,0.00970986,0.00778297,0.0061972,0.00490549,0.00386264,0.00302716,0.00236234,0.00183645,0.00142264,0.00109855,0.00084579,0.000649407,0.000497348,0.000379975,0.000289634,0.00022028,0.000167165,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-14.2106,-0,-0,-0,-0,-21.7926,-5.14008,-0,-9.1317,-4.30332,-20.295,-15.3393,-29.0561,-24.1597,-9.8805,-25.2706,-27.4301,-44.4126,-26.085,-31.4645,-37.0093,-31.4276,-26.0101,-23.557,-30.1972,-21.7991,-29.0408,-26.8509,-21.0105,-32.955,-19.174,-20.0993,-8.43124,-8.84179,-4.63461,-14.5675,-0,-0,-5.55641,-0,-0,-0,-6.55524,-0,-0,-0,-0,-0,-0,-8.42061,-0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,3,2,3,4,5,8,2,5,8,9,9,4,11,13,12,13,11,12,13,10,7,6,6,5,3,2,2,1,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0
