# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 16:23:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22b0f3e26.json
# init = /tmp/RtmpC8O1hA/init-b41c26c64134e_1.json
# random
#   seed = 4652005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0454_rep046_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605311723-1-8d25c7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0454_rep046_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605311723-1-6f53da.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0755683
# Diagonal elements of inverse mass matrix:
# 0.137474, 0.0857625, 0.109565, 0.032456, 0.121619, 0.141034, 0.318397
-544.232,0.999893,0.0755683,6,63,0,550.48,-1.65007,-3.10765,-0.970061,-0.347979,4.33609,0.68075,-1.63597,4.88247,1.97454,2.53556e-05,3.61046e-05,5.14185e-05,7.32438e-05,0.000104366,0.000148777,0.000212218,0.000302963,0.000432981,0.000619568,0.000887492,0.0012713,0.0018172,0.00258419,0.00364406,0.00507983,0.00698112,0.00943548,0.0125147,0.0162569,0.0206489,0.0256102,0.0309936,0.036594,0.0421621,0.0474196,0.0520759,0.0558478,0.0584841,0.0597964,0.0596929,0.0581995,0.0554504,0.0516571,0.0470762,0.0419831,0.036652,0.0313384,0.026265,0.0216064,0.0174782,0.0139337,0.0109715,0.00855026,0.0066064,0.00506799,0.00386436,0.0029314,0.00221377,0.00166531,0.00124842,0.000933022,0.000695383,0.000516977,0.000383467,0.000283839,0.000209686,0.000154621,0.000113818,8.36398e-05,6.13601e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-14.0542,-0,-0,-0,-0,-21.1299,-4.96455,-0,-8.76171,-4.11924,-19.4005,-14.6591,-27.7918,-23.1551,-9.4987,-24.3898,-26.5955,-43.2769,-25.551,-30.9849,-36.641,-31.2827,-26.0304,-23.705,-30.5599,-22.1934,-29.7566,-27.7033,-21.8371,-34.5129,-20.234,-21.3672,-9.02491,-9.52359,-5.01972,-15.8544,-0,-0,-6.11306,-0,-0,-0,-7.27105,-0,-0,-0,-0,-0,-0,-9.38899,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,5,6,6,6,7,7,13,15,11,13,12,10,11,11,16,8,6,5,4,5,4,4,2,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
-541.455,0.99673,0.0755683,5,63,0,546.853,-1.02468,-2.20962,-0.696527,-0.770858,4.44304,0.145059,-0.962618,5.34588,2.61718,8.66811e-05,0.00010979,0.000139245,0.000176903,0.000225231,0.000287554,0.00036841,0.000474099,0.000613509,0.000799361,0.00105,0.00139178,0.0018618,0.00251036,0.00340226,0.00461573,0.0062383,0.00835893,0.0110565,0.0143855,0.0183613,0.0229342,0.0279877,0.0333371,0.0387378,0.0439029,0.0485285,0.0523245,0.055047,0.0565283,0.0566986,0.0555922,0.053337,0.0501316,0.0462173,0.0418506,0.0372782,0.0327166,0.0283392,0.0242703,0.020586,0.017321,0.0144777,0.0120361,0.00996278,0.00821757,0.0067587,0.00554584,0.00454182,0.00371354,0.00303208,0.00247266,0.00201422,0.00163903,0.0013323,0.00108171,0.000877074,0.000709989,0.000573576,0.000462209,0.000371309,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.7179,-0,-0,-0,-0,-21.5131,-5.07705,-0,-9.00948,-4.24153,-19.9876,-15.1005,-28.6079,-23.8076,-9.75282,-25.0062,-27.2304,-44.2544,-26.0961,-31.6032,-37.3101,-31.7868,-26.3801,-23.9448,-30.744,-22.2155,-29.6041,-27.359,-21.3811,-33.4665,-19.4157,-20.2792,-8.47029,-8.83968,-4.6089,-14.4044,-0,-0,-5.39443,-0,-0,-0,-6.20753,-0,-0,-0,-0,-0,-0,-7.67949,-0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,2,1,0,6,4,3,5,4,8,12,12,8,16,8,8,16,9,6,7,8,8,10,4,1,4,6,4,2,4,3,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
-547.035,0.953083,0.0755683,4,15,0,548.842,-0.866354,-1.97975,-0.785264,-0.997395,5.14596,-0.108462,-1.24446,6.25143,3.16961,7.86231e-05,9.60861e-05,0.000117837,0.000145129,0.000179682,0.000223893,0.000281176,0.000356471,0.000457022,0.000593504,0.000781546,0.00104359,0.00141077,0.00192434,0.00263603,0.0036068,0.00490354,0.00659388,0.008739,0.0113854,0.0145565,0.0182293,0.0223379,0.0267708,0.031373,0.0359547,0.0403036,0.0442024,0.0474481,0.0498707,0.0513512,0.0518328,0.0513258,0.0499029,0.0476869,0.0448352,0.0415222,0.0379233,0.0342014,0.0304971,0.0269232,0.023562,0.0204674,0.0176679,0.0151718,0.0129725,0.0110532,0.00939124,0.00796089,0.0067358,0.00569045,0.00480098,0.00404568,0.00340513,0.00286223,0.00240208,0.00201185,0.00168061,0.00139915,0.00115978,0.000956124,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-14.3085,-0,-0,-0,-0,-22.4997,-5.3178,-0,-9.47992,-4.47542,-21.1486,-16.0189,-30.4118,-25.3431,-10.3854,-26.604,-28.9018,-46.7846,-27.4331,-32.9815,-38.5979,-32.5571,-26.7261,-23.9814,-30.431,-21.7333,-28.6337,-26.1775,-20.2529,-31.4111,-18.0738,-18.7406,-7.77784,-8.07202,-4.18832,-13.0348,-0,-0,-4.83321,-0,-0,-0,-5.51011,-0,-0,-0,-0,-0,-0,-6.75953,-0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,4,0,4,2,2,7,5,8,6,5,12,8,12,10,14,8,14,10,3,5,12,9,5,10,5,1,4,4,1,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0
-546.053,0.993667,0.0755683,4,15,0,549.71,-0.490691,-2.05352,-0.686154,-0.995322,5.00447,-0.110208,-1.37116,6.05767,3.1601,8.12463e-05,9.93762e-05,0.000121988,0.000150403,0.00018644,0.000232644,0.00029265,0.000371749,0.000477739,0.000622201,0.000822239,0.0011026,0.00149784,0.00205377,0.00282751,0.00388546,0.00529888,0.0071374,0.00946082,0.0123101,0.0156983,0.0195872,0.0238917,0.0284799,0.0331777,0.0377797,0.0420641,0.0458109,0.0488222,0.0509407,0.0520667,0.0521673,0.0512777,0.0494936,0.046957,0.0438393,0.0403233,0.0365872,0.0327917,0.0290708,0.0255275,0.0222332,0.0192304,0.0165374,0.0141543,0.012068,0.0102571,0.00869611,0.00735775,0.0062151,0.00524266,0.00441704,0.00371717,0.00312442,0.00262244,0.00219712,0.00183637,0.00152997,0.00126941,0.00104763,0.000858879,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-14.207,-0,-0,-0,-0,-22.2021,-5.24026,-0,-9.32119,-4.39734,-20.771,-15.7315,-29.8738,-24.9099,-10.2176,-26.2079,-28.517,-46.2485,-27.1761,-32.748,-38.418,-32.4863,-26.7345,-24.0473,-30.5852,-21.8906,-28.8974,-26.4645,-20.5055,-31.8422,-18.34,-19.0308,-7.90253,-8.20426,-4.25773,-13.2516,-0,-0,-4.912,-0,-0,-0,-5.59479,-0,-0,-0,-0,-0,-0,-6.86122,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,8,7,13,3,8,5,6,5,4,6,7,15,5,15,9,8,17,5,7,8,8,4,4,4,0,3,2,1,2,0,1,0,2,0,0,1,1,0,0,0,0
-542.987,0.998331,0.0755683,5,31,0,548.774,-1.87602,-1.25856,-0.963164,-0.0935166,3.33104,-0.70199,-1.249,5.17847,2.30581,1.23065e-05,1.90843e-05,2.94816e-05,4.53377e-05,6.93562e-05,0.000105464,0.000159291,0.000238809,0.000355143,0.000523603,0.000764934,0.00110676,0.00158513,0.00224596,0.00314605,0.00435318,0.00594486,0.0080051,0.0106191,0.0138657,0.017808,0.0224137,0.0275887,0.0331697,0.0389246,0.0445621,0.0497525,0.054159,0.057477,0.0594725,0.0600146,0.0590929,0.0568148,0.0533865,0.04908,0.0441955,0.0390274,0.0338369,0.0288364,0.0241821,0.0199752,0.0162686,0.0130752,0.0103788,0.00814262,0.0063184,0.00485237,0.00369031,0.00278083,0.00207738,0.00153921,0.00113168,0.000826008,0.000598769,0.000431246,0.000308706,0.000219724,0.00015555,0.000109563,7.68036e-05,5.35969e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-14.3514,-0,-0,-0,-0,-21.7474,-5.12523,-0,-9.0902,-4.27834,-20.1405,-15.1923,-28.7228,-23.8428,-9.73839,-24.887,-27.0063,-43.7375,-25.7073,-31.0447,-36.5712,-31.1151,-25.8116,-23.4416,-30.143,-21.8339,-29.1914,-27.0896,-21.2767,-33.4993,-19.5663,-20.5926,-8.67407,-9.13599,-4.81064,-15.1929,-0,-0,-5.88501,-0,-0,-0,-7.09891,-0,-0,-0,-0,-0,-0,-9.47426,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,2,0,7,3,2,5,10,6,11,10,9,10,7,11,13,11,13,10,12,5,8,7,3,2,5,3,3,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
-541.793,0.998142,0.0755683,5,63,0,544.619,-1.48354,-1.33927,-1.25349,-0.535177,3.26305,-0.362164,-1.18018,5.15507,2.62841,5.94732e-05,7.98392e-05,0.000107229,0.0001441,0.000193785,0.000260821,0.000351391,0.000473933,0.000639953,0.0008651,0.00117051,0.00158442,0.00214385,0.00289617,0.00390008,0.00522545,0.00695151,0.00916304,0.0119444,0.0153717,0.0195035,0.0242558,0.0294801,0.0349632,0.0404343,0.0455829,0.0500864,0.0536463,0.0560264,0.0570856,0.0567961,0.0552413,0.0525962,0.0490953,0.0449979,0.0405582,0.0360034,0.0315207,0.0272526,0.0232979,0.0197159,0.0165334,0.0137523,0.0113562,0.00931709,0.00760014,0.0061678,0.00498248,0.00400847,0.00321302,0.0025669,0.00204458,0.00162411,0.0012869,0.00101737,0.000802554,0.000631809,0.000496408,0.000389256,0.000304615,0.000237862,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.5006,-0,-0,-0,-0,-21.0169,-4.9688,-0,-8.85499,-4.17523,-19.6858,-14.8764,-28.1923,-23.4742,-9.62423,-24.7058,-26.946,-43.8801,-25.9374,-31.4952,-37.2877,-31.8565,-26.506,-24.1119,-31.0114,-22.4351,-29.9173,-27.6569,-21.6156,-33.8345,-19.6317,-20.5119,-8.5731,-8.95598,-4.67591,-14.6388,-0,-0,-5.51935,-0,-0,-0,-6.42279,-0,-0,-0,-0,-0,-0,-8.09646,-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,4,5,3,5,3,7,6,7,14,12,9,13,7,12,11,11,5,12,13,4,7,1,3,3,4,4,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
