# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 16:42:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c253deb3f4.json
# init = /tmp/RtmpC8O1hA/init-b41c26dc26286_3.json
# random
#   seed = 4652007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0456_rep046_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605311742-3-239482.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0456_rep046_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605311742-3-1f377b.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.157832
# Diagonal elements of inverse mass matrix:
# 0.0501318, 0.0376071, 0.00610681, 0.00497243, 0.00917287, 0.00777673, 0.00894768
-543.191,0.989851,0.157832,4,31,0,552.048,-2.31409,-2.06552,-1.02764,-0.522154,3.684,0.0780029,-0.681128,5.40935,2.49593,4.7644e-05,6.41695e-05,8.646e-05,0.000116552,0.00015722,0.000212259,0.000286875,0.000388242,0.000526276,0.0007147,0.000972443,0.00132536,0.00180808,0.00246568,0.00335456,0.00454203,0.00610378,0.00811888,0.0106618,0.0137919,0.0175414,0.0218839,0.0267353,0.031948,0.0373112,0.0425598,0.0473923,0.0514984,0.0545965,0.0564763,0.0570317,0.0562724,0.054312,0.0513401,0.047592,0.04332,0.0387699,0.0341618,0.0296779,0.0254557,0.0215873,0.0181236,0.0150821,0.0124545,0.0102155,0.00832977,0.00675701,0.0054562,0.00438797,0.00351611,0.00280831,0.00223638,0.00177613,0.00140712,0.00111221,0.000877223,0.000690474,0.000542418,0.000425292,0.000332819,0.000259947,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.8714,-0,-0,-0,-0,-21.5775,-5.09885,-0,-9.08218,-4.28367,-20.216,-15.288,-28.9742,-24.1055,-9.86539,-25.2548,-27.4437,-44.4931,-26.1701,-31.6133,-37.2339,-31.6531,-26.2171,-23.7543,-30.4509,-21.974,-29.251,-27.0132,-21.1041,-33.0373,-19.1783,-20.0527,-8.3885,-8.77135,-4.58385,-14.3638,-0,-0,-5.42889,-0,-0,-0,-6.33332,-0,-0,-0,-0,-0,-0,-8.00791,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,2,4,7,6,3,3,10,11,6,6,9,10,14,16,7,9,10,7,6,7,7,9,4,3,2,1,3,2,1,1,2,1,1,1,0,1,0,0,0,0,1,0,0
-542.581,0.987142,0.157832,4,31,0,546.448,-2.1581,-2.44229,-1.2854,-0.565782,4.03659,0.275538,-0.820536,5.57309,2.55951,7.20378e-05,9.57946e-05,0.00012743,0.000169588,0.000225825,0.000300938,0.000401415,0.00053606,0.00071683,0.000959899,0.0012869,0.00172613,0.00231341,0.00309223,0.00411302,0.00543115,0.00710349,0.00918317,0.0117127,0.0147162,0.0181914,0.022091,0.0263286,0.0307787,0.035282,0.039653,0.0436899,0.0471872,0.049952,0.0518243,0.0527007,0.0525499,0.0514134,0.0493918,0.046627,0.0432856,0.0395457,0.035584,0.0315653,0.0276323,0.0238988,0.0204464,0.0173248,0.0145557,0.0121389,0.0100581,0.00828686,0.0067937,0.00554519,0.0045085,0.00365283,0.00295025,0.00237599,0.00190849,0.00152926,0.00122262,0.000975383,0.000776561,0.000617052,0.00048936,0.000387344,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.311,-0,-0,-0,-0,-20.8624,-4.94717,-0,-8.89416,-4.21881,-20.034,-15.2503,-29.0968,-24.3665,-10.0331,-25.8207,-28.1758,-45.8045,-26.9702,-32.5589,-38.2607,-32.4059,-26.7107,-24.0638,-30.6558,-21.9795,-29.0727,-26.6869,-20.7342,-32.2989,-18.6696,-19.4498,-8.11124,-8.45954,-4.41134,-13.7981,-0,-0,-5.19482,-0,-0,-0,-6.04234,-0,-0,-0,-0,-0,-0,-7.62241,-0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,2,1,3,0,3,5,3,7,9,11,6,9,11,7,9,11,5,11,9,11,7,8,10,7,7,4,3,4,0,3,2,2,1,0,3,0,0,0,0,1,0,0,0,0,0
-541.545,0.999966,0.157832,4,15,0,543.032,-1.98208,-2.1491,-1.23691,-0.550387,3.94104,0.381729,-0.813367,5.3159,2.46628,5.79542e-05,7.74218e-05,0.000103472,0.000138365,0.000185161,0.000248029,0.000332672,0.00044695,0.000601759,0.000812259,0.00109949,0.00149221,0.0020286,0.00275733,0.00373747,0.005037,0.00672933,0.00888735,0.0115747,0.0148348,0.0186794,0.0230579,0.0278657,0.0329435,0.0380843,0.0430434,0.0475533,0.0513425,0.054162,0.05582,0.0562186,0.0553709,0.0533874,0.0504456,0.0467618,0.0425679,0.0380941,0.0335525,0.0291248,0.024952,0.0211309,0.0177158,0.0147245,0.0121481,0.00995916,0.00812036,0.00658998,0.00532611,0.0042891,0.0034429,0.0027557,0.00219991,0.00175203,0.00139228,0.00110414,0.000873947,0.00069048,0.00054456,0.000428726,0.000336936,0.000264318,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.6258,-0,-0,-0,-0,-21.1638,-5.00128,-0,-8.91787,-4.21078,-19.9017,-15.079,-28.6429,-23.8907,-9.80386,-25.1644,-27.4131,-44.5385,-26.242,-31.7419,-37.4206,-31.8307,-26.3716,-23.8949,-30.6269,-22.0966,-29.4093,-27.1571,-21.217,-33.2172,-19.2851,-20.1665,-8.43648,-8.82117,-4.60926,-14.4401,-0,-0,-5.45168,-0,-0,-0,-6.34698,-0,-0,-0,-0,-0,-0,-7.99562,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,4,6,2,4,7,7,5,10,12,6,12,13,14,7,14,11,12,5,7,7,9,3,2,0,3,4,3,0,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0
-542.221,0.990966,0.157832,5,31,0,543.215,-1.60116,-1.98839,-1.25427,-0.502038,3.99731,0.304913,-0.840608,5.06236,2.35699,4.84023e-05,6.56058e-05,8.89698e-05,0.000120738,0.000164001,0.000223042,0.000303828,0.000414738,0.000567594,0.000779116,0.00107278,0.00148088,0.00204634,0.0028236,0.00387821,0.00528459,0.00712166,0.00946594,0.0123821,0.015912,0.020063,0.0247649,0.029889,0.0352495,0.0406108,0.0457004,0.0502267,0.0539016,0.0564708,0.0577507,0.0576648,0.0562595,0.0536877,0.0501711,0.0459646,0.0413285,0.0365086,0.0317219,0.0271456,0.0229105,0.0190996,0.0157523,0.0128717,0.0104349,0.00840273,0.00672767,0.00536025,0.0042528,0.00336183,0.00264899,0.00208136,0.00163119,0.00127544,0.000995174,0.000774978,0.000602399,0.000467437,0.0003621,0.000280031,0.000216195,0.000166614,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.675,-0,-0,-0,-0,-20.9718,-4.94461,-0,-8.783,-4.14068,-19.5444,-14.7933,-28.0821,-23.4171,-9.61116,-24.6852,-26.9209,-43.8089,-25.8663,-31.3678,-37.0904,-31.6556,-26.3211,-23.9385,-30.7988,-22.3034,-29.7919,-27.606,-21.6392,-33.9854,-19.7904,-20.7538,-8.70545,-9.12519,-4.7792,-15.0046,-0,-0,-5.69527,-0,-0,-0,-6.66446,-0,-0,-0,-0,-0,-0,-8.43933,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,3,2,3,2,6,2,7,12,7,3,12,8,13,13,9,17,8,15,4,7,4,9,4,5,7,4,2,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0
-542.889,0.985476,0.157832,5,31,0,545.839,-2.35365,-2.12074,-1.24222,-0.474975,3.77477,0.34831,-1.05751,5.30195,2.38952,3.94745e-05,5.39195e-05,7.3674e-05,0.00010071,0.000137748,0.000188557,0.000258377,0.000354534,0.000487314,0.000671194,0.000926476,0.00128124,0.00177325,0.00245139,0.003376,0.00461786,0.00625503,0.00836707,0.0110261,0.0142851,0.018165,0.0226253,0.0275674,0.0328329,0.0382083,0.0434355,0.0482266,0.0522842,0.0553315,0.057152,0.057632,0.0567787,0.0547068,0.0516064,0.0477123,0.0432782,0.0385562,0.0337778,0.0291391,0.0247903,0.0208318,0.0173171,0.0142611,0.0116496,0.00944987,0.00761905,0.00611041,0.00487764,0.00387747,0.00307097,0.0024241,0.00190769,0.00149713,0.00117193,0.000915201,0.000713126,0.000554505,0.000430302,0.000333269,0.000257622,0.00019876,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.9682,-0,-0,-0,-0,-21.5113,-5.07437,-0,-9.01498,-4.24854,-20.0413,-15.1547,-28.729,-23.9143,-9.79411,-25.0918,-27.2866,-44.2659,-26.0497,-31.4824,-37.0978,-31.5545,-26.1519,-23.7129,-30.4257,-21.9807,-29.3007,-27.1036,-21.214,-33.2757,-19.3564,-20.2803,-8.50044,-8.90497,-4.66175,-14.6313,-0,-0,-5.55257,-0,-0,-0,-6.5042,-0,-0,-0,-0,-0,-0,-8.26402,-0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,2,0,4,5,6,4,8,12,11,8,8,9,6,11,12,9,10,7,10,11,4,3,7,4,8,3,1,3,1,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0
-542.561,0.990889,0.157832,4,31,0,547.777,-1.20914,-1.91202,-1.16663,-0.600991,4.29716,0.352571,-0.876863,5.07881,2.42237,6.37289e-05,8.40589e-05,0.000110971,0.000146669,0.000194147,0.00025751,0.000342453,0.000456966,0.000612399,0.000824981,0.00111782,0.00152317,0.0020843,0.0028565,0.00390647,0.00530993,0.00714692,0.00949468,0.012418,0.0159582,0.0201216,0.0248315,0.0299527,0.0352939,0.0406163,0.0456479,0.0501024,0.0537012,0.0562009,0.0574264,0.0573043,0.0558803,0.0533064,0.0498048,0.0456298,0.0410399,0.0362778,0.0315562,0.0270477,0.0228789,0.0191293,0.0158357,0.0129996,0.0105972,0.00858915,0.00692858,0.00556705,0.00445834,0.00356047,0.0028366,0.00225517,0.0017896,0.00141778,0.00112149,0.000885846,0.000698744,0.000550399,0.000432929,0.000340008,0.000266577,0.000208599,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.5927,-0,-0,-0,-0,-20.9527,-4.94107,-0,-8.77721,-4.13778,-19.5298,-14.7826,-28.0651,-23.4083,-9.61076,-24.6944,-26.9432,-43.8648,-25.9094,-31.4298,-37.1719,-31.73,-26.3853,-23.9972,-30.8719,-22.3525,-29.8489,-27.6479,-21.6609,-33.9979,-19.7827,-20.7274,-8.68567,-9.09433,-4.75726,-14.9163,-0,-0,-5.63786,-0,-0,-0,-6.55866,-0,-0,-0,-0,-0,-0,-8.22985,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,2,1,5,3,4,7,5,7,6,10,12,9,12,15,13,9,9,9,7,16,4,6,8,3,2,3,1,2,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0
