# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 16:57:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c244866073.json
# init = /tmp/RtmpC8O1hA/init-b41c25acc101f_1.json
# random
#   seed = 4652009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0458_rep046_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605311757-1-6b16ee.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0458_rep046_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605311757-1-8c98f4.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.169241
# Diagonal elements of inverse mass matrix:
# 0.0971732, 0.0981254, 0.0345806, 0.00782097, 0.0470568, 0.0429248, 0.0537794
-543.24,0.998431,0.169241,5,31,0,544.403,-2.05159,-2.18631,-0.810828,-0.789934,3.92234,0.991651,-0.292454,5.56355,2.75017,9.47107e-05,0.000119094,0.000149837,0.00018865,0.000237731,0.000299922,0.000378937,0.000479673,0.000608677,0.000774854,0.000990595,0.00127356,0.00164942,0.00215523,0.00284298,0.0037827,0.00506463,0.00679814,0.00910475,0.0121014,0.0158737,0.0204256,0.0256681,0.0314149,0.0373938,0.043266,0.0486478,0.0531388,0.0563722,0.0581037,0.0582802,0.0570041,0.0544744,0.0509503,0.0467253,0.0421015,0.0373608,0.0327366,0.0283947,0.0244321,0.0208898,0.0177707,0.0150549,0.0127101,0.0106993,0.00898386,0.0075269,0.00629395,0.0052538,0.00437863,0.00364399,0.00302857,0.00251393,0.00208425,0.00172598,0.0014276,0.00117933,0.000972918,0.000801424,0.000659016,0.000540821,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.8344,-0,-0,-0,-0,-22.3093,-5.28547,-0,-9.39792,-4.41443,-20.7155,-15.5639,-29.3,-24.2233,-9.85875,-25.1231,-27.2083,-44.0227,-25.882,-31.3008,-36.9524,-31.5109,-26.1902,-23.8152,-30.6347,-22.1737,-29.5842,-27.3541,-21.3693,-33.4067,-19.3425,-20.151,-8.39211,-8.73071,-4.53758,-14.137,-0,-0,-5.2488,-0,-0,-0,-5.98591,-0,-0,-0,-0,-0,-0,-7.32476,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,4,5,3,11,10,8,7,9,12,9,7,12,12,11,6,7,15,10,4,1,5,4,0,4,3,6,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0
-543.728,0.990046,0.169241,5,31,0,545.891,-1.97745,-2.94087,-0.670317,-0.568248,4.10101,0.429762,-0.00300123,5.26868,2.36591,5.71857e-05,7.59742e-05,0.000100963,0.000134221,0.000178521,0.000237598,0.0003165,0.000422093,0.000563778,0.000754524,0.00101234,0.00136227,0.00183887,0.0024888,0.00337293,0.00456691,0.00615912,0.00824429,0.0109118,0.0142289,0.0182213,0.0228453,0.027985,0.0334529,0.0390001,0.0443344,0.0491433,0.0531219,0.0560061,0.0576082,0.057847,0.0567532,0.0544543,0.0511488,0.047081,0.0425164,0.0377169,0.0329191,0.0283162,0.0240482,0.0202008,0.0168117,0.0138818,0.0113867,0.00928784,0.00753952,0.00609498,0.00490941,0.00394186,0.00315603,0.00252042,0.00200817,0.00159666,0.00126699,0.00100356,0.000793528,0.000626409,0.000493677,0.000388428,0.000305097,0.000239213,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.791,-0,-0,-0,-0,-21.5557,-5.08982,-0,-9.03582,-4.25248,-20.0258,-15.116,-28.6087,-23.7833,-9.73257,-24.928,-27.1171,-44.0275,-25.9407,-31.395,-37.0494,-31.5595,-26.1935,-23.7841,-30.5589,-22.1051,-29.4988,-27.3096,-21.3859,-33.5492,-19.5102,-20.4284,-8.55436,-8.95061,-4.67905,-14.6628,-0,-0,-5.5361,-0,-0,-0,-6.43984,-0,-0,-0,-0,-0,-0,-8.09488,-0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,3,2,5,5,2,7,7,10,10,8,8,13,14,13,11,10,13,6,7,5,5,4,3,3,1,3,4,4,2,2,1,0,0,1,1,0,0,1,0,0,0,1,0,0
-543.652,0.997213,0.169241,5,31,0,545.245,-1.45581,-2.35297,-1.25814,-0.589108,4.76546,0.536718,-1.16562,5.45029,2.42752,7.43996e-05,9.83921e-05,0.00013021,0.000172472,0.000228723,0.000303796,0.000404337,0.000539559,0.000722294,0.000970314,0.00130768,0.00176568,0.00238314,0.00320596,0.00428594,0.00567848,0.0074389,0.00961694,0.0122496,0.0153531,0.0189145,0.0228751,0.0271377,0.0315702,0.0360136,0.0402904,0.0442146,0.0476013,0.0502771,0.0520926,0.0529399,0.0527728,0.0516193,0.0495737,0.0467742,0.0433832,0.0395734,0.0355182,0.0313832,0.0273182,0.0234497,0.0198742,0.0166549,0.0138218,0.0113767,0.00929992,0.00755887,0.00611444,0.00492612,0.0039551,0.00316604,0.00252779,0.00201353,0.00160053,0.0012698,0.00100562,0.000795046,0.000627537,0.000494517,0.000389051,0.000305552,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.279,-0,-0,-0,-0,-20.6843,-4.90103,-0,-8.80452,-4.17644,-19.8391,-15.1108,-28.8547,-24.1888,-9.97158,-25.6931,-28.0683,-45.6734,-26.9118,-32.502,-38.2018,-32.3593,-26.6747,-24.0344,-30.6242,-21.9638,-29.0664,-26.7017,-20.7689,-32.4018,-18.7645,-19.5917,-8.1901,-8.56301,-4.47619,-14.0332,-0,-0,-5.3132,-0,-0,-0,-6.20787,-0,-0,-0,-0,-0,-0,-7.8518,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,2,2,2,4,5,6,6,8,7,11,11,9,9,8,7,14,12,14,11,10,10,5,2,4,1,3,1,2,1,1,0,2,1,2,0,0,0,0,0,1,0,0,0,0
-544.152,0.973436,0.169241,5,31,0,548.565,-2.02845,-3.18724,-0.703455,-0.687339,4.23065,0.681721,0.0297627,5.54457,2.55225,9.59919e-05,0.000123559,0.000159087,0.000204909,0.000264058,0.000340496,0.000439428,0.000567727,0.000734547,0.000952196,0.00123739,0.00161296,0.00210992,0.00276947,0.00364459,0.00480049,0.00631292,0.00826314,0.0107281,0.0137656,0.0173975,0.0215871,0.0262372,0.0311917,0.0362455,0.0411572,0.0456657,0.0495082,0.0524458,0.0542938,0.054954,0.0544252,0.0527912,0.0502002,0.0468447,0.0429432,0.0387212,0.0343929,0.0301437,0.0261171,0.0224094,0.0190725,0.0161229,0.0135522,0.0113368,0.00944445,0.00783988,0.00648748,0.00535341,0.00440656,0.00361898,0.00296603,0.00242627,0.00198122,0.00161509,0.0013145,0.00106817,0.000866628,0.000701974,0.000567637,0.000458174,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.3895,-0,-0,-0,-0,-21.3562,-5.06516,-0,-9.06978,-4.28558,-20.2571,-15.3426,-29.1246,-24.2732,-9.95232,-25.5228,-27.7777,-45.0842,-26.5318,-32.0468,-37.7164,-32.0202,-26.4727,-23.9339,-30.6092,-22.0351,-29.2623,-26.9592,-21.0107,-32.8065,-18.9914,-19.7975,-8.25504,-8.60241,-4.4797,-13.987,-0,-0,-5.23002,-0,-0,-0,-6.0214,-0,-0,-0,-0,-0,-0,-7.47403,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,1,5,3,2,3,6,6,11,10,14,6,13,12,9,9,13,4,6,4,9,6,4,7,6,4,5,4,1,3,1,0,1,0,0,0,1,1,0,0,0,0,0
-544.399,0.99156,0.169241,4,31,0,546.42,-1.76933,-1.72664,-1.0768,-0.548366,4.81503,0.334334,-1.06978,5.67085,2.39434,2.1827e-05,2.9252e-05,3.92543e-05,5.27702e-05,7.11094e-05,9.61309e-05,0.000130519,0.000178226,0.00024518,0.000340377,0.000477445,0.000676637,0.000967073,0.00138896,0.00199542,0.00285351,0.00404371,0.00565713,0.00778957,0.0105319,0.0139572,0.0180851,0.0228795,0.028238,0.0339861,0.0398811,0.0456235,0.050875,0.055285,0.0585266,0.0603427,0.0605977,0.0593093,0.0566384,0.0528445,0.0482355,0.043128,0.0378197,0.0325699,0.0275865,0.0230186,0.0189563,0.0154362,0.0124521,0.00996796,0.00793,0.00627742,0.00494949,0.00388996,0.00304922,0.002385,0.00186203,0.00145142,0.00112976,0.00087826,0.000681919,0.000528844,0.000409634,0.000316883,0.000244777,0.00018876,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-15.2941,-0,-0,-0,-0,-23.4368,-5.51059,-0,-9.70994,-4.55335,-21.3588,-16.0507,-30.2201,-24.9696,-10.1454,-25.7748,-27.786,-44.6758,-26.0573,-31.221,-36.5003,-30.8385,-25.4249,-22.9685,-29.404,-21.2216,-28.2922,-26.1994,-20.5462,-32.3139,-18.8573,-19.8281,-8.34208,-8.77173,-4.60838,-14.5113,-0,-0,-5.54936,-0,-0,-0,-6.53521,-0,-0,-0,-0,-0,-0,-8.31516,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,6,7,8,6,9,8,11,5,12,9,15,8,8,11,17,13,9,9,4,3,5,3,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-544.982,0.998826,0.169241,5,31,0,546.551,-2.92622,-3.51736,-1.17839,-0.453068,4.24153,0.699836,-0.135539,5.58218,2.33632,3.85138e-05,5.29392e-05,7.27755e-05,0.000100059,0.000137601,0.00018928,0.000260468,0.000358613,0.000494057,0.00068116,0.000939704,0.00129641,0.0017862,0.00245305,0.00335026,0.00453984,0.00609006,0.00807025,0.0105419,0.0135465,0.0170917,0.0211366,0.0255913,0.0303214,0.0351563,0.0398996,0.0443372,0.0482483,0.0514175,0.0536548,0.0548238,0.054869,0.0538189,0.0517695,0.0488645,0.0452796,0.0412088,0.0368536,0.0324105,0.0280583,0.0239438,0.0201725,0.0168057,0.0138652,0.0113432,0.00921231,0.00743391,0.00596503,0.00476242,0.00378521,0.00299635,0.00236319,0.00185759,0.00145567,0.00113747,0.00088648,0.000689166,0.00053452,0.000413655,0.000319434,0.000246158,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.9399,-0,-0,-0,-0,-21.5795,-5.1011,-0,-9.10479,-4.30163,-20.3458,-15.427,-29.324,-24.4713,-10.0439,-25.7711,-28.0434,-45.4709,-26.71,-32.177,-37.7472,-31.9309,-26.2992,-23.6876,-30.187,-21.6643,-28.7019,-26.4064,-20.5756,-32.1612,-18.6602,-19.5172,-8.17208,-8.55675,-4.47913,-14.0616,-0,-0,-5.347,-0,-0,-0,-6.28848,-0,-0,-0,-0,-0,-0,-8.04896,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,2,7,5,6,5,5,6,10,10,9,7,11,10,11,14,9,10,3,5,11,8,8,3,4,5,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
