# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 17:08:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2199fcf23.json
# init = /tmp/RtmpC8O1hA/init-b41c2f87b98_4.json
# random
#   seed = 4652011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0460_rep046_manuscript_default/prior_sensitivity_obspair_FAST-202605311808-4-521733.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0460_rep046_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605311808-4-8f0912.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0409863
# Diagonal elements of inverse mass matrix:
# 0.1399, 0.0974718, 0.212149, 0.0859803, 0.197268, 0.182642, 0.128312
-544.542,0.99259,0.0409863,6,63,0,549.366,-3.50809,-1.17079,-0.487366,-0.493435,2.9487,-0.571523,-0.642627,5.74503,2.70946,3.9251e-05,5.32394e-05,7.22059e-05,9.79184e-05,0.00013277,0.000179999,0.000243987,0.00033066,0.000448021,0.000606874,0.000821761,0.00111219,0.00150414,0.00203189,0.00273991,0.00368459,0.00493518,0.00657317,0.00868914,0.0113764,0.0147211,0.0187505,0.0234315,0.0286524,0.0342126,0.0398284,0.0451557,0.0498325,0.0535297,0.0559995,0.057108,0.0568455,0.0553149,0.0527044,0.0492537,0.0452207,0.0408534,0.0363716,0.0319552,0.027741,0.0238236,0.0202609,0.0170799,0.0142844,0.0118608,0.00978459,0.00802426,0.00654539,0.00531301,0.00429343,0.00345532,0.00277037,0.00221349,0.00176288,0.0013998,0.0011084,0.000875337,0.000689532,0.000541829,0.000424723,0.000332097,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-14.2081,-0,-0,-0,-0,-22.4144,-5.31137,-0,-9.49136,-4.47621,-21.0924,-15.9061,-30.0294,-24.8676,-10.1255,-25.7854,-27.8787,-44.9863,-26.3477,-31.7065,-37.2165,-31.5416,-26.0524,-23.5445,-30.1077,-21.6734,-28.7799,-26.5117,-20.6605,-32.2636,-18.6854,-19.4953,-8.1397,-8.49717,-4.43451,-13.8808,-0,-0,-5.2376,-0,-0,-0,-6.11318,-0,-0,-0,-0,-0,-0,-7.76407,-0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,6,3,13,6,8,7,9,12,11,8,12,11,4,13,5,7,9,7,7,4,5,2,4,2,1,2,1,1,0,1,1,2,0,0,0,0,0,1,0,0
-544.176,0.989324,0.0409863,7,127,0,548.926,-1.96286,-1.56766,-2.57277,0.135201,3.26684,-0.203942,-1.5955,5.02958,2.18808,6.59944e-06,1.1562e-05,2.01511e-05,3.48693e-05,5.97552e-05,0.000101116,0.000168423,0.000275277,0.00044031,0.000687872,0.00104839,0.0015583,0.00225962,0.00319901,0.00442639,0.00599308,0.00794958,0.010343,0.0132143,0.016596,0.02051,0.0248524,0.0294965,0.0342938,0.0390755,0.0436561,0.047838,0.0514184,0.0541998,0.0560036,0.0566901,0.056181,0.0544814,0.0516911,0.047999,0.0436543,0.038927,0.0340697,0.0292935,0.0247585,0.0205759,0.0168148,0.0135101,0.0106699,0.0082811,0.00631493,0.00473133,0.00348328,0.00252072,0.00179398,0.00125653,0.000866875,0.000589638,0.000395828,0.000262529,0.000172207,0.000111832,7.19678e-05,4.59355e-05,2.91036e-05,1.83167e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.721,-0,-0,-0,-0,-20.4686,-4.83464,-0,-8.65291,-4.0986,-19.4342,-14.7792,-28.1879,-23.6095,-9.72678,-25.0513,-27.3594,-44.5164,-26.2357,-31.7057,-37.312,-31.6709,-26.1891,-23.6997,-30.3657,-21.9202,-29.2146,-27.0348,-21.1823,-33.2873,-19.4182,-20.4275,-8.60863,-9.08066,-4.79378,-15.1945,-0,-0,-5.98321,-0,-0,-0,-7.436,-0,-0,-0,-0,-0,-0,-10.4446,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,2,1,3,3,2,6,7,8,8,8,10,10,8,12,13,9,13,12,8,9,8,6,7,7,7,0,1,0,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
-545.041,0.998042,0.0409863,6,127,0,548.97,-2.20506,-1.54205,-2.34155,0.36383,4.08851,-0.420123,-1.77693,5.73493,2.31879,6.24633e-06,1.177e-05,2.1686e-05,3.89522e-05,6.80495e-05,0.000115456,0.000190133,0.000303985,0.000472259,0.000713851,0.00105148,0.00151168,0.00212464,0.0029237,0.00394466,0.00522475,0.00680135,0.00871049,0.0109853,0.0136543,0.0167401,0.0201917,0.0239418,0.0279064,0.0319849,0.0360609,0.040004,0.0436723,0.0469165,0.0495862,0.0515382,0.0526482,0.0528244,0.0520228,0.0502608,0.0476239,0.0442612,0.0403681,0.0361598,0.0318429,0.0275935,0.0235467,0.0197959,0.0163983,0.0133821,0.0107543,0.00850593,0.00661695,0.00505916,0.00379906,0.00280005,0.00202443,0.00143517,0.000997354,0.00067937,0.000453654,0.00029706,0.000190846,0.000120376,7.46061e-05,4.54774e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.7151,-0,-0,-0,-0,-21.0174,-4.99063,-0,-9.0224,-4.2937,-20.4497,-15.6099,-29.857,-25.0523,-10.3275,-26.5804,-28.969,-46.9656,-27.5345,-33.0445,-38.5506,-32.3853,-26.467,-23.6486,-29.9053,-21.3109,-28.0588,-25.6777,-19.9188,-31.0225,-17.9509,-18.7439,-7.84456,-8.22116,-4.31384,-13.5974,-0,-0,-5.28655,-0,-0,-0,-6.54647,-0,-0,-0,-0,-0,-0,-9.50329,-0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0,1,1,2,3,4,4,2,6,9,12,6,15,8,13,12,7,9,15,10,8,6,5,4,9,7,5,1,0,3,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0
-542.522,0.999068,0.0409863,5,31,0,546.283,-1.61739,-1.54797,-2.10269,-0.0360728,3.86777,-0.48343,-1.35796,5.50605,2.47675,2.42815e-05,3.83013e-05,5.99731e-05,9.30816e-05,0.000142981,0.000217051,0.000325185,0.000480277,0.000698659,0.00100043,0.00140965,0.0019543,0.00266602,0.00357956,0.00473197,0.00616146,0.00790603,0.0100019,0.012482,0.015374,0.0186989,0.0223793,0.0263199,0.0304081,0.0345156,0.0385011,0.0422145,0.045503,0.0482184,0.0502265,0.0514185,0.051722,0.051112,0.0496168,0.0473191,0.0443487,0.0408681,0.0370539,0.0330792,0.0290982,0.0252383,0.0215963,0.0182397,0.0152095,0.0125248,0.0101874,0.00818545,0.00649777,0.00509666,0.00395072,0.0030271,0.00229323,0.00171821,0.00127371,0.000934572,0.000679051,0.000488825,0.000348811,0.000246854,0.000173354,0.000120863,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.1288,-0,-0,-0,-0,-20.3578,-4.84013,-0,-8.76693,-4.17508,-19.8965,-15.1985,-29.0994,-24.4513,-10.099,-26.0566,-28.4849,-46.3496,-27.2881,-32.9033,-38.5809,-32.5806,-26.7636,-24.0274,-30.5084,-21.8097,-28.7767,-26.363,-20.4531,-31.8337,-18.397,-19.1762,-8.00831,-8.37167,-4.38004,-13.7598,-0,-0,-5.27917,-0,-0,-0,-6.36647,-0,-0,-0,-0,-0,-0,-8.66018,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,4,3,1,7,0,4,10,4,7,7,11,11,5,10,7,14,13,11,5,9,6,11,5,3,2,2,4,3,2,1,3,0,0,2,1,0,0,1,1,0,0,0,0,0
-542.709,0.979517,0.0409863,5,47,0,545.898,-1.74976,-1.71477,-1.28935,-0.437176,3.73909,-0.573151,-1.1277,5.7049,2.6966,6.5327e-05,8.9905e-05,0.00012361,0.000169746,0.000232751,0.000318553,0.000434997,0.000592367,0.000803976,0.0010868,0.00146211,0.00195596,0.00259947,0.00342867,0.00448385,0.00580818,0.00744554,0.00943776,0.0118211,0.0146224,0.0178554,0.0214739,0.0254006,0.0295261,0.0337115,0.037793,0.0415921,0.0449275,0.0476309,0.0495631,0.050628,0.0507832,0.0500429,0.0484747,0.0461891,0.043326,0.0400397,0.0364854,0.0328077,0.0291336,0.0255679,0.0221914,0.0190613,0.0162138,0.0136662,0.0114209,0.00946871,0.00779213,0.00636827,0.00517131,0.00417439,0.00335111,0.00267647,0.00212754,0.00168376,0.00132712,0.00104204,0.000815287,0.000635742,0.000494163,0.000382943,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.0557,-0,-0,-0,-0,-20.594,-4.90014,-0,-8.87574,-4.2252,-20.1272,-15.3637,-29.3839,-24.6574,-10.1698,-26.205,-28.6186,-46.5406,-27.3985,-33.0496,-38.7823,-32.7821,-26.9539,-24.2137,-30.7501,-21.973,-28.9609,-26.4868,-20.5026,-31.8228,-18.3321,-19.0403,-7.92019,-8.24379,-4.29283,-13.4169,-0,-0,-5.05643,-0,-0,-0,-5.92325,-0,-0,-0,-0,-0,-0,-7.61265,-0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,2,0,2,5,3,5,2,6,7,15,9,11,12,7,13,7,9,8,8,10,6,10,6,6,4,3,1,2,4,2,1,5,1,1,1,0,1,0,0,1,0,0,0,0
-541.722,0.999505,0.0409863,4,15,0,543.32,-1.85159,-1.43525,-1.20125,-0.385479,3.57951,-0.180806,-1.0757,5.13241,2.37428,2.39893e-05,3.37457e-05,4.74886e-05,6.68623e-05,9.42006e-05,0.000132823,0.000187462,0.000264868,0.000374673,0.000530573,0.000751888,0.0010655,0.00150801,0.00212785,0.00298678,0.00416022,0.00573568,0.00780884,0.0104769,0.0138293,0.0179368,0.0227655,0.0282139,0.0341027,0.0401733,0.0460961,0.0514932,0.0559763,0.0591975,0.060905,0.0609874,0.0594911,0.0566041,0.0526139,0.0478554,0.0426641,0.0373419,0.0321368,0.0272349,0.0227602,0.018782,0.0153243,0.0123768,0.00990646,0.00786587,0.00620145,0.00485861,0.00378541,0.00293474,0.00226524,0.0017416,0.00133428,0.00101896,0.000775903,0.000589253,0.000446406,0.000337413,0.000254478,0.000191526,0.000143848,0.00010781,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-14.3858,-0,-0,-0,-0,-21.9287,-5.16105,-0,-9.11717,-4.28096,-20.1045,-15.13,-28.5435,-23.6486,-9.64366,-24.6162,-26.6967,-43.2424,-25.4419,-30.7828,-36.3621,-31.0412,-25.8451,-23.5582,-30.3957,-22.0808,-29.5888,-27.502,-21.6195,-34.0447,-19.8743,-20.8916,-8.78386,-9.22914,-4.84522,-15.2489,-0,-0,-5.83114,-0,-0,-0,-6.88897,-0,-0,-0,-0,-0,-0,-8.84676,-0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,2,3,3,4,4,5,6,10,12,10,11,13,20,15,9,10,11,9,6,6,10,3,2,3,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
