# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 17:35:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2224a1e9a.json
# init = /tmp/RtmpC8O1hA/init-b41c249b68e72_3.json
# random
#   seed = 4752004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0463_rep047_accurate_strong/prior_sensitivity_obspair_FAST-202605311835-3-559cf1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0463_rep047_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605311835-3-1faec1.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.197064
# Diagonal elements of inverse mass matrix:
# 0.0796827, 0.0359118, 0.00598936, 0.00619186, 0.010434, 0.00537196, 0.00750741
-542.71,0.991625,0.197064,5,31,0,545.614,-2.62599,-1.44778,-1.44901,-0.31093,3.26553,0.202976,-1.08349,4.88261,2.20386,1.46114e-05,2.10922e-05,3.04568e-05,4.39979e-05,6.35971e-05,9.20015e-05,0.000133238,0.000193233,0.000280742,0.000408724,0.000596277,0.000871197,0.00127293,0.00185545,0.0026893,0.00386218,0.0054773,0.00764882,0.0104937,0.0141198,0.0186119,0.0239373,0.0299837,0.0365461,0.0433215,0.0499138,0.0558533,0.0606407,0.0638225,0.0650903,0.0643624,0.0617967,0.0577287,0.0525827,0.0467949,0.0407634,0.0348195,0.0292146,0.0241183,0.0196246,0.0157645,0.0125219,0.00984874,0.0076801,0.00594434,0.00457083,0.00349448,0.00265799,0.00201256,0.00151764,0.00114021,0.000853776,0.000637339,0.000474429,0.00035224,0.000260885,0.000192783,0.000142149,0.000104595,7.68041e-05,5.62798e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.42481,-0,-0,-6.28963,-5.91847,-0,-15.6214,-0,-13.671,-17.0407,-0,-26.1262,-17.5355,-29.7826,-34.5302,-23.9797,-17.3102,-33.6335,-35.7715,-19.1239,-46.6348,-25.0552,-31.372,-29.4537,-27.5578,-31.9997,-26.8606,-14.1323,-14.8991,-19.6549,-33.1999,-4.38028,-4.62041,-24.3456,-5.12532,-5.38806,-0,-0,-12.4167,-0,-6.77654,-0,-0,-7.6534,-0,-0,-8.55395,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,1,5,3,7,10,12,7,13,14,16,13,8,18,6,13,7,2,5,5,5,3,4,2,1,2,2,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-544.148,0.982886,0.197064,4,15,0,547.512,-1.75178,-3.93151,-1.51442,-0.551449,3.57636,0.0633732,-1.05646,5.22034,2.57377,0.000120329,0.000160519,0.000214134,0.000285657,0.000381052,0.000508247,0.000677731,0.000903292,0.00120285,0.00159929,0.00212107,0.00280234,0.00368219,0.004803,0.00620767,0.00793599,0.0100202,0.0124803,0.0153191,0.0185182,0.0220357,0.0257921,0.0296824,0.0335801,0.0373434,0.0408225,0.0438684,0.0463427,0.0481284,0.0491421,0.0493423,0.0487346,0.0473681,0.0453282,0.0427263,0.0396899,0.0363534,0.0328501,0.0293042,0.0258246,0.0225007,0.0193992,0.0165648,0.0140212,0.0117747,0.00981835,0.00813516,0.00670229,0.00549372,0.00448253,0.0036424,0.00294872,0.00237907,0.00191353,0.00153472,0.00122766,0.00097962,0.000779893,0.000619522,0.00049109,0.00038848,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.15583,-0,-0,-5.33851,-5.08197,-0,-13.8094,-0,-12.536,-15.956,-0,-25.6038,-17.586,-30.5444,-36.1636,-25.5882,-18.7594,-36.8603,-39.4405,-21.0913,-51.1525,-27.1923,-33.5479,-30.9383,-28.3765,-32.2666,-26.5157,-13.6632,-14.1201,-18.2821,-30.3537,-3.94252,-4.10048,-21.3359,-4.4418,-4.6235,-0,-0,-10.4083,-0,-5.61511,-0,-0,-6.2588,-0,-0,-6.92835,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,3,1,4,9,7,4,5,6,10,5,7,13,16,9,8,7,9,5,5,9,4,9,6,6,8,3,3,2,3,1,2,1,3,0,0,1,0,0,0,0,0,0,0
-541.118,0.999884,0.197064,4,15,0,545.8,-1.90718,-3.32239,-1.16517,-0.40547,3.56931,0.276001,-1.04939,4.85079,2.22465,4.54889e-05,6.34975e-05,8.8642e-05,0.000123755,0.000172799,0.000241315,0.000337051,0.000470837,0.000657753,0.000918659,0.00128201,0.00178569,0.0024783,0.00341928,0.00467722,0.00632596,0.00843822,0.0110764,0.0142813,0.0180599,0.0223751,0.0271299,0.0321732,0.037307,0.0422978,0.046893,0.0508386,0.0539007,0.05589,0.0566865,0.0562575,0.0546586,0.0520202,0.0485268,0.044397,0.0398639,0.0351566,0.0304834,0.026017,0.0218864,0.0181732,0.0149163,0.0121187,0.00975828,0.00779641,0.00618649,0.00487958,0.00382838,0.00298951,0.00232464,0.00180082,0.00139026,0.00106997,0.000821125,0.000628505,0.000479902,0.000365603,0.000277931,0.000210852,0.000159647,0.000120643,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.65933,-0,-0,-5.67833,-5.36505,-0,-14.325,-0,-12.7464,-16.0562,-0,-25.2498,-17.1831,-29.5972,-34.7932,-24.4791,-17.8746,-35.0473,-37.4968,-20.0915,-48.9229,-26.1598,-32.5174,-30.2564,-28.0313,-32.2228,-26.7835,-13.9623,-14.596,-19.1095,-32.0624,-4.2053,-4.413,-23.1482,-4.85409,-5.08539,-0,-0,-11.6253,-0,-6.31952,-0,-0,-7.10484,-0,-0,-7.91396,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,5,7,7,7,5,3,7,11,6,12,10,14,14,11,13,10,6,6,5,7,5,5,3,3,3,3,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-541.793,0.970717,0.197064,4,31,0,544.637,-2.92678,-2.40505,-1.10372,-0.523485,3.32636,-0.027681,-0.878246,5.52371,2.59594,6.24462e-05,8.40266e-05,0.000113085,0.000152228,0.000204978,0.0002761,0.000372042,0.000501528,0.000676333,0.000912268,0.00123037,0.00165817,0.00223086,0.00299199,0.00399315,0.00529245,0.00695109,0.00902818,0.0115737,0.0146203,0.0181746,0.0221967,0.0266015,0.0312574,0.0359878,0.040579,0.0447944,0.048395,0.0511656,0.052943,0.0536373,0.0532402,0.0518192,0.0495024,0.0464596,0.0428825,0.0389669,0.0348972,0.0308354,0.0269127,0.0232272,0.0198444,0.0168004,0.0141076,0.01176,0.00973903,0.00801817,0.00656663,0.00535235,0.00434388,0.00351167,0.00282878,0.00227125,0.00181812,0.00145132,0.00115551,0.000917727,0.000727176,0.000574896,0.000453511,0.000356979,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.70044,-0,-0,-5.81182,-5.52317,-0,-14.9066,-0,-13.3771,-16.9014,-0,-26.6547,-18.1339,-31.1895,-36.5703,-25.636,-18.634,-36.3403,-38.6449,-20.5698,-49.7337,-26.3965,-32.5599,-30.0573,-27.6225,-31.4929,-25.9603,-13.4214,-13.9164,-18.0758,-30.0994,-3.91983,-4.08635,-21.3052,-4.44305,-4.63161,-0,-0,-10.4604,-0,-5.65166,-0,-0,-6.30995,-0,-0,-6.99361,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,2,3,4,4,6,3,11,8,12,4,16,13,12,15,5,12,11,12,8,4,9,6,2,2,3,2,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
-539.183,0.998513,0.197064,4,31,0,543.59,-2.11119,-1.77919,-1.48256,-0.448996,3.71463,0.115486,-0.931202,5.2835,2.43904,3.88277e-05,5.34901e-05,7.37211e-05,0.000101662,0.000140296,0.000193796,0.000268013,0.000371165,0.000514791,0.000714992,0.000993931,0.0013814,0.00191614,0.00264651,0.00363021,0.00493267,0.00662396,0.00877393,0.0114457,0.014688,0.018527,0.0229128,0.0277471,0.0328802,0.0381124,0.0432005,0.0478695,0.0518322,0.054818,0.0566113,0.0570913,0.0562557,0.0542162,0.0511681,0.0473524,0.0430225,0.0384208,0.0337631,0.0292287,0.0249558,0.02104,0.0175372,0.014469,0.0118298,0.00959493,0.00772772,0.0061855,0.00492417,0.0039012,0.00307754,0.0024185,0.00189405,0.0014787,0.00115114,0.000893803,0.000692304,0.000535011,0.000412562,0.000317476,0.000243806,0.000186849,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.91384,-0,-0,-5.93451,-5.61847,-0,-15.0512,-0,-13.4104,-16.8829,-0,-26.4324,-17.9231,-30.734,-35.9394,-25.1352,-18.2357,-35.5169,-37.7486,-20.1008,-48.6728,-25.9006,-32.0625,-29.7264,-27.4512,-31.4603,-26.0732,-13.5536,-14.1304,-18.4532,-30.8906,-4.04343,-4.23575,-22.1857,-4.64652,-4.86294,-0,-0,-11.0929,-0,-6.02461,-0,-0,-6.767,-0,-0,-7.53322,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,10,7,4,4,6,12,8,9,4,17,10,10,10,12,8,5,10,8,6,6,7,5,1,2,2,1,2,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0
-539.214,0.996441,0.197064,5,31,0,540.969,-2.3849,-1.73251,-1.14389,-0.519161,3.33046,-0.0538425,-1.14487,5.36394,2.562,4.75192e-05,6.40685e-05,8.64176e-05,0.000116626,0.000157505,0.000212902,0.000288102,0.00039039,0.000529828,0.000720321,0.000981004,0.00133795,0.00182603,0.00249059,0.00338843,0.00458742,0.00616424,0.00819969,0.0107715,0.0139447,0.0177611,0.022192,0.0271497,0.0324794,0.0379577,0.0433014,0.0481865,0.0522824,0.0552964,0.0570202,0.0573631,0.0563602,0.0541541,0.050963,0.0470441,0.0426618,0.0380632,0.0334607,0.0290234,0.0248736,0.0210897,0.0177119,0.0147505,0.0121933,0.0100136,0.00817606,0.00664154,0.00537044,0.00432492,0.00347018,0.00277514,0.00221263,0.00175927,0.00139525,0.00110394,0.000871524,0.000686592,0.000539807,0.00042356,0.000331685,0.000259207,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.92693,-0,-0,-5.99523,-5.68739,-0,-15.267,-0,-13.5926,-17.0906,-0,-26.6562,-18.0319,-30.8444,-35.9841,-25.1166,-18.1961,-35.4131,-37.6356,-20.0504,-48.592,-25.8839,-32.0751,-29.7666,-27.51,-31.5445,-26.1481,-13.5895,-14.1586,-18.4697,-30.8718,-4.03352,-4.21648,-22.0343,-4.60381,-4.80655,-0,-0,-10.8867,-0,-5.88705,-0,-0,-6.57468,-0,-0,-7.28377,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,4,7,4,0,9,8,7,8,11,14,15,8,8,14,6,12,5,10,6,5,5,8,7,2,4,1,0,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0
