# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 17:50:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2661baab7.json
# init = /tmp/RtmpC8O1hA/init-b41c22ffe7e30_4.json
# random
#   seed = 4752006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0465_rep047_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605311850-4-686c5d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0465_rep047_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605311850-4-2c1196.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.133004
# Diagonal elements of inverse mass matrix:
# 0.0738998, 0.0564452, 0.0405204, 0.0121696, 0.0481223, 0.0344929, 0.0401314
-543.369,0.990077,0.133004,4,31,0,549.18,-3.28501,-3.95568,-1.17645,-0.356304,3.85107,0.114615,-0.592231,5.55881,2.31398,3.01616e-05,4.28093e-05,6.07606e-05,8.62382e-05,0.000122392,0.000173682,0.000246399,0.000349381,0.000494929,0.000699938,0.000987134,0.00138624,0.00193483,0.00267848,0.00367002,0.00496736,0.00662969,0.00871161,0.0112556,0.0142836,0.0177887,0.0217255,0.0260097,0.0305183,0.0350955,0.0395601,0.0437165,0.0473665,0.0503238,0.0524305,0.0535741,0.0537008,0.0528199,0.0509995,0.0483559,0.0450411,0.0412294,0.0371046,0.032847,0.0286217,0.0245681,0.0207936,0.0173711,0.0143396,0.0117096,0.00946905,0.00759044,0.006037,0.00476787,0.0037419,0.00292011,0.00226719,0.00175213,0.00134839,0.00103369,0.00078965,0.000601256,0.000456423,0.000345497,0.000260832,0.000196414,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.9207,-0,-0,-5.92251,-5.60756,-0,-15.0486,-0,-13.4607,-16.9946,-0,-26.8049,-18.2464,-31.4049,-36.8465,-25.8395,-18.7802,-36.5981,-38.8606,-20.6379,-49.7537,-26.3189,-32.3495,-29.7594,-27.2625,-31.0018,-25.5088,-13.1761,-13.6636,-17.768,-29.6505,-3.87311,-4.05295,-21.2237,-4.44735,-4.65973,-0,-0,-10.6917,-0,-5.83613,-0,-0,-6.60885,-0,-0,-7.41649,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,2,1,2,3,5,2,3,7,6,10,15,11,10,9,8,12,10,11,9,9,8,5,9,5,6,1,5,0,5,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0
-541.746,1,0.133004,3,7,0,543.791,-2.84072,-3.90612,-1.16775,-0.317193,3.44076,0.167909,-0.581743,5.0384,2.19759,2.61503e-05,3.76377e-05,5.41718e-05,7.79694e-05,0.00011222,0.000161506,0.000232406,0.000334329,0.000480652,0.000690203,0.000989026,0.00141222,0.00200542,0.00282535,0.00393891,0.00542015,0.00734485,0.00978208,0.0127834,0.0163706,0.0205244,0.0251696,0.0301762,0.0353635,0.0405096,0.0453651,0.0496706,0.053178,0.0556736,0.0570049,0.0571002,0.055977,0.0537335,0.0505326,0.0465817,0.0421131,0.037364,0.0325585,0.027891,0.0235147,0.019536,0.0160149,0.0129713,0.0103936,0.00824881,0.00649113,0.00506951,0.00393268,0.00303249,0.00232577,0.00177511,0.00134889,0.00102091,0.000769868,0.000578613,0.000433528,0.000323891,0.000241333,0.000179365,0.00013299,9.83781e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.91879,-0,-0,-5.86912,-5.53685,-0,-14.7413,-0,-13.0788,-16.4491,-0,-25.7748,-17.5035,-30.0787,-35.2684,-24.7441,-18.014,-35.2093,-37.5472,-20.0523,-48.6701,-25.9453,-32.1609,-29.8514,-27.5989,-31.674,-26.2964,-13.6989,-14.3178,-18.7506,-31.484,-4.13424,-4.34502,-22.8328,-4.79769,-5.03732,-0,-0,-11.5967,-0,-6.33389,-0,-0,-7.16929,-0,-0,-8.0351,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,3,8,3,3,7,7,7,15,6,14,15,13,9,10,14,8,5,6,8,6,3,3,5,3,4,2,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
-544.039,0.991965,0.133004,5,31,0,547.251,-2.54968,-0.900233,-1.76561,-0.450348,3.96327,0.396296,-0.487117,5.45892,2.45935,1.64478e-05,2.26682e-05,3.12656e-05,4.31698e-05,5.9694e-05,8.27087e-05,0.000114907,0.000160214,0.000224416,0.000316096,0.00044792,0.000638215,0.000912728,0.00130655,0.0018663,0.00265277,0.00374392,0.00523845,0.00726021,0.0099646,0.0135503,0.0179977,0.0232592,0.029241,0.0357846,0.0426452,0.0494706,0.0557856,0.0610062,0.0645199,0.0658572,0.064887,0.0618714,0.0573265,0.0518278,0.0458837,0.0398896,0.0341282,0.0287864,0.023974,0.0197418,0.0160957,0.0130095,0.0104366,0.00831865,0.00659384,0.00520167,0.00408633,0.0031984,0.00249527,0.00194105,0.00150595,0.00116558,0.000900136,0.000693716,0.000533598,0.000409679,0.00031397,0.000240182,0.000183383,0.000139714,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.7109,-0,-0,-6.64037,-6.2838,-0,-16.7629,-0,-14.776,-18.4349,-0,-28.1226,-18.8053,-31.7896,-36.6326,-25.2387,-18.0383,-34.6349,-36.3581,-19.1855,-46.2445,-24.616,-30.6097,-28.5899,-26.6385,-30.8165,-25.7731,-13.5105,-14.1914,-18.6539,-31.4001,-4.12921,-4.34207,-22.8122,-4.78926,-5.02162,-0,-0,-11.4902,-0,-6.24453,-0,-0,-7.01297,-0,-0,-7.80014,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,3,3,4,9,7,8,12,13,10,10,16,12,13,10,9,12,2,5,9,2,4,4,2,4,3,0,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0
-538.31,0.99948,0.133004,4,15,0,544.877,-1.72184,-1.83258,-1.47086,-0.534231,3.83042,0.292409,-0.759439,5.14712,2.47717,5.75516e-05,7.72693e-05,0.000103797,0.000139529,0.000187736,0.000252906,0.000341237,0.000461343,0.000625248,0.000849755,0.00115814,0.00158195,0.00216248,0.00295137,0.00400999,0.00540742,0.00721671,0.00950924,0.0123472,0.0157748,0.0198096,0.0243784,0.0293565,0.0345679,0.03979,0.044764,0.0492085,0.0528409,0.0554064,0.0567187,0.0566997,0.055397,0.0529654,0.0496262,0.0456278,0.0412182,0.036627,0.0320537,0.0276604,0.0235677,0.019854,0.0165594,0.0136923,0.0112372,0.00916323,0.00743078,0.00599711,0.00481993,0.00385968,0.00308074,0.0024519,0.00194633,0.00154134,0.00121796,0.000960479,0.000755989,0.000593955,0.000465828,0.000364702,0.000285023,0.000222338,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.76094,-0,-0,-5.82549,-5.51897,-0,-14.7941,-0,-13.183,-16.5974,-0,-25.9984,-17.6412,-30.2835,-35.4655,-24.8508,-18.0701,-35.2856,-37.6098,-20.0876,-48.7898,-26.0391,-32.3193,-30.0324,-27.7851,-31.8887,-26.4558,-13.7614,-14.351,-18.7394,-31.3548,-4.1008,-4.29092,-22.4426,-4.69256,-4.90212,-0,-0,-11.1143,-0,-6.01089,-0,-0,-6.71058,-0,-0,-7.42871,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2,1,3,1,5,5,2,9,11,15,11,8,13,9,12,9,12,9,10,8,7,5,7,4,3,1,4,1,1,0,1,1,0,1,0,0,0,3,1,1,0,0,0,0,0
-539.81,0.980482,0.133004,4,31,0,542.239,-0.624451,-1.93293,-0.858838,-0.588858,4.64046,0.0316049,-1.1798,5.09369,2.45017,4.43603e-05,5.88519e-05,7.82057e-05,0.000104147,0.000139083,0.000186412,0.00025101,0.000339969,0.000463738,0.000637771,0.00088478,0.00123738,0.00174058,0.00245332,0.00344795,0.00480717,0.0066181,0.00896361,0.0119117,0.0155036,0.0197428,0.0245533,0.0297976,0.035278,0.0407463,0.04592,0.0505049,0.0542217,0.0568334,0.0581727,0.0581642,0.0568359,0.0543143,0.0508036,0.0465561,0.0418416,0.0369209,0.0320254,0.0273435,0.0230133,0.0191223,0.0157118,0.0127854,0.0103192,0.00827209,0.00659378,0.00523171,0.00413532,0.00325856,0.00256112,0.00200866,0.00157253,0.00122915,0.000959398,0.000747845,0.000582161,0.000452534,0.000351194,0.000272015,0.000210181,0.000161917,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.03017,-0,-0,-6.01031,-5.66998,-0,-15.0538,-0,-13.2907,-16.6667,-0,-25.9484,-17.5666,-30.1005,-35.2043,-24.6468,-17.9141,-34.9761,-37.2792,-19.9104,-48.3563,-25.8083,-32.0426,-29.7979,-27.6039,-31.7386,-26.3918,-13.7649,-14.3971,-18.8584,-31.6552,-4.15334,-4.35945,-22.8687,-4.79487,-5.02163,-0,-0,-11.4529,-0,-6.21029,-0,-0,-6.94921,-0,-0,-7.70065,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,3,1,5,3,13,8,7,5,6,7,11,9,9,12,12,8,9,8,8,8,5,7,8,3,6,0,2,4,1,2,1,3,0,0,1,0,0,0,0,0,0,0,0
-540.093,0.966876,0.133004,5,31,0,543.302,-2.56824,-1.23515,-1.24106,-0.540707,3.30745,0.195679,-1.01508,5.29742,2.5535,2.79729e-05,3.75016e-05,5.03097e-05,6.75526e-05,9.08132e-05,0.000122277,0.000164989,0.000223238,0.00030315,0.000413585,0.000567522,0.000784097,0.00109142,0.00153006,0.00215682,0.00304794,0.00430098,0.00603412,0.00838182,0.0114859,0.0154817,0.0203946,0.02617,0.0326479,0.0395453,0.0464521,0.0528513,0.0581774,0.061919,0.0637383,0.0635502,0.0615163,0.0579723,0.0533368,0.0480368,0.042457,0.036912,0.0316351,0.0267803,0.0224327,0.0186228,0.0153423,0.0125577,0.0102213,0.00827958,0.00667871,0.00536757,0.00429979,0.00343438,0.00273594,0.00217433,0.00172423,0.00136454,0.00107785,0.000849892,0.000669013,0.000525762,0.000412501,0.000323083,0.000252577,0.000197044,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.47423,-0,-0,-6.48245,-6.13912,-0,-16.3467,-0,-14.3451,-17.8665,-0,-27.2474,-18.2157,-30.7978,-35.5334,-24.5547,-17.6416,-34.1311,-36.1651,-19.2708,-46.8507,-25.0961,-31.3257,-29.3113,-27.3221,-31.5926,-26.3937,-13.814,-14.4804,-18.9862,-31.8669,-4.17714,-4.37742,-22.9164,-4.79396,-5.00883,-0,-0,-11.3478,-0,-6.13103,-0,-0,-6.83279,-0,-0,-7.55066,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,3,2,3,2,12,3,12,10,10,13,14,9,13,14,7,8,7,9,6,3,5,8,3,5,2,1,1,2,0,3,2,0,0,0,0,1,0,0,1,0,0,0
