# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 18:01:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27517f85f.json
# init = /tmp/RtmpC8O1hA/init-b41c2aab9100_2.json
# random
#   seed = 4752008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0467_rep047_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605311901-2-2d02c7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0467_rep047_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605311901-2-6af617.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.051615
# Diagonal elements of inverse mass matrix:
# 0.115831, 0.0849188, 0.0735927, 0.0323388, 0.106199, 0.314341, 0.395741
-543.001,0.998353,0.051615,6,127,0,547.625,-1.48495,-1.72952,-1.3364,-0.048209,5.46278,0.939139,0.367055,5.2398,1.995,3.95685e-06,6.378e-06,1.02866e-05,1.66058e-05,2.6847e-05,4.35064e-05,7.075e-05,0.00011556,0.000189323,0.000309223,0.000498951,0.000789393,0.00121964,0.00183835,0.0027053,0.00389318,0.00548869,0.00759132,0.0103073,0.0137444,0.0181198,0.0229836,0.0281278,0.0333524,0.0384917,0.0434113,0.0479908,0.0521013,0.0555821,0.0582161,0.0597089,0.059698,0.0578954,0.0544425,0.0499585,0.0450492,0.0400728,0.0351999,0.0305044,0.0260237,0.0217918,0.0178536,0.0142671,0.0110972,0.00839896,0.00619735,0.0044742,0.00317349,0.00221961,0.0015353,0.0010525,0.000716234,0.000484398,0.000325878,0.000218231,0.000145556,9.67371e-05,6.40866e-05,4.23336e-05,2.78904e-05,1.83296e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.603,-0,-0,-6.29889,-5.91254,-0,-15.6152,-0,-13.7247,-17.1485,-0,-26.4108,-17.855,-30.6056,-35.8304,-25.0963,-18.2205,-35.4548,-37.5686,-19.9052,-47.9107,-25.3661,-31.3403,-29.1061,-26.9691,-31,-25.7365,-13.3868,-13.9595,-18.2437,-30.6098,-4.02555,-4.2498,-22.5053,-4.77965,-5.08363,-0,-0,-12.2209,-0,-6.85659,-0,-0,-8.02899,-0,-0,-9.24351,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,3,0,3,10,3,3,12,13,8,11,17,14,12,9,11,10,2,9,8,9,5,8,4,3,3,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
-542.429,0.99399,0.051615,6,63,0,546.806,0.369582,-1.37181,-1.48705,-0.759353,4.93363,0.447439,-1.77503,5.01285,2.81267,6.66166e-05,8.53289e-05,0.000109709,0.00014174,0.00018427,0.000241502,0.000319789,0.000428938,0.000584179,0.000808651,0.00113563,0.00160938,0.00228408,0.00322161,0.0044885,0.00615269,0.0082799,0.0109296,0.0141506,0.017976,0.0224183,0.0271984,0.0320971,0.0369279,0.0415179,0.0456975,0.0492966,0.0521477,0.0540928,0.0549977,0.0547745,0.0534136,0.0510068,0.04774,0.0438513,0.0395856,0.035166,0.0307806,0.0265779,0.022667,0.0191196,0.0159733,0.0132366,0.0108958,0.00892109,0.00727381,0.00591158,0.00479254,0.00387788,0.00313304,0.00252814,0.00203788,0.00164105,0.00132014,0.00106073,0.00085103,0.000681468,0.000544266,0.000433144,0.00034304,0.000269884,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.78056,-0,-0,-5.73787,-5.40624,-0,-14.3818,-0,-12.774,-16.0749,-0,-25.2322,-17.195,-29.6891,-34.9979,-24.6857,-18.0594,-35.4441,-37.9217,-20.3033,-49.377,-26.3672,-32.7338,-30.4198,-28.1426,-32.2929,-26.7814,-13.9235,-14.5107,-18.9342,-31.6563,-4.13684,-4.32477,-22.5969,-4.71934,-4.92347,-0,-0,-11.1049,-0,-5.98027,-0,-0,-6.63002,-0,-0,-7.29126,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,4,4,5,4,4,3,4,8,15,11,13,8,10,16,9,9,10,17,7,5,9,3,3,2,2,2,3,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
-540.975,0.999033,0.051615,6,63,0,543.683,0.14769,-1.2332,-1.28333,-0.897746,5.05331,1.17721,-0.751424,5.36687,2.91565,5.06969e-05,6.30144e-05,7.85884e-05,9.84307e-05,0.000123958,0.000157212,0.000201245,0.000260817,0.000343741,0.000463391,0.000642296,0.0009146,0.00132646,0.00193602,0.00281306,0.00403817,0.00570087,0.00789663,0.0107223,0.0142693,0.0186143,0.0234809,0.0286628,0.03398,0.0392562,0.0443053,0.0489232,0.0528823,0.0559306,0.0577966,0.0582192,0.057058,0.0544621,0.0507922,0.0464281,0.0416982,0.0368694,0.0321489,0.0276896,0.0235959,0.0199298,0.0167161,0.0139485,0.0115969,0.00961748,0.00796177,0.00658264,0.00543716,0.00448765,0.0037017,0.00305178,0.00251466,0.00207084,0.00170404,0.00140067,0.00114948,0.000941092,0.000767781,0.000623169,0.000502022,0.000400072,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.35046,-0,-0,-6.24712,-5.87348,-0,-15.5014,-0,-13.6063,-16.9986,-0,-26.261,-17.7608,-30.4379,-35.6141,-24.9332,-18.105,-35.2762,-37.4874,-19.9558,-48.3402,-25.7732,-32.0128,-29.8001,-27.6287,-31.773,-26.403,-13.7495,-14.3468,-18.7334,-31.3243,-4.09138,-4.27238,-22.2851,-4.64417,-4.8331,-0,-0,-10.8129,-0,-5.79203,-0,-0,-6.37476,-0,-0,-6.96847,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,2,8,5,6,6,9,10,8,8,8,14,14,12,11,5,11,7,10,7,6,6,3,2,1,4,2,1,2,2,0,1,2,0,1,0,0,0,0,0,0,0
-545.448,0.981657,0.051615,6,127,0,550.478,-1.52783,-0.870187,-1.66497,-0.698146,2.36302,0.414724,-0.558182,4.51568,2.71247,7.52526e-05,9.67332e-05,0.000124429,0.000160194,0.000206469,0.000266497,0.000344625,0.000446743,0.000580955,0.000758596,0.000995826,0.00131614,0.00175426,0.00236173,0.00321422,0.00441931,0.00612368,0.00851932,0.0118497,0.0164181,0.0226033,0.030034,0.03823,0.0465759,0.0543263,0.0606729,0.0649019,0.0666101,0.0658329,0.0629726,0.0586062,0.0533179,0.0476083,0.0418627,0.0363508,0.0312422,0.0266271,0.0225379,0.0189684,0.0158885,0.0132552,0.0110204,0.00913499,0.00755231,0.0062293,0.00512733,0.00421232,0.00345463,0.00282874,0.00231286,0.00188847,0.00153998,0.00125428,0.00102039,0.000829168,0.000673007,0.000545591,0.000441696,0.000357002,0.00028795,0.000231602,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.91194,-0,-0,-6.04836,-5.74017,-0,-15.2868,-0,-13.3064,-16.4375,-0,-24.538,-16.3207,-27.6,-32.0402,-22.4181,-16.4093,-32.5068,-35.3683,-19.3554,-48.2275,-26.3833,-33.4922,-31.7336,-29.8308,-34.6599,-29.0066,-15.1702,-15.8599,-20.7108,-34.5869,-4.50801,-4.69564,-24.4295,-5.07849,-5.27317,-0,-0,-11.7358,-0,-6.27199,-0,-0,-6.88757,-0,-0,-7.51364,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,4,4,6,7,3,10,7,11,12,8,13,15,12,14,10,9,2,6,5,6,5,4,3,1,4,2,2,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-543.397,0.998614,0.051615,7,127,0,548.676,-1.93942,-4.06521,-1.67551,-0.495795,4.66755,1.28916,-0.356875,5.36489,2.39714,7.11091e-05,9.64463e-05,0.000130822,0.00017747,0.000240787,0.000326762,0.000443558,0.000602326,0.000818329,0.0011124,0.00151228,0.00205244,0.00277261,0.00371668,0.00493167,0.00646588,0.00836602,0.0106723,0.0134114,0.0165858,0.0201634,0.0240629,0.0281694,0.0323491,0.0364598,0.0403556,0.0438885,0.0469105,0.049278,0.0508592,0.0515488,0.0512995,0.0501499,0.0481977,0.0455695,0.0424045,0.0388456,0.035034,0.0311074,0.0271985,0.0234324,0.0199172,0.0167306,0.0139129,0.011471,0.00938847,0.00763536,0.0061752,0.00496986,0.00398238,0.00317866,0.0025282,0.00200441,0.00158448,0.00124915,0.000982328,0.000770692,0.000603321,0.000471307,0.000367435,0.00028589,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.49414,-0,-0,-5.59492,-5.31208,-0,-14.3507,-0,-12.935,-16.3968,-0,-26.0896,-17.8476,-30.8805,-36.427,-25.6802,-18.7566,-36.7142,-39.1336,-20.8509,-50.4089,-26.7307,-32.9201,-30.3244,-27.7966,-31.605,-25.9853,-13.4057,-13.8812,-18.023,-30.0291,-3.91617,-4.09052,-21.3747,-4.46793,-4.66827,-0,-0,-10.6087,-0,-5.7513,-0,-0,-6.4475,-0,-0,-7.16822,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,4,2,4,5,3,4,4,9,4,8,10,12,9,10,14,12,9,7,14,6,4,4,7,3,5,5,3,3,1,2,2,0,2,1,0,1,0,0,0,1,0,0,0,1
-542.488,0.989504,0.051615,6,127,0,551.404,-2.06104,-3.26729,-1.96773,-0.135797,4.49328,0.924971,-1.11338,4.93993,1.99158,1.07866e-05,1.66922e-05,2.58325e-05,3.9982e-05,6.1891e-05,9.58268e-05,0.000148415,0.000229935,0.000356222,0.00055102,0.000847658,0.00128883,0.0019254,0.00281551,0.00402345,0.00561763,0.00766659,0.0102319,0.013357,0.0170522,0.0212805,0.0259341,0.030858,0.0358688,0.0407723,0.0453732,0.0494784,0.0528989,0.0554528,0.0569739,0.0573296,0.0564619,0.0544331,0.0514095,0.0476017,0.0432264,0.0384915,0.0335911,0.0287046,0.0239971,0.0196163,0.0156843,0.0122828,0.00944276,0.00714496,0.00533437,0.00393796,0.00287947,0.00208835,0.0015039,0.00107632,0.000766106,0.000542644,0.000382683,0.00026881,0.000188143,0.000131251,9.12861e-05,6.33126e-05,4.37968e-05,3.02225e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.07303,-0,-0,-5.87261,-5.51562,-0,-14.6127,-0,-12.9471,-16.2859,-0,-25.5654,-17.3918,-29.951,-35.1973,-24.7427,-18.0373,-35.2725,-37.5989,-20.0561,-48.6019,-25.8677,-32.0186,-29.6793,-27.404,-31.413,-26.0585,-13.574,-14.2028,-18.6491,-31.4511,-4.1551,-4.39955,-23.3125,-4.94135,-5.23358,-0,-0,-12.3428,-0,-6.8342,-0,-0,-7.8683,-0,-0,-8.9384,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,3,2,3,4,5,8,4,8,16,19,10,15,10,9,11,7,9,8,10,9,9,3,1,2,1,3,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
