# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 18:15:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25967c0ff.json
# init = /tmp/RtmpC8O1hA/init-b41c238474d1f_4.json
# random
#   seed = 4752009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0468_rep047_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605311915-4-9e02a9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0468_rep047_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605311915-4-628646.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0839849
# Diagonal elements of inverse mass matrix:
# 0.095401, 0.0636994, 0.0297375, 0.0124798, 0.0324046, 0.0565576, 0.0481277
-542.795,0.989368,0.0839849,5,47,0,547.975,-2.056,-2.82782,-1.15875,-0.615068,4.59268,0.611269,-0.822586,5.77733,2.52681,8.13216e-05,0.00010668,0.000139995,0.000183798,0.000241453,0.000317447,0.000417793,0.000550594,0.000726823,0.000961332,0.00127402,0.00169092,0.00224486,0.00297579,0.00393037,0.00516077,0.00672185,0.00866646,0.0110383,0.0138629,0.0171386,0.0208251,0.024844,0.029082,0.033397,0.0376263,0.0415946,0.0451223,0.0480357,0.0501799,0.0514367,0.0517446,0.0511089,0.0495931,0.047303,0.0443739,0.0409587,0.0372194,0.0333177,0.029406,0.0256172,0.0220565,0.0187965,0.015877,0.0133101,0.0110866,0.00918394,0.00757184,0.00621705,0.00508621,0.00414772,0.00337266,0.0027353,0.00221311,0.00178668,0.00143946,0.00115748,0.000929016,0.000744307,0.000595264,0.000475218,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.66558,-0,-0,-5.81725,-5.53902,-0,-15.0072,-0,-13.5192,-17.1142,-0,-27.1012,-18.4757,-31.8387,-37.3922,-26.2404,-19.0787,-37.1806,-39.4655,-20.945,-50.4459,-26.6529,-32.7118,-30.039,-27.4606,-31.151,-25.5615,-13.1637,-13.6067,-17.6328,-29.3159,-3.81415,-3.97409,-20.7144,-4.31923,-4.50202,-0,-0,-10.1609,-0,-5.4852,-0,-0,-6.11336,-0,-0,-6.76151,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,3,2,3,4,9,9,9,3,10,12,10,11,9,12,16,10,11,9,8,2,4,9,3,1,2,1,1,7,1,0,0,2,0,0,2,0,0,0,0,0,0
-541.551,0.999801,0.0839849,5,63,0,545.119,-2.07231,-1.70561,-0.91424,-0.863961,3.56935,0.713391,-0.155549,5.63946,3.02839,0.000115171,0.000142595,0.00017667,0.000219074,0.000271944,0.000338027,0.000420877,0.000525157,0.000657064,0.00082499,0.00104053,0.00132009,0.00168733,0.00217653,0.00283659,0.0037349,0.00496046,0.00662468,0.00885795,0.0118,0.0155841,0.0202226,0.0256359,0.0316345,0.0379145,0.044065,0.0495943,0.0539943,0.0568647,0.0580409,0.0575976,0.0557581,0.0528137,0.0490776,0.0448554,0.0404213,0.0359998,0.0317558,0.0277961,0.0241786,0.0209254,0.0180343,0.0154883,0.0132623,0.0113271,0.00965267,0.00820948,0.0069697,0.00590769,0.00500019,0.0042264,0.00356787,0.00300836,0.00253368,0.00213145,0.00179095,0.00150294,0.00125945,0.00105369,0.000879818,0.000732889,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.86802,-0,-0,-6.13002,-5.86515,-0,-15.9188,-0,-14.1793,-17.7586,-0,-27.3067,-18.3188,-31.0815,-35.9966,-24.9767,-18.0233,-35.0265,-37.272,-19.9263,-48.5227,-25.9806,-32.3508,-30.1435,-27.9388,-32.084,-26.5939,-13.7987,-14.3314,-18.6114,-30.9343,-4.01548,-4.16767,-21.6142,-4.48056,-4.64052,-0,-0,-10.263,-0,-5.4664,-0,-0,-5.97808,-0,-0,-6.50034,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,2,2,4,6,9,10,5,16,4,11,9,13,10,13,11,12,2,11,7,8,6,2,5,5,1,3,1,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1
-543.917,0.976529,0.0839849,6,63,0,548.708,-1.92988,-2.9105,-0.717128,-0.415834,4.95545,0.573073,0.129184,5.57094,2.14364,2.12956e-05,2.96439e-05,4.12789e-05,5.75078e-05,8.01704e-05,0.000111867,0.000156297,0.000218758,0.000306898,0.000431818,0.000609601,0.000863276,0.00122514,0.00173914,0.00246287,0.00346829,0.00484012,0.00667035,0.00904769,0.012042,0.0156865,0.0199498,0.0247404,0.0299093,0.0352611,0.0405666,0.0455777,0.0500391,0.0537026,0.0563445,0.0577907,0.0579512,0.0568421,0.0545759,0.0513291,0.0473147,0.0427625,0.0379046,0.0329638,0.0281409,0.0236043,0.0194796,0.0158438,0.0127257,0.0101134,0.00796688,0.00623034,0.00484286,0.00374524,0.00288386,0.00221229,0.00169157,0.00128967,0.000980712,0.000744015,0.000563228,0.000425516,0.000320867,0.000241514,0.000181459,0.00013609,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.40271,-0,-0,-6.35437,-6.00643,-0,-15.9924,-0,-14.1157,-17.6774,-0,-27.4017,-18.4966,-31.5863,-36.7947,-25.6385,-18.53,-35.9394,-38.0158,-20.1339,-48.4658,-25.6334,-31.5423,-29.0816,-26.7255,-30.5093,-25.2168,-13.0907,-13.6494,-17.8527,-29.9706,-3.93839,-4.14498,-21.8207,-4.59389,-4.83246,-0,-0,-11.1745,-0,-6.11373,-0,-0,-6.92723,-0,-0,-7.76221,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,8,5,8,4,7,13,6,13,9,12,10,17,5,10,8,7,10,6,5,5,4,3,2,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-549.986,0.987989,0.0839849,5,31,0,551.6,-0.132268,-4.61661,-0.845066,-0.65422,4.38711,1.17541,0.229166,4.83216,2.37772,0.00015879,0.000206021,0.00026734,0.000346973,0.000450436,0.000584936,0.000759916,0.000987783,0.00128491,0.00167299,0.00218075,0.00284528,0.00371099,0.00482686,0.00624473,0.00801755,0.010196,0.0128228,0.015923,0.019492,0.0234822,0.0277903,0.0322743,0.0367644,0.0410736,0.0450042,0.0483553,0.0509337,0.0525735,0.0531615,0.0526664,0.0511499,0.0487451,0.0456264,0.041985,0.0380113,0.0338844,0.0297676,0.025803,0.022104,0.0187463,0.0157661,0.0131675,0.0109327,0.00903177,0.00742909,0.00608771,0.00497189,0.00404852,0.00328785,0.00266363,0.00215315,0.00173694,0.00139847,0.00112388,0.000901586,0.000721957,0.00057705,0.000460334,0.000366458,0.000291061,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.12809,-0,-0,-5.33356,-5.07602,-0,-13.7573,-0,-12.42,-15.751,-0,-25.0815,-17.1674,-29.729,-35.1163,-24.808,-18.1751,-35.7268,-38.2921,-20.5409,-50.0442,-26.757,-33.2327,-30.8727,-28.534,-32.6987,-27.0784,-14.0573,-14.6291,-19.06,-31.8141,-4.14989,-4.33,-22.58,-4.70701,-4.90235,-0,-0,-11.0188,-0,-5.92806,-0,-0,-6.57238,-0,-0,-7.23355,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,4,3,1,4,3,8,6,8,4,5,14,8,10,12,18,8,14,10,6,5,5,4,8,4,4,2,2,1,1,3,0,0,2,0,1,0,0,2,1,0,0,2,1,0,0
-552.717,0.998665,0.0839849,4,15,0,553.578,0.287352,-4.70861,-0.757121,-0.710027,4.34786,1.29149,0.297901,4.86007,2.4373,0.0001986,0.000254078,0.000325102,0.00041606,0.000532598,0.000681998,0.00087367,0.00111982,0.00143633,0.00184402,0.0023702,0.00305017,0.00392643,0.00504553,0.00645667,0.00821057,0.0103566,0.0129373,0.0159793,0.0194803,0.0233954,0.0276243,0.0320283,0.036442,0.0406828,0.0445555,0.0478586,0.0503958,0.0519978,0.0525514,0.0520319,0.0505099,0.0481248,0.0450532,0.0414846,0.0376046,0.0335868,0.0295888,0.0257469,0.0221672,0.0189167,0.0160247,0.0134917,0.0113002,0.00942245,0.00782628,0.00647836,0.00534637,0.00440023,0.00361266,0.00295943,0.00241932,0.00197396,0.00160761,0.00130689,0.00106052,0.000859019,0.000694456,0.000560246,0.000450936,0.000362033,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.04478,-0,-0,-5.28925,-5.04264,-0,-13.7104,-0,-12.4094,-15.7534,-0,-25.1234,-17.2057,-29.8083,-35.2215,-24.8881,-18.237,-35.8542,-38.4352,-20.6217,-50.2503,-26.8703,-33.3735,-30.9991,-28.6419,-32.8063,-27.149,-14.0814,-14.6378,-19.0457,-31.7417,-4.13362,-4.30568,-22.4147,-4.66466,-4.85027,-0,-0,-10.8522,-0,-5.82276,-0,-0,-6.43301,-0,-0,-7.05972,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,3,2,3,5,4,4,8,5,10,10,11,10,10,14,19,4,8,9,14,7,6,4,4,2,2,5,3,1,3,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0
-543.751,0.997114,0.0839849,6,63,0,557.487,-1.3895,-1.7482,-0.956759,-0.507663,4.37055,-0.245156,-1.2676,5.36982,2.45714,3.81454e-05,5.17014e-05,7.01427e-05,9.52793e-05,0.000129627,0.000176701,0.000241446,0.000330848,0.000454804,0.000627314,0.00086802,0.00120402,0.00167176,0.00231851,0.00320301,0.00439447,0.00596958,0.00800707,0.01058,0.0137461,0.0175374,0.0219208,0.0268071,0.0320461,0.0374283,0.0426946,0.0475543,0.0517119,0.0548987,0.0569056,0.0576108,0.0569954,0.0551426,0.0522215,0.0484597,0.0441132,0.0394382,0.0346691,0.0300038,0.0255949,0.0215486,0.0179276,0.0147571,0.0120329,0.00973025,0.00781114,0.00623093,0.00494316,0.00390293,0.00306892,0.0024045,0.00187804,0.00146283,0.00113664,0.00088125,0.000681876,0.000526618,0.000405976,0.000312406,0.000239951,0.000183927,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.0493,-0,-0,-6.06683,-5.74366,-0,-15.3632,-0,-13.6464,-17.148,-0,-26.7422,-18.0955,-30.9652,-36.1386,-25.2295,-18.2753,-35.5448,-37.7295,-20.0645,-48.5188,-25.7831,-31.8762,-29.5226,-27.2432,-31.21,-25.8642,-13.4476,-14.0257,-18.3268,-30.6995,-4.02141,-4.21603,-22.1006,-4.63252,-4.8522,-0,-0,-11.0921,-0,-6.03041,-0,-0,-6.77968,-0,-0,-7.54903,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,5,3,2,9,4,8,7,9,10,12,6,10,8,16,10,7,11,9,7,4,8,4,6,6,2,0,2,5,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0
