# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 18:26:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21a6d3fc5.json
# init = /tmp/RtmpC8O1hA/init-b41c2219defbf_3.json
# random
#   seed = 4752011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0470_rep047_manuscript_default/prior_sensitivity_obspair_FAST-202605311926-3-8e2cae.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0470_rep047_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605311926-3-2e738d.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0955657
# Diagonal elements of inverse mass matrix:
# 0.0824506, 0.095085, 0.115695, 0.0347186, 0.0986625, 0.183102, 0.227973
-538.747,0.99967,0.0955657,6,63,0,540.147,-1.26373,-1.11494,-1.40981,-0.569807,4.11407,-0.114294,-0.431707,5.2951,2.63884,4.10172e-05,5.46355e-05,7.28593e-05,9.73049e-05,0.000130194,0.0001746,0.000234808,0.000316826,0.000429103,0.000583522,0.000796704,0.00109163,0.00149961,0.00206243,0.00283472,0.00388633,0.00530458,0.00719629,0.00968988,0.0129379,0.017122,0.0220866,0.0276431,0.0335624,0.0395718,0.0453596,0.0505866,0.0549103,0.0580203,0.0596833,0.0597881,0.0583729,0.0556196,0.0518147,0.047292,0.042379,0.0373605,0.0324607,0.027841,0.0236055,0.0198105,0.0164753,0.0135919,0.011134,0.00906418,0.00733917,0.00591442,0.00474666,0.00379583,0.00302597,0.00240562,0.00190782,0.00150976,0.00119242,0.000940097,0.000739923,0.000581424,0.000456123,0.000357192,0.000279151,0.000217611,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.13503,-0,-0,-6.18387,-5.86581,-0,-15.7176,-0,-13.91,-17.3904,-0,-26.6895,-17.9419,-30.5491,-35.526,-24.7451,-17.9044,-34.8246,-37.0105,-19.7309,-47.8881,-25.5681,-31.7814,-29.6008,-27.4627,-31.611,-26.2971,-13.7109,-14.325,-18.7314,-31.3723,-4.10589,-4.29828,-22.4887,-4.70343,-4.91453,-0,-0,-11.1477,-0,-6.02995,-0,-0,-6.73177,-0,-0,-7.45003,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,3,3,5,12,12,7,8,12,16,11,12,12,12,7,7,8,7,8,7,5,2,3,0,2,2,2,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0
-538.283,0.999563,0.0955657,6,63,0,539.198,-1.61395,-2.11456,-1.2471,-0.569144,3.79081,0.403406,-1.81181,5.02459,2.41447,7.17042e-05,9.52866e-05,0.00012668,0.000168515,0.000224338,0.000298956,0.000398923,0.000533234,0.000714324,0.000959453,0.00129255,0.00174631,0.00236405,0.00320054,0.00432124,0.00579967,0.00771252,0.0101321,0.013116,0.0166955,0.0208633,0.0255416,0.0305943,0.0358297,0.0410108,0.0458686,0.0501211,0.053496,0.0557615,0.0567638,0.0564588,0.0549148,0.052289,0.0487941,0.0446708,0.040166,0.0355138,0.0309199,0.0265491,0.0225189,0.0188992,0.0157185,0.0129732,0.0106382,0.00867568,0.00704199,0.00569282,0.00458591,0.00368277,0.00294933,0.00235611,0.00187798,0.00149381,0.00118598,0.00093991,0.000743646,0.000587412,0.000463265,0.000364773,0.000286749,0.000225024,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.65114,-0,-0,-5.74444,-5.44421,-0,-14.5947,-0,-13.0018,-16.3705,-0,-25.6721,-17.4347,-29.9608,-35.1331,-24.6558,-17.9599,-35.1378,-37.5267,-20.082,-48.8622,-26.1177,-32.4607,-30.2015,-27.9759,-32.1473,-26.7027,-13.9054,-14.515,-18.967,-31.7491,-4.15292,-4.34487,-22.7165,-4.74723,-4.95586,-0,-0,-11.2082,-0,-6.05074,-0,-0,-6.73719,-0,-0,-7.43978,-0,-0,-0,-0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,2,3,3,5,7,9,14,7,8,10,9,10,12,12,12,10,5,11,9,5,8,4,2,3,4,1,2,1,1,2,0,1,0,2,1,0,0,0,0,0,0,0,0
-537.995,0.999957,0.0955657,5,63,0,538.798,-1.73198,-1.62987,-0.952836,-0.516987,3.70429,-0.16824,-1.58582,5.23938,2.47051,3.91623e-05,5.28851e-05,7.14675e-05,9.6669e-05,0.000130914,0.00017756,0.000241288,0.000328662,0.000448937,0.000615203,0.000845947,0.00116706,0.00161417,0.00223496,0.00309075,0.00425674,0.00581973,0.00787301,0.0105078,0.0138018,0.0178055,0.0224934,0.0277707,0.0334639,0.0393202,0.0450193,0.0501989,0.054495,0.0575903,0.0592635,0.0594228,0.058115,0.0555076,0.051854,0.0474512,0.0426023,0.0375862,0.0326379,0.0279377,0.0236102,0.0197279,0.0163205,0.0133846,0.0108942,0.00880929,0.00708312,0.00566729,0.00451516,0.00358386,0.00283535,0.00223669,0.00175987,0.0013815,0.00108219,0.000846078,0.000660285,0.000514401,0.000400072,0.000310624,0.000240749,0.000186237,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.07505,-0,-0,-6.10353,-5.77934,-0,-15.4395,-0,-13.6669,-17.1318,-0,-26.5617,-17.9189,-30.5756,-35.5962,-24.8053,-17.9506,-34.9158,-37.1072,-19.7803,-47.9923,-25.608,-31.8036,-29.5932,-27.4325,-31.5585,-26.2489,-13.6891,-14.3111,-18.7304,-31.4058,-4.11534,-4.31365,-22.5976,-4.73195,-4.95004,-0,-0,-11.2626,-0,-6.10276,-0,-0,-6.82877,-0,-0,-7.57251,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,6,6,2,8,5,9,6,11,12,7,11,12,11,8,10,8,9,13,7,9,2,2,4,5,5,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-540.85,0.986068,0.0955657,5,31,0,541.707,-0.464312,-2.35909,-0.22507,-0.914189,3.98962,0.042185,-0.654143,5.19813,2.82318,0.000127216,0.000156438,0.000192653,0.000237679,0.000293881,0.000364381,0.00045335,0.000566467,0.000711601,0.000899877,0.00114732,0.00147737,0.00192448,0.00253878,0.00339082,0.00457421,0.00620301,0.00840148,0.0112856,0.0149389,0.0193854,0.0245554,0.0302763,0.0362747,0.042196,0.0476427,0.0522238,0.0556089,0.0575738,0.05803,0.0570285,0.0547407,0.0514236,0.0473776,0.0429056,0.03828,0.033722,0.0293931,0.0253974,0.0217903,0.0185894,0.0157869,0.0133583,0.0112706,0.00948712,0.00797077,0.00668642,0.00560182,0.00468804,0.00391962,0.00327441,0.00273326,0.00227976,0.00189989,0.00158167,0.00131493,0.00109106,0.000902813,0.000744214,0.000610401,0.000497487,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.77033,-0,-0,-5.97607,-5.68668,-0,-15.2482,-0,-13.4527,-16.8152,-0,-25.9478,-17.4869,-29.8497,-34.8197,-24.3522,-17.7133,-34.673,-37.1109,-19.9276,-48.6915,-26.1463,-32.6442,-30.496,-28.3388,-32.6283,-27.1168,-14.108,-14.6924,-19.1315,-31.8813,-4.14858,-4.31562,-22.4278,-4.65782,-4.83197,-0,-0,-10.7255,-0,-5.72162,-0,-0,-6.26596,-0,-0,-6.82061,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,4,3,4,3,13,12,6,9,11,8,13,13,10,8,10,11,11,7,4,6,5,10,1,6,1,0,0,0,1,2,0,0,0,0,0,1,1,0,1,0,0,0
-542.915,0.866815,0.0955657,6,63,0,545.916,-2.46263,-3.29126,-0.669782,-0.26567,4.50792,-0.264647,-1.30284,5.76326,2.1916,1.85269e-05,2.71611e-05,3.98048e-05,5.83037e-05,8.5335e-05,0.000124763,0.000182125,0.00026528,0.000385242,0.000557178,0.000801539,0.00114519,0.00162233,0.00227498,0.00315255,0.00431031,0.00580618,0.0076959,0.0100265,0.0128285,0.0161084,0.0198405,0.0239624,0.0283734,0.0329361,0.0374824,0.0418231,0.0457599,0.0491001,0.0516726,0.0533427,0.0540248,0.0536905,0.0523701,0.050148,0.0471542,0.0435512,0.0395206,0.0352488,0.0309133,0.0266715,0.0226527,0.0189525,0.0156329,0.0127239,0.0102284,0.0081286,0.00639229,0.00497888,0.00384435,0.00294503,0.00224007,0.00169295,0.00127205,0.000950801,0.000707317,0.000523923,0.000386561,0.00028419,0.000208239,0.00015212,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.12898,-0,-0,-6.08579,-5.75954,-0,-15.4465,-0,-13.8076,-17.4243,-0,-27.4402,-18.6563,-32.0607,-37.5451,-26.2711,-19.0458,-37.0122,-39.1806,-20.7398,-49.8273,-26.2648,-32.1697,-29.4942,-26.935,-30.5433,-25.0705,-12.9237,-13.3813,-17.3828,-28.9933,-3.78748,-3.96582,-20.7919,-4.36427,-4.58259,-0,-0,-10.6051,-0,-5.82764,-0,-0,-6.66712,-0,-0,-7.55417,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,1,2,5,5,4,7,9,5,9,10,5,9,9,12,12,11,14,8,11,9,5,4,5,5,6,3,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
-539.968,0.998902,0.0955657,4,15,0,543.985,-1.66889,-2.85498,-1.71596,-0.514573,4.01309,0.42461,-1.07498,5.17311,2.46048,8.56235e-05,0.000115515,0.00015587,0.000210376,0.000284035,0.00038364,0.00051843,0.000700949,0.000948142,0.00128258,0.0017335,0.00233716,0.00313612,0.00417751,0.00551056,0.0071832,0.00923772,0.0117054,0.0146004,0.017914,0.0216102,0.025604,0.0297804,0.0339999,0.0381061,0.0419336,0.0453161,0.0480941,0.0501249,0.0512965,0.0515446,0.0508673,0.0493252,0.0470258,0.0441052,0.0407139,0.0370069,0.0331365,0.0292452,0.0254587,0.0218801,0.0185851,0.0156205,0.0130065,0.0107415,0.00880754,0.00717673,0.0058159,0.00469041,0.00376657,0.00301317,0.00240221,0.00190919,0.00151306,0.00119601,0.000943115,0.000742024,0.00058257,0.000456453,0.000356935,0.000278575,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.35761,-0,-0,-5.47804,-5.20109,-0,-14.0534,-0,-12.6801,-16.0887,-0,-25.6551,-17.5695,-30.4326,-35.9412,-25.3733,-18.5646,-36.4152,-38.9121,-20.7909,-50.4102,-26.8068,-33.1025,-30.5706,-28.0906,-32.0119,-26.3732,-13.6285,-14.1282,-18.3535,-30.5774,-3.9854,-4.15917,-21.7115,-4.53364,-4.73215,-0,-0,-10.7245,-0,-5.80476,-0,-0,-6.49362,-0,-0,-7.20613,-0,-0,-0,-0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,3,2,5,2,4,4,6,5,6,5,9,11,22,6,9,7,12,6,9,8,8,4,5,3,3,6,5,6,2,1,1,2,2,2,0,1,0,0,0,0,0,0,1,0,0
