# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 18:45:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2b40cfff.json
# init = /tmp/RtmpC8O1hA/init-b41c22deec95c_2.json
# random
#   seed = 4852002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0471_rep048_accurate_weak/prior_sensitivity_obspair_FAST-202605311945-2-19618b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0471_rep048_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605311945-2-5faabf.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.108845
# Diagonal elements of inverse mass matrix:
# 0.0992347, 0.0429386, 0.10124, 0.0344169, 0.168738, 0.0959954, 0.196733
-549.699,0.993968,0.108845,5,63,0,552.35,-4.99611,-2.77844,-3.53273,-0.504612,2.78417,1.35713,-0.949172,4.6527,2.47911,7.12978e-05,9.64372e-05,0.000130448,0.000176467,0.000238744,0.000323044,0.000437192,0.000591823,0.00080142,0.00108575,0.00147188,0.00199697,0.00271189,0.0036836,0.00499109,0.00671801,0.00894735,0.0117554,0.0152026,0.0193198,0.0240918,0.0293573,0.0348954,0.0404456,0.045724,0.0504297,0.0542464,0.0568525,0.0580008,0.0576679,0.0560033,0.0532226,0.0495681,0.045295,0.0406621,0.0359183,0.0312789,0.0269045,0.0228963,0.0193055,0.016146,0.0134071,0.011062,0.00907506,0.00740678,0.00601707,0.00486743,0.00392223,0.00314936,0.00252052,0.00201115,0.00160023,0.00126995,0.00100538,0.000794095,0.000625851,0.000492227,0.000386354,0.000302656,0.000236624,0.000184629,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.91011,-5.60386,-5.3001,-5.00296,-4.7164,-8.88689,-20.9315,-3.94663,-18.6294,-14.1129,-30.1986,-25.6624,-33.9365,-20.9102,-29.1422,-25.8057,-28.473,-48.5019,-14.4117,-38.1325,-39.0573,-30.9456,-38.4295,-16.6325,-27.7185,-14.4618,-11.3303,-7.89474,-4.12608,-34.4957,-18.017,-9.40445,-4.90536,-10.2263,-5.32519,-0,-0,-0,-6.20905,-0,-6.66878,-6.90239,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,5,3,8,4,12,6,9,18,12,9,16,12,10,10,9,10,10,6,4,5,4,2,2,1,0,1,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
-550.949,0.999453,0.108845,3,7,0,551.141,-5.09422,-2.71659,-3.57721,-0.610603,2.64549,1.43131,-0.969217,4.81563,2.70037,0.00011657,0.000152969,0.000200746,0.000263472,0.000345838,0.000454027,0.000596186,0.000783073,0.00102892,0.0013526,0.00177923,0.00234236,0.00308695,0.00407235,0.00537084,0.00706005,0.00921664,0.0119108,0.0151982,0.0191089,0.0236325,0.0286155,0.0338498,0.0390895,0.044064,0.0484825,0.052036,0.0544193,0.0554489,0.055154,0.0536749,0.0511991,0.0479407,0.0441294,0.0399982,0.0357633,0.0316012,0.0276391,0.0239591,0.020607,0.0176015,0.0149417,0.0126137,0.0105954,0.00885978,0.00737799,0.00612089,0.00506043,0.00417036,0.00342672,0.00280798,0.00229509,0.00187141,0.00152253,0.00123605,0.00100144,0.00080977,0.000653526,0.000526423,0.000423219,0.000339567,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.78057,-5.50354,-5.22677,-4.9533,-4.68675,-8.86063,-20.9329,-3.9576,-18.7257,-14.2152,-30.4724,-25.9352,-34.3432,-21.1859,-29.5582,-26.1993,-28.9229,-49.2596,-14.624,-38.6364,-39.4913,-31.2063,-38.6271,-16.6542,-27.6365,-14.3541,-11.1942,-7.76424,-4.03977,-33.6288,-17.4919,-9.09467,-4.72623,-9.81851,-5.09605,-0,-0,-0,-5.87529,-0,-6.28106,-6.48738,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,5,3,2,4,9,5,11,9,8,17,9,14,15,9,6,11,4,8,5,5,6,4,1,7,4,1,2,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0
-547.621,0.960969,0.108845,6,63,0,554.715,-3.22145,-3.23108,-3.7436,-0.0491202,3.77411,0.46223,-1.05566,5.32646,2.18182,1.12885e-05,1.81706e-05,2.92458e-05,4.70597e-05,7.5677e-05,0.000121521,0.000194523,0.000309433,0.000486814,0.000753195,0.00114039,0.00168452,0.00242517,0.00340442,0.00466563,0.00625145,0.00820079,0.0105444,0.0132995,0.016464,0.0200125,0.023863,0.0279106,0.032034,0.0361036,0.0399875,0.0435551,0.0466793,0.0492364,0.0511079,0.0521846,0.0523775,0.0516395,0.0499925,0.0475373,0.0444298,0.0408433,0.0369435,0.0328784,0.0287778,0.0247554,0.0209106,0.0173284,0.0140784,0.0112106,0.00875218,0.00670493,0.00504734,0.00373987,0.00273245,0.00197197,0.00140792,0.000995826,0.000698582,0.000486526,0.000336673,0.000231646,0.000158566,0.000108039,7.33028e-05,4.95432e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.02185,-5.68268,-5.36753,-5.07494,-4.80352,-9.10432,-21.6001,-4.10658,-19.557,-14.9417,-32.2087,-27.5277,-36.535,-22.5343,-31.3373,-27.5801,-30.1112,-50.5549,-14.7648,-38.3406,-38.5251,-29.9588,-36.5549,-15.5692,-25.5841,-13.1935,-10.2448,-7.0963,-3.69871,-30.94,-16.2216,-8.52623,-4.49089,-9.4769,-5.00491,-0,-0,-0,-6.22872,-0,-6.91194,-7.26646,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,1,1,5,3,12,4,9,14,12,7,6,14,13,11,9,9,13,6,5,4,7,3,6,4,2,3,2,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0
-543.989,0.958443,0.108845,5,63,0,550.494,-0.877635,-2.52855,-2.60468,-0.0776842,3.4256,0.178695,-0.842843,4.21354,2.09827,1.93259e-05,3.06874e-05,4.87164e-05,7.73003e-05,0.000122543,0.000193934,0.000305967,0.000480153,0.000747002,0.00114719,0.00173101,0.00255581,0.00368212,0.00516926,0.00707094,0.00943089,0.0122785,0.0156247,0.019458,0.023743,0.0284198,0.0332847,0.0381293,0.0427452,0.0469313,0.0505,0.0532837,0.0551418,0.0559683,0.0557031,0.0543459,0.0519683,0.0487147,0.0447847,0.0404018,0.0357832,0.0311222,0.0265814,0.0222909,0.0183496,0.0148255,0.011757,0.00915452,0.00700347,0.0052694,0.00390412,0.00285245,0.00205821,0.00146883,0.00103814,0.000727568,0.000506165,0.000349877,0.000240484,0.000164473,0.000111992,7.59569e-05,5.13349e-05,3.45834e-05,2.32302e-05,1.55621e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.60427,-5.26503,-4.95176,-4.66376,-4.3999,-8.31781,-19.6975,-3.74047,-17.8034,-13.6106,-29.401,-25.22,-33.6498,-20.9005,-29.3212,-26.0806,-28.8297,-49.0912,-14.5619,-38.4426,-39.2831,-31.0589,-38.5066,-16.6514,-27.7587,-14.5102,-11.4107,-7.99629,-4.21141,-35.5464,-18.774,-9.9227,-5.24584,-11.0914,-5.85958,-0,-0,-0,-7.2258,-0,-7.95793,-8.33286,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,1,1,1,3,1,0,2,4,4,2,7,4,13,7,12,10,12,8,4,13,14,12,13,8,4,4,5,9,4,5,1,5,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
-540.404,1,0.108845,5,31,0,546.57,-2.37201,-1.84781,-2.19165,-0.10254,3.8697,0.402746,-2.08174,4.93696,2.05721,8.19206e-06,1.28687e-05,2.02185e-05,3.17739e-05,4.9949e-05,7.85472e-05,0.000123548,0.000194283,0.000305066,0.000477118,0.000740299,0.00113405,0.00170737,0.0025181,0.0036315,0.00511788,0.00704881,0.00949136,0.0125005,0.0161101,0.0203251,0.0250583,0.0301784,0.0355142,0.0408617,0.0459928,0.0506624,0.0546152,0.0575952,0.0593652,0.0597456,0.0586707,0.0562302,0.0526503,0.0482266,0.0432609,0.0380278,0.0327646,0.0276695,0.022902,0.0185814,0.0147851,0.0115482,0.00886585,0.00670106,0.00499504,0.00367831,0.00268012,0.00193489,0.00138569,0.000985414,0.000696419,0.000489469,0.000342322,0.000238349,0.000165289,0.000114204,7.86421e-05,5.39859e-05,3.69533e-05,2.5226e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.3728,-5.98425,-5.61811,-5.27501,-4.9549,-9.31475,-21.9099,-4.12831,-19.4795,-14.7462,-31.5056,-26.7026,-35.1732,-21.5549,-29.8257,-26.167,-28.5432,-48.0088,-14.0883,-36.8656,-37.4179,-29.4408,-36.3821,-15.7025,-26.1555,-13.6736,-10.7623,-7.55306,-3.9856,-33.7131,-17.8449,-9.4511,-5.00549,-10.5986,-5.6053,-0,-0,-0,-6.92245,-0,-7.62219,-7.97976,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,3,11,4,10,6,7,11,11,10,11,12,12,11,8,9,9,9,7,8,6,4,3,5,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
-540.455,0.989237,0.108845,5,31,0,542.036,-1.90395,-1.43643,-0.593741,-0.643358,1.91127,-0.39074,-0.324611,4.86717,2.81402,0.000127884,0.00016642,0.000216601,0.000281965,0.000367133,0.000478144,0.000622897,0.00081172,0.00105811,0.00137971,0.00179945,0.00234705,0.00306072,0.00398888,0.0051918,0.00674245,0.00872579,0.0112356,0.0143678,0.0182099,0.0228267,0.0280813,0.0337223,0.0393998,0.0447095,0.049254,0.0527074,0.0548621,0.055647,0.0551186,0.0534313,0.0508007,0.0474686,0.0436736,0.0396321,0.0355266,0.0315012,0.0276625,0.0240827,0.0208053,0.0178506,0.0152213,0.0129076,0.010891,0.00914809,0.00765268,0.0063779,0.0052974,0.00438623,0.00362137,0.00298197,0.00244942,0.00200737,0.00164156,0.00133968,0.00109119,0.000887117,0.000719861,0.000583031,0.000471275,0.000380128,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.78911,-5.52425,-5.26068,-4.99933,-4.74147,-8.97733,-21.2138,-4.00579,-18.8991,-14.2906,-30.5064,-25.8719,-34.1833,-21.0754,-29.43,-26.1264,-28.8873,-49.2705,-14.6468,-38.738,-39.6199,-31.3101,-38.7374,-16.6874,-27.6618,-14.3507,-11.1788,-7.7451,-4.02572,-33.4805,-17.3998,-9.03964,-4.69421,-9.7454,-5.05492,-0,-0,-0,-5.81517,-0,-6.21093,-6.41211,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,3,2,7,6,14,5,6,12,16,8,12,10,7,16,9,14,5,5,4,2,4,4,5,2,2,1,3,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0
