# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 18:55:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22efd7a39.json
# init = /tmp/RtmpC8O1hA/init-b41c24d3881b0_4.json
# random
#   seed = 4852003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0472_rep048_accurate_moderate/prior_sensitivity_obspair_FAST-202605311955-4-96eb38.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0472_rep048_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605311955-4-5a4e7e.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.192791
# Diagonal elements of inverse mass matrix:
# 0.0743027, 0.0740828, 0.0260031, 0.0150329, 0.0389744, 0.024258, 0.0428496
-539.003,0.994006,0.192791,4,31,0,542.985,-2.23746,-2.29254,-1.68918,-0.480267,3.39621,0.160772,-1.18421,5.21342,2.50181,6.24319e-05,8.51153e-05,0.000116064,0.000158309,0.000216001,0.000294838,0.000402635,0.000550103,0.000751852,0.00102762,0.00140357,0.00191342,0.00259889,0.00350918,0.0046992,0.00622652,0.00814702,0.0105093,0.0133483,0.0166785,0.0204884,0.0247035,0.0292103,0.0338581,0.0384641,0.0428217,0.0467114,0.0499168,0.0522449,0.0535526,0.0537705,0.0529138,0.0510744,0.0483995,0.0450686,0.0412743,0.037207,0.0330434,0.0289376,0.0250143,0.0213659,0.0180525,0.0151044,0.0125277,0.01031,0.00842638,0.00684467,0.00552949,0.00444518,0.00355781,0.00283629,0.00225296,0.00178372,0.00140796,0.00110826,0.000870093,0.000681451,0.000532482,0.000415162,0.000323,0.000250768,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.95267,-5.65237,-5.36036,-5.07894,-4.8101,-9.11098,-21.5818,-4.09363,-19.4395,-14.8032,-31.7991,-27.0846,-35.8383,-22.055,-30.6377,-26.9766,-29.5181,-49.7606,-14.6152,-38.2082,-38.6681,-30.2827,-37.1948,-15.9376,-26.3301,-13.6397,-10.6278,-7.37662,-3.84596,-32.1158,-16.7711,-8.75962,-4.57464,-9.55278,-4.98428,-0,-0,-0,-5.86526,-0,-6.32905,-6.56562,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,5,4,3,7,4,3,5,7,7,12,8,14,13,8,20,8,4,11,6,7,5,5,3,3,5,2,5,2,3,0,1,2,0,0,0,1,1,0,0,0,0,0,0
-540.938,0.980863,0.192791,5,31,0,542.647,-2.25845,-3.38569,-1.33495,-0.216605,3.62697,-0.286498,-0.889985,5.27645,2.29226,2.69201e-05,4.018e-05,5.99153e-05,8.92253e-05,0.000132625,0.000196619,0.000290449,0.000426991,0.000623759,0.000903883,0.00129685,0.0018388,0.00257205,0.00354375,0.00480344,0.00639949,0.00837467,0.0107609,0.0135738,0.016808,0.0204334,0.0243819,0.0285555,0.0328283,0.0370518,0.0410622,0.044689,0.0477665,0.0501455,0.0517065,0.0523712,0.0521108,0.0509489,0.0489582,0.0462512,0.0429687,0.0392672,0.0353077,0.0312451,0.0272202,0.023353,0.0197386,0.0164447,0.0135121,0.0109571,0.00877541,0.00694662,0.00543961,0.00421701,0.00323917,0.00246713,0.00186466,0.00139944,0.00104358,0.000773699,0.000570577,0.000418751,0.000305968,0.000222656,0.000161425,0.000116628,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.96305,-5.64257,-5.33842,-5.05154,-4.78254,-9.06368,-21.4981,-4.0859,-19.4529,-14.8557,-32.0032,-27.3317,-36.2498,-22.3487,-31.0803,-27.3729,-29.9283,-50.3569,-14.747,-38.407,-38.7001,-30.1679,-36.884,-15.7364,-25.8989,-13.3746,-10.3977,-7.20759,-3.75703,-31.4014,-16.431,-8.60834,-4.51376,-9.4716,-4.9695,-0,-0,-0,-6.0047,-0,-6.57169,-6.86509,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,4,1,3,2,5,5,12,8,9,6,7,8,14,17,10,7,9,6,9,9,9,8,3,5,6,0,2,3,1,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0
-541.173,0.977617,0.192791,4,15,0,547.339,-3.05194,-2.3809,-1.13856,-0.247418,3.03224,0.0170364,-1.7165,4.80587,2.1325,1.60744e-05,2.37534e-05,3.51017e-05,5.18725e-05,7.6656e-05,0.000113275,0.000167366,0.000247209,0.000364911,0.000538013,0.000791558,0.00116051,0.00169218,0.00244793,0.00350342,0.00494644,0.00687154,0.00937114,0.0125232,0.0163766,0.0209361,0.0261291,0.03181,0.0377585,0.0436875,0.0492601,0.0541168,0.0579134,0.0603668,0.0613006,0.0606731,0.0585774,0.0552168,0.0508684,0.0458455,0.0404637,0.0350132,0.029738,0.0248237,0.0203931,0.016511,0.0131928,0.0104173,0.00813901,0.00629915,0.00483428,0.00368228,0.00278602,0.00209524,0.00156722,0.00116654,0.000864457,0.000638015,0.000469152,0.000343812,0.00025117,0.000182958,0.000132909,9.63045e-05,6.96116e-05,5.01994e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.38174,-6.01251,-5.65402,-5.30909,-4.98037,-9.34024,-21.9009,-4.1119,-19.3314,-14.5788,-31.0318,-26.2123,-34.4376,-21.0745,-29.1661,-25.6393,-28.0732,-47.4634,-14.0113,-36.8863,-37.6543,-29.7851,-36.9897,-16.0368,-26.8162,-14.0613,-11.0879,-7.78511,-4.10373,-34.6247,-18.2571,-9.62217,-5.06734,-10.664,-5.60422,-0,-0,-0,-6.75371,-0,-7.35715,-7.66458,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,3,5,6,7,8,14,16,9,16,15,10,8,10,6,6,11,9,7,5,5,7,4,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-540.142,0.924365,0.192791,4,15,0,545.054,-2.4365,-2.11378,-1.02612,-0.480354,3.06628,-0.243545,-0.608745,5.25948,2.54943,5.83478e-05,7.95253e-05,0.000108398,0.000147765,0.000201445,0.000274639,0.000374423,0.000510391,0.000695494,0.000947071,0.00128807,0.00174833,0.00236577,0.00318707,0.00426743,0.005669,0.00745741,0.00969639,0.0124407,0.0157275,0.0195682,0.023909,0.0286429,0.0336072,0.038587,0.0433268,0.0475528,0.0510021,0.0534566,0.0547725,0.0548975,0.053872,0.0518157,0.0489047,0.0453468,0.0413583,0.0371453,0.0328902,0.028743,0.0248182,0.021195,0.0179204,0.0150147,0.0124772,0.0102919,0.00843254,0.00686742,0.00556227,0.00448289,0.00359677,0.00287402,0.00228794,0.00181515,0.00143553,0.00113201,0.000890239,0.000698327,0.000546467,0.000426644,0.000332345,0.000258313,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.04665,-5.74865,-5.45674,-5.17274,-4.89855,-9.272,-21.9339,-4.15234,-19.6692,-14.934,-31.9756,-27.1441,-35.8032,-21.9729,-30.4591,-26.783,-29.2888,-49.3776,-14.5114,-37.9749,-38.4808,-30.1788,-37.121,-15.9274,-26.3433,-13.6583,-10.6481,-7.39235,-3.85399,-32.1745,-16.7949,-8.7677,-4.5764,-9.55132,-4.98097,-0,-0,-0,-5.85204,-0,-6.31159,-6.54622,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,1,1,2,6,5,7,7,3,11,10,8,9,12,7,14,8,13,11,13,5,3,10,4,6,3,2,1,0,6,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
-546.971,0.981396,0.192791,4,15,0,549.344,-2.79227,-2.21628,-1.08709,-0.706779,1.51549,-0.0992404,-0.797792,4.87242,2.94607,0.000189093,0.000242097,0.000309996,0.000396999,0.000508517,0.00065151,0.000834937,0.00107034,0.0013726,0.00176084,0.00225964,0.00290039,0.00372273,0.00477596,0.00611959,0.00782253,0.00995965,0.012605,0.0158216,0.019649,0.0240913,0.0289974,0.0341314,0.0391871,0.043823,0.0477132,0.0505994,0.052328,0.0528603,0.0522607,0.0506696,0.048273,0.0452747,0.0418745,0.0382525,0.0345616,0.0309234,0.0274292,0.0241428,0.0211042,0.0183346,0.0158404,0.0136173,0.0116534,0.00993188,0.00843296,0.00713571,0.00601899,0.00506227,0.00424615,0.00355269,0.00296552,0.00246997,0.00205297,0.00170301,0.00141002,0.00116528,0.000961252,0.000791465,0.000650402,0.000533376,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.5933,-5.34416,-5.09626,-4.85075,-4.60921,-8.74733,-20.7319,-3.92973,-18.6295,-14.1622,-30.3978,-25.9153,-34.4036,-21.2978,-29.8381,-26.552,-29.401,-50.1757,-14.9121,-39.4015,-40.2351,-31.7308,-39.1626,-16.8251,-27.8099,-14.3846,-11.1713,-7.71657,-3.99897,-33.1615,-17.1856,-8.90431,-4.61201,-9.55121,-4.94264,-0,-0,-0,-5.64005,-0,-6.00355,-6.18847,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,2,4,0,7,6,2,11,5,8,16,11,8,13,8,12,8,11,10,8,5,7,2,7,3,5,0,3,1,0,2,2,1,1,0,1,2,0,1,0,0,0,1,0,0,0
-542.293,0.998984,0.192791,5,31,0,549.773,-1.94929,-1.12244,-1.83929,-0.259907,2.44853,-0.525334,-1.35465,5.03479,2.47881,2.80485e-05,4.10067e-05,5.98514e-05,8.71734e-05,0.000126638,0.000183386,0.000264548,0.000379896,0.000542646,0.0007704,0.00108621,0.00151975,0.00210842,0.00289839,0.0039453,0.00531456,0.0070809,0.00932717,0.0121422,0.0156178,0.0198446,0.0246904,0.0299789,0.03549,0.0409655,0.0461199,0.0506581,0.0543006,0.0568127,0.0580336,0.0578996,0.0564534,0.0538373,0.0502703,0.0460158,0.0413468,0.0365172,0.0317424,0.0271895,0.0229757,0.0191728,0.0158142,0.0129038,0.0104237,0.00834166,0.00661738,0.00520685,0.00406587,0.00315241,0.002428,0.00185851,0.00141442,0.00107067,0.000806415,0.000604557,0.000451263,0.000335475,0.000248451,0.000183345,0.000134842,9.88466e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.16182,-5.8436,-5.53523,-5.2373,-4.95035,-9.34965,-22.0553,-4.15934,-19.5991,-14.8054,-31.5654,-26.708,-35.1453,-21.5356,-29.8266,-26.219,-28.68,-48.3945,-14.2452,-37.3664,-37.9833,-29.9034,-36.9452,-15.9288,-26.4798,-13.8004,-10.8148,-7.54664,-3.95426,-33.1748,-17.4009,-9.12735,-4.78649,-10.0361,-5.25778,-0,-0,-0,-6.28798,-0,-6.83947,-7.12291,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,2,4,4,2,2,5,3,4,11,13,13,9,11,7,10,19,14,11,8,6,7,3,6,8,3,2,1,2,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
