# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 19:26:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27bfcc889.json
# init = /tmp/RtmpC8O1hA/init-b41c257a1204f_1.json
# random
#   seed = 4852008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0477_rep048_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605312026-1-2e215b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0477_rep048_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605312026-1-9dc3ee.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0455434
# Diagonal elements of inverse mass matrix:
# 0.0964715, 0.0879484, 0.142801, 0.142271, 0.100878, 0.171492, 0.527651
-545.697,0.998175,0.0455434,6,127,0,547.189,-2.34039,-1.50155,-1.37493,-0.708009,3.44413,2.47266,0.844456,4.9434,2.80089,0.000105242,0.000134773,0.00017264,0.000221229,0.00028363,0.00036386,0.000467164,0.000600437,0.000772815,0.000996538,0.00128825,0.00167105,0.00217788,0.00285686,0.00376619,0.00497042,0.00654186,0.0085602,0.0111321,0.0145581,0.0210079,0.0273889,0.0337937,0.0401547,0.0463809,0.0523258,0.0576898,0.0614404,0.061144,0.0591762,0.056378,0.0529471,0.0489958,0.0446376,0.0400155,0.0353465,0.0308652,0.0267116,0.0229504,0.0196007,0.0166547,0.0140893,0.0118731,0.00997137,0.00834859,0.00697059,0.00580542,0.00482389,0.00399982,0.00331002,0.00273417,0.00225464,0.0018562,0.0015258,0.00125231,0.00102631,0.000839822,0.000686171,0.000559734,0.000455799,0.000370317,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.1294,-5.85803,-5.58169,-5.30425,-5.02953,-9.52126,-22.4896,-4.22961,-19.3143,-14.3905,-30.4873,-25.7201,-33.7795,-20.6519,-28.5268,-25.1072,-27.9452,-48.063,-14.3784,-38.2,-39.2083,-31.0918,-38.6219,-16.7128,-27.825,-14.4906,-11.3233,-7.86438,-4.09506,-34.0987,-17.7339,-9.21608,-4.78566,-9.93211,-5.14896,-0,-0,-0,-5.90193,-0,-6.28922,-6.48524,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,5,7,3,6,8,8,19,14,15,11,3,13,10,10,8,9,9,7,2,8,1,4,4,0,1,1,4,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0
-546.313,0.998936,0.0455434,7,127,0,550.603,-1.9894,-4.62062,-1.37929,-0.181412,5.15997,1.88231,-1.36537,5.22722,1.89155,1.04177e-05,1.58095e-05,2.39925e-05,3.64125e-05,5.52656e-05,8.38886e-05,0.000127355,0.000193388,0.000293759,0.000446342,0.000676709,0.00101793,0.0015112,0.00220673,0.00316427,0.00445273,0.00614816,0.00832904,0.0110666,0.014407,0.0183436,0.0227907,0.0276071,0.0326377,0.0377237,0.0426948,0.0473616,0.0515118,0.0549117,0.0573185,0.0585082,0.058325,0.0567673,0.0540127,0.050318,0.045954,0.0411708,0.0361849,0.031178,0.0263033,0.0216948,0.0174767,0.0137639,0.010632,0.0080856,0.00607186,0.0045124,0.00332431,0.00243088,0.00176621,0.00127611,0.000917483,0.000656759,0.000468287,0.000332724,0.000235648,0.000166408,0.000117196,8.2333e-05,5.77064e-05,4.03572e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.49485,-6.11624,-5.75583,-5.41424,-5.0916,-9.57601,-22.5191,-4.24004,-19.9924,-15.1256,-32.3071,-27.3783,-36.0521,-22.0758,-30.4994,-26.6935,-29.0203,-48.6052,-14.1929,-36.9424,-37.2943,-29.1854,-35.8727,-15.4006,-25.5202,-13.2765,-10.4041,-7.27612,-3.83068,-32.3751,-17.1428,-9.08777,-4.81767,-10.2082,-5.40093,-0,-0,-0,-6.66394,-0,-7.32819,-7.66643,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,6,3,1,3,6,6,5,4,10,13,13,18,9,15,14,12,6,9,9,6,6,5,4,2,0,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-540.769,0.999461,0.0455434,6,63,0,547.901,-1.95704,-2.92223,-0.781842,-0.700726,3.13915,1.71921,-0.089306,4.77126,2.55706,0.0001261,0.000161718,0.000207436,0.000266142,0.000341569,0.00043855,0.000563361,0.000724183,0.000931736,0.00120016,0.00154826,0.00200137,0.00259412,0.00337486,0.00441134,0.0057933,0.00763199,0.0100562,0.0132002,0.0171769,0.0220294,0.0276574,0.0338216,0.0401819,0.0463297,0.0518106,0.0561553,0.0589519,0.0600118,0.0593749,0.0572196,0.0538198,0.0495153,0.0446831,0.0396853,0.034803,0.0302144,0.0260158,0.0222478,0.0189157,0.0160029,0.0134803,0.0113123,0.00946095,0.00788875,0.00655991,0.00544143,0.00450346,0.00371944,0.00306603,0.0025229,0.00207253,0.0016999,0.00139219,0.00113855,0.000929798,0.00075824,0.000617422,0.000501962,0.000407391,0.000330005,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.95451,-5.6914,-5.42358,-5.15105,-4.87541,-9.19914,-21.6376,-4.06419,-19.0769,-14.3514,-30.4799,-25.7147,-33.7917,-20.7211,-28.7964,-25.4793,-28.1321,-48.006,-14.3043,-37.9875,-39.0712,-31.0816,-38.7213,-16.7903,-27.9955,-14.5962,-11.4165,-7.93553,-4.13498,-34.4522,-17.9275,-9.32116,-4.84232,-10.0536,-5.21371,-0,-0,-0,-5.98235,-0,-6.37719,-6.57688,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,7,3,7,11,4,5,13,10,14,10,8,16,7,13,5,9,10,7,9,4,5,5,3,2,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
-539.797,0.995554,0.0455434,6,63,0,545.249,-1.78436,-2.96551,-0.804388,-0.540489,3.3566,0.184278,-1.94183,4.84182,2.34266,8.09425e-05,0.000108355,0.000145071,0.000194266,0.000260206,0.000348638,0.000467308,0.000626674,0.000840859,0.00112892,0.00151645,0.00203748,0.00273632,0.00366886,0.00490234,0.00651277,0.00857909,0.0111738,0.0143501,0.0181276,0.022478,0.0273087,0.0324625,0.0377229,0.0428268,0.0474856,0.0514113,0.0543492,0.0561106,0.0565983,0.0558159,0.0538601,0.0509024,0.0471654,0.0428974,0.0383467,0.0337398,0.0292642,0.0250605,0.0212205,0.0177932,0.0147925,0.0122068,0.0100082,0.00815951,0.00661951,0.00534681,0.00430213,0.00344961,0.00275744,0.00219796,0.00174751,0.00138612,0.00109708,0.000866561,0.00068318,0.000537632,0.000422354,0.000331224,0.00025931,0.000202653,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.90114,-5.60788,-5.31804,-5.03399,-4.75843,-8.98837,-21.22,-4.01032,-18.9761,-14.4022,-30.849,-26.2199,-34.6565,-21.3313,-29.679,-26.2109,-28.8043,-48.8202,-14.4285,-37.9777,-38.712,-30.5409,-37.7873,-16.3054,-27.1126,-14.1256,-11.0594,-7.70557,-4.02894,-33.7091,-17.6231,-9.2087,-4.80857,-10.0355,-5.23125,-0,-0,-0,-6.12023,-0,-6.58125,-6.8151,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,1,3,5,3,7,6,8,10,4,11,13,9,10,14,10,10,9,9,4,8,5,7,8,5,1,2,3,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
-539.912,0.994881,0.0455434,6,63,0,541.879,-2.23625,-2.24535,-0.383214,-0.433102,2.81064,-0.283459,0.0858218,4.77004,2.37715,4.46718e-05,6.17868e-05,8.546e-05,0.000118204,0.000163491,0.000226119,0.000312708,0.000432375,0.000597641,0.000825625,0.00113957,0.00157075,0.00216058,0.00296292,0.00404577,0.00549191,0.00739702,0.00986457,0.0129965,0.0168795,0.0215688,0.0269932,0.0329715,0.0392073,0.0453084,0.0508323,0.0553509,0.0585203,0.0601329,0.0601397,0.058639,0.0558436,0.0520369,0.0475304,0.0426276,0.0375987,0.032665,0.0279925,0.0236937,0.0198332,0.0164367,0.0135004,0.0109998,0.00889808,0.00715151,0.00571443,0.00454226,0.00359348,0.00283071,0.00222117,0.00173669,0.00135348,0.00105167,0.000814911,0.000629833,0.000485623,0.000373586,0.000286776,0.000219677,0.000167929,0.000128102,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.13738,-5.82158,-5.51008,-5.20448,-4.90668,-9.23761,-21.7154,-4.08165,-19.1825,-14.4487,-30.709,-25.9111,-34.0369,-20.8546,-28.9406,-25.5454,-28.112,-47.7885,-14.1818,-37.5076,-38.4254,-30.4639,-37.863,-16.4039,-27.3716,-14.3033,-11.2276,-7.84079,-4.10824,-34.4403,-18.0395,-9.44384,-4.94043,-10.3295,-5.39433,-0,-0,-0,-6.35577,-0,-6.85737,-7.11243,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,1,3,8,4,5,3,7,12,13,10,10,12,11,14,11,6,10,7,11,8,4,5,3,3,3,2,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0
-539.344,0.9989,0.0455434,6,63,0,542.529,-2.10155,-1.79308,-1.25357,-0.2823,3.80697,-0.146026,-0.35333,5.19935,2.28927,1.96913e-05,2.87118e-05,4.18632e-05,6.10337e-05,8.89673e-05,0.000129641,0.000188792,0.000274641,0.000398839,0.000577657,0.000833361,0.00119567,0.00170305,0.00240366,0.00335547,0.00462539,0.00628693,0.00841634,0.0110872,0.0143638,0.0182937,0.0228301,0.027873,0.0332641,0.0387877,0.0441773,0.0491303,0.0533325,0.0564913,0.0583763,0.0588575,0.0579286,0.0557059,0.0524008,0.0482799,0.0436256,0.0387053,0.033753,0.028959,0.0244669,0.0203745,0.0167379,0.0135775,0.0108856,0.00863407,0.00678126,0.00527875,0.00407614,0.00312471,0.00237973,0.00180173,0.00135691,0.00101704,0.000759003,0.000564219,0.000417925,0.000308549,0.00022711,0.000166695,0.000122028,8.91021e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.37533,-6.03076,-5.69716,-5.37619,-5.06928,-9.55516,-22.5098,-4.24305,-20.006,-15.1187,-32.2209,-27.2262,-35.7462,-21.8368,-30.1328,-26.3809,-28.7367,-48.2944,-14.1632,-37.0311,-37.5397,-29.4883,-36.3689,-15.6606,-26.0142,-13.5547,-10.6256,-7.42087,-3.89347,-32.7207,-17.1974,-9.04062,-4.75204,-9.98718,-5.24407,-0,-0,-0,-6.31901,-0,-6.89086,-7.1835,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,2,3,5,3,5,6,13,12,6,8,9,14,14,9,6,8,13,10,10,7,5,2,3,6,5,3,2,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
