# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 19:39:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22914f8c1.json
# init = /tmp/RtmpC8O1hA/init-b41c218980fc5_1.json
# random
#   seed = 4852009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0478_rep048_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605312039-1-58c9d0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0478_rep048_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605312039-1-683960.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.12757
# Diagonal elements of inverse mass matrix:
# 0.0744313, 0.0979675, 0.0389922, 0.00806047, 0.0287102, 0.0522907, 0.0451009
-542.383,0.987891,0.12757,5,31,0,546.423,-1.99489,-1.74829,-1.30742,-0.639178,3.61331,0.57411,0.170253,5.13785,2.6488,7.90509e-05,0.000103047,0.000134378,0.00017532,0.000228886,0.00029907,0.000391212,0.000512494,0.000672663,0.000885074,0.00116817,0.0015474,0.0020574,0.00274395,0.00366541,0.00489378,0.00651487,0.00862696,0.0113387,0.0147746,0.0191203,0.024187,0.0297904,0.035701,0.041632,0.0472387,0.0521263,0.055881,0.0581504,0.0587656,0.0578054,0.0555241,0.0522344,0.0482391,0.0438097,0.0391829,0.0345607,0.0301063,0.0259408,0.022142,0.0187485,0.0157676,0.0131843,0.0109699,0.00908853,0.00750177,0.00617165,0.00506246,0.00414164,0.00338017,0.00275263,0.00223706,0.00181463,0.00146936,0.00118777,0.000958588,0.000772384,0.000621344,0.000499004,0.00040003,0.000320035,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.18631,-5.89836,-5.60881,-5.31979,-5.03367,-9.50573,-22.3977,-4.21484,-19.785,-14.8878,-31.6221,-26.6606,-34.9677,-21.3678,-29.5409,-25.9608,-28.4472,-48.1814,-14.2534,-37.5822,-38.3762,-30.3158,-37.5348,-16.1976,-26.9203,-14.0121,-10.9558,-7.62056,-3.97664,-33.1984,-17.3149,-9.0252,-4.70074,-9.78523,-5.08779,-0,-0,-0,-5.8952,-0,-6.31187,-6.52293,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,1,2,6,6,6,7,15,14,9,15,24,9,9,10,6,4,8,4,5,9,3,1,2,6,2,2,1,0,0,0,3,1,1,0,2,0,0,0,0,0,0,0
-542.551,0.999802,0.12757,5,31,0,544.174,-1.78739,-2.4079,-0.879366,-0.50964,3.79937,0.63277,0.336786,4.86607,2.31194,4.74422e-05,6.41043e-05,8.66381e-05,0.000117129,0.000158417,0.00021438,0.000290338,0.000393623,0.000534406,0.000726916,0.00099119,0.00135552,0.0018595,0.00255735,0.00352086,0.00484091,0.0066255,0.00899199,0.0120539,0.0159074,0.0206329,0.026057,0.0319803,0.0381356,0.0442019,0.0498243,0.0546284,0.0582426,0.0603556,0.0608136,0.0596764,0.0571598,0.0535439,0.0491227,0.0441856,0.0390084,0.0338417,0.0288968,0.0243313,0.0202424,0.0166712,0.0136145,0.01104,0.00889913,0.00713707,0.00569886,0.00453305,0.00359355,0.00284017,0.00223864,0.00176017,0.00138085,0.00108103,0.000844676,0.000658807,0.000512955,0.00039873,0.000309434,0.000239737,0.000185417,0.000143134,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.28745,-5.96878,-5.64905,-5.33065,-5.01683,-9.42284,-22.0918,-4.14097,-19.4043,-14.5899,-30.9837,-26.1329,-34.3089,-20.9948,-29.072,-25.5882,-28.075,-47.599,-14.0941,-37.2048,-38.0543,-30.1343,-37.4323,-16.2199,-27.0885,-14.1761,-11.148,-7.79995,-4.09407,-34.373,-18.0249,-9.4436,-4.94245,-10.335,-5.39636,-0,-0,-0,-6.34234,-0,-6.82984,-7.07656,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,3,1,3,5,4,6,7,8,8,14,7,14,14,12,10,8,14,11,7,9,8,6,4,1,2,1,0,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-542.149,0.981068,0.12757,5,31,0,546.926,-1.10325,-3.70932,-0.483707,-0.448988,4.15195,0.52664,-0.327741,4.66642,2.01023,4.19643e-05,5.77669e-05,7.9534e-05,0.000109529,0.000150886,0.000207953,0.00028678,0.000395819,0.000546928,0.000756814,0.00104906,0.00145674,0.00202539,0.00281554,0.00390389,0.00538228,0.00735301,0.00991931,0.01317,0.0171591,0.0218835,0.0272627,0.0331304,0.0392361,0.0452596,0.0508343,0.055582,0.0591545,0.0612799,0.0618038,0.0607141,0.0581383,0.0543165,0.0495614,0.0442162,0.0386178,0.0330664,0.0278047,0.0230052,0.0187683,0.0151293,0.0120739,0.00955509,0.00750902,0.0058665,0.00456044,0.00353001,0.00272226,0.00209251,0.0016038,0.00122605,0.000935091,0.00071167,0.000540575,0.00040987,0.000310235,0.000234431,0.000176858,0.000133199,0.000100139,7.51378e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.20199,-5.8726,-5.54578,-5.22464,-4.91265,-9.22654,-21.6491,-4.06523,-19.1101,-14.4089,-30.6657,-25.9053,-34.0488,-20.8543,-28.899,-25.4484,-27.923,-47.3244,-14.0079,-36.9841,-37.8681,-30.0454,-37.424,-16.2702,-27.2739,-14.3302,-11.3161,-7.95117,-4.19112,-35.3337,-18.6027,-9.7833,-5.1385,-10.7807,-5.64645,-0,-0,-0,-6.70396,-0,-7.2479,-7.52288,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,2,4,6,5,5,6,13,16,17,11,14,9,18,13,8,12,6,2,5,4,3,5,1,2,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-541.135,0.999485,0.12757,5,31,0,544.409,-0.541818,-1.32082,-1.26736,-0.834544,3.9636,0.88861,-1.0206,4.74946,2.66445,8.27698e-05,0.000103551,0.000129777,0.000163005,0.000205312,0.00025952,0.000329538,0.000420911,0.000541743,0.000704284,0.000927689,0.00124253,0.00169659,0.00235916,0.00332167,0.0046953,0.00660585,0.00918553,0.0125608,0.0168365,0.0220763,0.0280785,0.034565,0.0411923,0.0475702,0.0532829,0.0579116,0.0610644,0.0624316,0.0618902,0.0595938,0.0559041,0.0512473,0.04603,0.040606,0.0352642,0.0302215,0.025622,0.0215406,0.0179954,0.0149639,0.0124005,0.01025,0.00845594,0.0069653,0.00573049,0.00470991,0.0038679,0.00317418,0.00260327,0.00213386,0.00174817,0.00143142,0.00117136,0.000957814,0.000782387,0.000638153,0.000519415,0.000421508,0.000340619,0.000273649,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.37913,-6.04945,-5.70729,-5.36119,-5.0198,-9.38025,-21.8859,-4.08421,-19.0663,-14.291,-30.2842,-25.516,-33.501,-20.525,-28.4884,-25.1624,-27.7368,-47.3007,-14.101,-37.4935,-38.6242,-30.7846,-38.4461,-16.7244,-27.9936,-14.6572,-11.5134,-8.03527,-4.20211,-35.1201,-18.3219,-9.54577,-4.96681,-10.3239,-5.35809,-0,-0,-0,-6.14982,-0,-6.54909,-6.74959,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,2,2,5,6,5,7,8,16,12,6,13,10,15,12,14,9,10,6,5,5,2,1,3,4,1,1,1,1,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
-539.233,0.987878,0.12757,5,31,0,542.853,-1.15661,-2.29302,-0.924142,-0.613084,4.75223,0.632598,-0.799246,5.26285,2.34101,5.40708e-05,7.10885e-05,9.35453e-05,0.000123241,0.00016262,0.000215033,0.00028514,0.000379535,0.000507716,0.000683592,0.000927555,0.00126886,0.0017477,0.00241641,0.00333964,0.00459277,0.0062582,0.00841849,0.0111461,0.0144898,0.0184599,0.023003,0.0280039,0.0332881,0.0386321,0.0437792,0.0484579,0.0524011,0.0553665,0.0571599,0.0576622,0.0568571,0.0548356,0.0517708,0.047885,0.0434241,0.0386375,0.0337621,0.0290069,0.0245407,0.020483,0.0169012,0.0138154,0.0112086,0.00904003,0.007257,0.00580398,0.00462787,0.00368087,0.00292148,0.00231454,0.00183075,0.001446,0.00114058,0.000898528,0.000706955,0.000555509,0.000435903,0.000341523,0.000267106,0.000208472,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.34946,-6.02547,-5.70189,-5.38327,-5.07386,-9.55465,-22.4833,-4.23431,-19.9608,-15.0885,-32.1787,-27.2204,-35.7904,-21.9002,-30.2706,-26.5395,-28.9378,-48.6524,-14.2658,-37.2738,-37.7444,-29.6093,-36.4674,-15.6837,-26.0283,-13.5537,-10.6207,-7.41485,-3.88816,-32.643,-17.1279,-8.98214,-4.70609,-9.85158,-5.14921,-0,-0,-0,-6.06855,-0,-6.53896,-6.77622,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,0,4,4,4,10,6,4,14,8,12,19,8,13,9,10,12,10,10,3,2,6,3,6,2,2,3,1,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0
-538.524,0.995688,0.12757,4,15,0,540.431,-0.523223,-2.17444,-0.917899,-0.632339,4.47661,0.707435,-0.670579,4.8623,2.35513,6.83819e-05,8.94544e-05,0.000117128,0.000153549,0.000201618,0.000265301,0.000350099,0.000463774,0.000617526,0.000827849,0.00111932,0.00152799,0.00210396,0.002912,0.0040297,0.00554353,0.0075425,0.0101093,0.0133084,0.0171719,0.0216847,0.0267389,0.032162,0.0377248,0.0431573,0.0481689,0.0524696,0.0557911,0.0579085,0.0586693,0.058028,0.0560671,0.0529736,0.0489944,0.0444002,0.0394625,0.0344358,0.0295426,0.02496,0.0208111,0.017162,0.0140284,0.0113879,0.00919468,0.00739256,0.0059237,0.00473376,0.00377428,0.0030035,0.00238614,0.0018929,0.00149961,0.00118657,0.000937767,0.000740247,0.000583595,0.000459454,0.000361139,0.000283318,0.00022175,0.000173067,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.16394,-5.83892,-5.51406,-5.19512,-4.8872,-9.1886,-21.5968,-4.06448,-19.1557,-14.4865,-30.9327,-26.2195,-34.572,-21.2313,-29.4752,-25.9753,-28.4889,-48.2093,-14.2341,-37.4557,-38.1935,-30.1605,-37.3741,-16.162,-26.9493,-14.0877,-11.0714,-7.74454,-4.06506,-34.1333,-17.9008,-9.37826,-4.90728,-10.2576,-5.35304,-0,-0,-0,-6.26965,-0,-6.73668,-6.97201,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,5,5,1,9,3,10,4,7,9,8,11,9,11,11,11,12,12,4,10,7,10,5,3,4,2,3,2,3,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0
