# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 19:49:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21b832fbc.json
# init = /tmp/RtmpC8O1hA/init-b41c21e4d32e2_3.json
# random
#   seed = 4852011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0480_rep048_manuscript_default/prior_sensitivity_obspair_FAST-202605312049-3-6dbb8d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0480_rep048_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605312049-3-3dcf68.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0346822
# Diagonal elements of inverse mass matrix:
# 0.0927009, 0.0744894, 0.142637, 0.037292, 0.164153, 0.257781, 0.168705
-542.51,0.961785,0.0346822,7,127,0,543.388,-1.65101,-1.61184,-2.18872,-0.548912,4.06188,2.51711,-0.730305,4.74192,2.42818,6.17927e-05,8.25758e-05,0.000110392,0.000147654,0.00019763,0.00026477,0.000355167,0.000477242,0.000642771,0.000868484,0.00117867,0.00160962,0.00221533,0.00306121,0.00422047,0.00577352,0.00780655,0.0104086,0.0136658,0.0176512,0.0224043,0.0277505,0.0334574,0.0392697,0.0449198,0.050125,0.0545847,0.0579754,0.0599448,0.060118,0.0585757,0.0556981,0.0518388,0.0473127,0.0423952,0.0373266,0.0323183,0.0275584,0.0232033,0.0193415,0.0159929,0.0131363,0.0107297,0.00872197,0.00706038,0.00569436,0.00457763,0.0036691,0.00293307,0.00233901,0.00186112,0.00147783,0.00117123,0.000926577,0.00073178,0.000576993,0.000454223,0.000357011,0.000280153,0.000219469,0.000171615,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.11235,-5.78894,-5.46781,-5.15447,-4.85279,-9.13025,-21.4643,-4.03695,-18.9925,-14.338,-30.5773,-25.8984,-34.1316,-20.9527,-29.08,-25.6296,-28.1433,-47.7946,-14.1872,-37.5415,-38.475,-30.5098,-37.9286,-16.4402,-27.457,-14.3658,-11.2904,-7.891,-4.13561,-34.659,-18.139,-9.48382,-4.95326,-10.3366,-5.38657,-0,-0,-0,-6.28657,-0,-6.7497,-6.98401,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,2,4,6,4,5,6,6,9,8,9,8,7,12,7,15,10,8,7,12,4,6,3,7,5,3,4,5,3,2,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0
-537.191,0.998823,0.0346822,7,127,0,544.642,-1.99037,-2.3179,-1.16868,-0.444266,3.41226,0.185758,-0.770684,4.90329,2.31899,4.5049e-05,6.21154e-05,8.56658e-05,0.000118179,0.000163095,0.000225194,0.000311137,0.000430216,0.000595409,0.000824804,0.00114343,0.00158536,0.00219575,0.00303206,0.00416374,0.00566965,0.00763277,0.0101318,0.01323,0.0169623,0.0213227,0.0262296,0.0315365,0.0370341,0.0424597,0.0475133,0.051882,0.0552713,0.057444,0.0582585,0.0576918,0.0558351,0.052869,0.0490314,0.0445867,0.039801,0.03492,0.0301526,0.0256605,0.0215543,0.0178964,0.0147083,0.0119807,0.00968305,0.00777294,0.00620249,0.00492341,0.00388998,0.00306075,0.00239936,0.0018746,0.00146015,0.00113417,0.000878712,0.000679182,0.000523797,0.000403119,0.000309626,0.000237357,0.00018161,0.000138691,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.12123,-5.79851,-5.48134,-5.17263,-4.8753,-9.18415,-21.6263,-4.07676,-19.2399,-14.5635,-31.1095,-26.3673,-34.7512,-21.3272,-29.5878,-26.0595,-28.5695,-48.3287,-14.2632,-37.5096,-38.2192,-30.153,-37.3238,-16.1193,-26.8376,-14.0059,-10.9884,-7.67436,-4.02316,-33.7547,-17.6978,-9.27476,-4.85711,-10.1656,-5.31375,-0,-0,-0,-6.27936,-0,-6.78186,-7.03705,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,5,3,9,4,8,6,9,12,8,20,12,16,11,10,13,12,6,6,6,1,3,2,2,2,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
-538.671,0.998516,0.0346822,5,63,0,540.188,-2.90889,-1.9158,-1.3656,-0.324097,3.51443,0.205855,-1.09718,5.13997,2.2372,1.87692e-05,2.696e-05,3.87339e-05,5.56669e-05,8.00358e-05,0.000115137,0.00016575,0.000238821,0.000344437,0.0004972,0.000718016,0.00103622,0.00149169,0.00213645,0.00303528,0.00426471,0.00590992,0.00805897,0.010794,0.0141796,0.0182502,0.0229691,0.0282378,0.033891,0.039698,0.0453711,0.0505804,0.0549777,0.058234,0.060091,0.0604143,0.0592199,0.0566587,0.0529756,0.0484641,0.0434302,0.0381656,0.0329279,0.0279261,0.0233133,0.0191854,0.0155867,0.0125192,0.00995449,0.0078453,0.00613498,0.00476465,0.00367795,0.00282377,0.0021575,0.00164126,0.00124363,0.000938959,0.0007066,0.000530135,0.000396626,0.000295966,0.00022031,0.00016361,0.00012123,8.96295e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.50785,-6.14861,-5.79745,-5.45738,-5.13112,-9.64194,-22.6438,-4.25595,-20.0179,-15.0944,-32.1038,-27.0769,-35.491,-21.6502,-29.8419,-26.1074,-28.4329,-47.8022,-14.0326,-36.7445,-37.3192,-29.3792,-36.3232,-15.683,-26.1266,-13.6537,-10.7346,-7.51747,-3.9536,-33.2907,-17.522,-9.21946,-4.84784,-10.1875,-5.34653,-0,-0,-0,-6.41229,-0,-6.97074,-7.25505,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,1,7,2,8,7,11,15,11,18,12,14,8,12,10,12,7,8,5,4,8,2,3,1,3,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-540.92,0.998414,0.0346822,6,63,0,542.045,-2.5289,-2.8587,-1.99371,-0.462429,2.27767,-0.0214649,-2.49497,4.82965,2.51356,7.52918e-05,0.000103166,0.000141361,0.000193695,0.000265391,0.000363587,0.000498002,0.000681816,0.000932755,0.00127437,0.00173731,0.00236043,0.00319102,0.00428386,0.00569861,0.00749552,0.00972967,0.0124445,0.0156649,0.0193917,0.0235966,0.0281623,0.0329299,0.0377038,0.0422602,0.0463611,0.0497729,0.0522914,0.0537675,0.0541285,0.0533867,0.0516323,0.049014,0.0457168,0.04194,0.0378801,0.0337174,0.0296065,0.0256712,0.0220021,0.0186581,0.0156701,0.0130457,0.0107751,0.00883626,0.00719966,0.00583207,0.00469939,0.00376861,0.00300906,0.00239306,0.00189626,0.00149756,0.00117905,0.000925618,0.000724718,0.000565996,0.000440983,0.000342798,0.000265885,0.000205778,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.74742,-5.4529,-5.16753,-4.89345,-4.63258,-8.77296,-20.7816,-3.94291,-18.7333,-14.2791,-30.7204,-26.224,-34.803,-21.4991,-30.0028,-26.5583,-29.2309,-49.5787,-14.651,-38.5269,-39.2034,-30.8529,-38.0582,-16.3667,-27.1179,-14.079,-10.9872,-7.63324,-3.98147,-33.248,-17.3572,-9.06103,-4.72889,-9.86744,-5.14438,-0,-0,-0,-6.03518,-0,-6.50392,-6.74305,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,2,1,4,3,4,7,6,5,4,10,6,13,10,8,11,12,9,10,9,7,8,6,4,3,10,3,5,4,1,2,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
-539.814,0.998861,0.0346822,6,63,0,543.624,-2.15293,-2.68926,-1.86835,-0.415295,2.34382,-0.160832,-2.23272,4.79647,2.46697,6.65997e-05,9.26319e-05,0.000128826,0.000179129,0.000249001,0.000345965,0.000480332,0.000666116,0.000922131,0.0012732,0.00175127,0.00239614,0.00325536,0.0043829,0.00583633,0.00767262,0.00994267,0.0126853,0.0159214,0.0196483,0.0238368,0.0283682,0.033085,0.0377955,0.0422825,0.046317,0.049676,0.0521647,0.0536394,0.0540263,0.0533303,0.0516309,0.0490665,0.0458142,0.042068,0.0380219,0.0338554,0.0297245,0.0257557,0.0220439,0.0186528,0.015618,0.012951,0.0106448,0.00867914,0.00702481,0.00564817,0.00451401,0.00358792,0.00283768,0.00223418,0.00175177,0.00136835,0.00106513,0.000826457,0.000639359,0.000493248,0.000379538,0.000291321,0.00022308,0.000170431,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.72745,-5.43005,-5.14365,-4.8701,-4.61092,-8.73462,-20.7005,-3.92976,-18.6826,-14.25,-30.6781,-26.2045,-34.7972,-21.5057,-30.0223,-26.5801,-29.2547,-49.6108,-14.6563,-38.5273,-39.1895,-30.8316,-38.0216,-16.348,-27.0853,-14.0631,-10.9773,-7.62944,-3.98176,-33.2747,-17.3863,-9.08536,-4.74683,-9.91661,-5.17642,-0,-0,-0,-6.10388,-0,-6.59415,-6.84465,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,4,1,1,2,4,4,8,7,10,11,8,6,11,11,13,14,13,9,8,7,3,4,8,3,4,4,5,3,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
-537.816,0.993021,0.0346822,6,63,0,542.947,-2.65012,-2.49394,-1.10138,-0.497935,2.66478,0.172872,-1.18511,4.80306,2.44637,6.26132e-05,8.48765e-05,0.000115069,0.000156024,0.000211598,0.00028704,0.000389505,0.000528759,0.000718138,0.000975849,0.00132667,0.00180409,0.00245262,0.00332984,0.00450714,0.00606787,0.00810208,0.010697,0.0139242,0.0178235,0.0223882,0.0275244,0.0330604,0.0387474,0.044272,0.0492808,0.0534197,0.0563853,0.0579755,0.0581194,0.0568766,0.0544128,0.0509663,0.0468125,0.0422315,0.0374817,0.0327808,0.028296,0.0241427,0.0203888,0.0170637,0.0141676,0.0116806,0.0095701,0.00779744,0.00632152,0.005102,0.00410105,0.0032843,0.00262135,0.00208574,0.00165483,0.00130947,0.00103363,0.000814022,0.000639673,0.000501623,0.000392579,0.000306636,0.00023904,0.000185975,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.0106,-5.70483,-5.40209,-5.10475,-4.81564,-9.07558,-21.3706,-4.02724,-18.9961,-14.3707,-30.6848,-26.0055,-34.2914,-21.0715,-29.2958,-25.8799,-28.4774,-48.3694,-14.3344,-37.845,-38.6957,-30.6161,-37.9751,-16.4195,-27.3433,-14.2601,-11.1713,-7.78554,-4.0708,-34.0544,-17.7993,-9.29822,-4.85396,-10.1276,-5.27812,-0,-0,-0,-6.17263,-0,-6.63813,-6.87467,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,2,3,3,5,3,6,6,13,9,9,12,17,10,19,12,9,7,7,3,9,4,2,5,1,3,6,2,1,1,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0
