# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 20:04:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c278738733.json
# init = /tmp/RtmpC8O1hA/init-b41c27d4bc9ba_2.json
# random
#   seed = 4952002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0481_rep049_accurate_weak/prior_sensitivity_obspair_FAST-202605312104-2-75966b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0481_rep049_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605312104-2-5363c9.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0549687
# Diagonal elements of inverse mass matrix:
# 0.113895, 0.0771777, 0.151103, 0.0268367, 0.161658, 0.26295, 0.215734
-527.349,0.998999,0.0549687,5,31,0,531.308,-1.88252,-2.27466,-1.34512,-0.490832,4.04133,1.21223,-0.477726,4.95268,2.27542,4.42202e-05,6.00981e-05,8.16989e-05,0.000111104,0.000151168,0.000205819,0.00028049,0.000382745,0.000523216,0.000717026,0.000986001,0.00136178,0.00188867,0.00262429,0.00363917,0.00501579,0.00684597,0.00922504,0.0122407,0.0159542,0.0203758,0.0254144,0.0308997,0.0366032,0.0422595,0.0475816,0.0522697,0.0560204,0.0585424,0.0596044,0.0591421,0.0572822,0.0542434,0.0502774,0.0456482,0.0406219,0.0354584,0.0303998,0.0256508,0.0213553,0.0175854,0.0143528,0.0116291,0.00936461,0.00750182,0.00598248,0.00475199,0.00376136,0.0029679,0.00233518,0.00183262,0.00143482,0.00112093,0.000873934,0.000680074,0.000528268,0.000409643,0.000317125,0.000245095,0.000189107,0.000145655,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.94294,-5.616,-0,-4.9841,-9.37167,-8.80598,-0,-11.6802,-22.0346,-31.2931,-26.461,-22.1475,-27.4078,-26.562,-40.3485,-36.894,-22.5602,-33.9337,-22.8781,-37.8856,-44.853,-40.1283,-22.4241,-16.697,-20.9599,-18.3159,-19.2323,-4.04068,-21.219,-13.3627,-4.67082,-19.5704,-5.11892,-0,-0,-0,-0,-0,-0,-6.7936,-0,-7.29331,-7.54591,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,2,1,3,1,4,8,5,4,12,11,1,6,9,18,14,10,10,8,11,6,8,3,2,4,8,5,7,2,1,1,1,1,0,1,1,1,2,0,1,1,0,0,0,0,0,1
-527.259,0.997966,0.0549687,6,63,0,529.493,-0.897925,-0.852959,-1.0762,-0.257665,3.56904,-0.746431,-0.79513,4.93243,2.47422,2.22576e-05,3.22781e-05,4.66811e-05,6.73049e-05,9.67191e-05,0.000138502,0.000197621,0.000280965,0.000398074,0.000562164,0.000791527,0.00111141,0.00155648,0.00217383,0.00302646,0.00419678,0.00578955,0.00793326,0.0107788,0.014494,0.0192543,0.024869,0.0310706,0.0375282,0.0438684,0.049703,0.0546618,0.0584272,0.060766,0.0615541,0.0607896,0.0585888,0.0551681,0.050812,0.0458366,0.0405527,0.035237,0.0301135,0.0253458,0.0210379,0.017242,0.0139687,0.0111985,0.00889232,0.0069998,0.0054664,0.00423792,0.00326359,0.00249779,0.00190078,0.00143879,0.00108369,0.000812441,0.000606427,0.000450789,0.00033379,0.000246241,0.000181009,0.0001326,9.68058e-05,7.04283e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.13126,-5.80036,-0,-5.1517,-9.67338,-9.06036,-0,-11.8501,-22.1648,-31.2434,-26.2613,-21.8859,-27.0152,-26.1593,-39.7596,-36.4094,-22.3027,-33.604,-22.6977,-37.6658,-44.6943,-40.0747,-22.4361,-16.7283,-21.0167,-18.3757,-19.3071,-4.06041,-21.3547,-13.4759,-4.72257,-19.8475,-5.20914,-0,-0,-0,-0,-0,-0,-7.11547,-0,-7.70451,-8.005,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,0,1,2,1,7,7,10,6,10,9,11,13,13,12,12,12,10,5,6,5,6,10,5,4,5,2,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-528.115,0.96129,0.0549687,6,63,0,530.935,-2.7334,-1.10524,-2.40715,-0.492227,3.26114,0.912246,-1.10156,4.90003,2.45784,3.23163e-05,4.39239e-05,5.97277e-05,8.12679e-05,0.000110669,0.000150881,0.000206027,0.000281939,0.000386972,0.000533309,0.00073904,0.0010313,0.00144996,0.00205003,0.00290207,0.00409224,0.00572249,0.00790985,0.0107834,0.0144779,0.0191241,0.0246126,0.0307753,0.0373808,0.0441299,0.0506481,0.0564726,0.0610535,0.0638213,0.0644096,0.0628814,0.0596301,0.0551458,0.0498907,0.0442615,0.038583,0.0331092,0.028024,0.0234417,0.0194142,0.0159445,0.0130021,0.0105383,0.00849644,0.00681847,0.00544942,0.00433923,0.00344374,0.00272481,0.00215002,0.00169219,0.00132873,0.00104106,0.000814023,0.000635278,0.000494878,0.000384829,0.000298732,0.000231488,0.000179047,0.000138202,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.1899,-5.84233,-0,-5.16335,-9.67929,-9.05949,-0,-11.8704,-22.227,-31.3294,-26.2928,-21.8443,-26.8457,-25.866,-39.1441,-35.7717,-21.9399,-33.1981,-22.5568,-37.6711,-44.9688,-40.5293,-22.7846,-17.0397,-21.4482,-18.7662,-19.7087,-4.13864,-21.7132,-13.6582,-4.76811,-19.9525,-5.21225,-0,-0,-0,-0,-0,-0,-6.86751,-0,-7.36145,-7.6112,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,1,3,6,5,5,15,10,9,11,15,10,6,14,10,10,9,8,13,3,4,4,4,1,3,5,1,2,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0
-526.032,0.996252,0.0549687,6,63,0,530.294,-1.88799,-0.654247,-1.61991,-0.575128,2.97784,-0.191743,-1.2451,5.2797,2.72704,2.28614e-05,3.04197e-05,4.05306e-05,5.40948e-05,7.23586e-05,9.70634e-05,0.000130673,0.000176719,0.000240333,0.000329064,0.000454131,0.000632292,0.000888534,0.00125978,0.00179967,0.00258437,0.00371895,0.0053439,0.00764072,0.0108356,0.0152002,0.020628,0.0269432,0.0338834,0.0410901,0.0481128,0.0544379,0.0595463,0.0629963,0.0645092,0.0640273,0.0617176,0.0579204,0.0530675,0.0476014,0.0419153,0.0363213,0.0310423,0.0262181,0.0219204,0.0181693,0.0149493,0.0122227,0.00993972,0.00804586,0.00648696,0.00521206,0.00417512,0.00333563,0.00265869,0.00211468,0.0016788,0.00133047,0.00105274,0.000831748,0.000656207,0.00051698,0.000406686,0.000319389,0.000250323,0.000195669,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.67682,-6.32015,-0,-5.59431,-10.4636,-9.74853,-0,-12.5593,-23.2866,-32.5262,-27.0786,-22.3439,-27.3079,-26.1963,-39.494,-35.9408,-21.9276,-32.9813,-22.2815,-37.0329,-44.0429,-39.5836,-22.2047,-16.5768,-20.8344,-18.2065,-19.1017,-4.00802,-21.0155,-13.2134,-4.61122,-19.2904,-5.03796,-0,-0,-0,-0,-0,-0,-6.62222,-0,-7.09198,-7.32903,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,2,2,4,7,7,7,11,14,12,14,11,16,15,11,4,6,7,5,9,4,2,3,8,2,4,1,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
-527.371,0.992083,0.0549687,5,63,0,528.869,-2.14802,-0.461289,-1.49091,-0.653757,2.65805,-0.190856,-1.4851,5.37114,2.87685,1.84394e-05,2.40534e-05,3.14293e-05,4.11554e-05,5.40408e-05,7.12131e-05,9.427e-05,0.000125517,0.00016835,0.000227877,0.000311934,0.000432752,0.000609621,0.000873028,0.00127076,0.00187628,0.00279939,0.00419838,0.00629231,0.0093711,0.0138008,0.0194897,0.0262537,0.0337895,0.041658,0.0492954,0.0560657,0.0613566,0.064698,0.0658598,0.0648887,0.0620697,0.0578377,0.0526782,0.0470465,0.0413207,0.0357826,0.0306203,0.0259423,0.0217956,0.0181833,0.0150799,0.0124437,0.0102245,0.00837036,0.00683082,0.00555908,0.00451315,0.00365612,0.00295614,0.00238602,0.00192281,0.00154726,0.00124338,0.000997899,0.000799879,0.000640331,0.000511884,0.000408504,0.000325264,0.000258143,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.04354,-6.66814,-0,-5.87836,-10.9461,-10.1369,-0,-12.8491,-23.6272,-32.7595,-27.1008,-22.2478,-27.0893,-25.9311,-39.0747,-35.5943,-21.7618,-32.821,-22.236,-37.0515,-44.1533,-39.736,-22.3047,-16.6515,-20.9166,-18.2594,-19.1302,-4.00725,-20.972,-13.1596,-4.58297,-19.1322,-4.98631,-0,-0,-0,-0,-0,-0,-6.47127,-0,-6.90986,-7.13105,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,4,2,2,5,5,10,15,11,15,14,14,12,13,6,11,7,9,5,7,6,6,1,0,5,3,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
-527.169,0.999579,0.0549687,6,63,0,528.881,-1.76528,-3.01646,-1.18293,-0.27817,4.32224,0.433551,-0.794679,4.98715,2.04849,2.04128e-05,2.98175e-05,4.3562e-05,6.36558e-05,9.30458e-05,0.000136059,0.000199052,0.000291357,0.000426612,0.00062448,0.000912581,0.00132818,0.00191918,0.00274412,0.00387097,0.00537417,0.00732915,0.00980397,0.012848,0.0164791,0.0206721,0.0253444,0.0303609,0.0355407,0.0406692,0.0455114,0.0498261,0.0533808,0.0559676,0.0574238,0.0576544,0.0566518,0.0544978,0.051346,0.0473966,0.0428743,0.0380116,0.0330346,0.0281504,0.0235349,0.0193227,0.0156001,0.0124051,0.0097334,0.00754896,0.0057967,0.00441335,0.00333565,0.00250526,0.00187133,0.00139112,0.00102978,0.000759425,0.000558161,0.000408985,0.000298846,0.000217811,0.000158375,0.000114903,8.31902e-05,6.01095e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.8983,-5.55425,-0,-4.9159,-9.24994,-8.70914,-0,-11.6369,-22.0512,-31.4514,-26.6966,-22.416,-27.8081,-26.9929,-41.0243,-37.4788,-22.8584,-34.2395,-22.9667,-37.8247,-44.5375,-39.6397,-22.0464,-16.3493,-20.4612,-17.851,-18.7463,-3.94648,-20.8024,-13.1689,-4.63219,-19.5454,-5.15047,-0,-0,-0,-0,-0,-0,-7.18295,-0,-7.80183,-8.11558,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2,1,2,3,3,5,4,11,9,9,8,12,10,12,10,10,12,13,9,5,8,7,8,5,4,3,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
