# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 20:22:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2432f2f40.json
# init = /tmp/RtmpC8O1hA/init-b41c24eadc81e_3.json
# random
#   seed = 4952004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0483_rep049_accurate_strong/prior_sensitivity_obspair_FAST-202605312122-3-2a3286.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0483_rep049_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605312122-3-40329e.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.152419
# Diagonal elements of inverse mass matrix:
# 0.066634, 0.0281226, 0.00756978, 0.00421351, 0.00912631, 0.00600169, 0.00671762
-528.316,0.995526,0.152419,5,31,0,533.008,-2.99207,-2.33687,-1.16869,-0.344054,3.34165,-0.045015,-0.898554,5.22783,2.31565,2.69533e-05,3.84283e-05,5.47922e-05,7.813e-05,0.000111415,0.000158886,0.000226571,0.000323019,0.000460282,0.000655176,0.000930806,0.0013182,0.00185777,0.00260014,0.00360586,0.00494345,0.00668545,0.00890212,0.0116531,0.0149775,0.0188841,0.0233254,0.0282018,0.0333587,0.03859,0.0436469,0.0482541,0.052133,0.0550318,0.0567595,0.0572141,0.0563956,0.0543989,0.0513939,0.0475992,0.0432561,0.0386061,0.0338722,0.0292451,0.0248745,0.0208659,0.0172823,0.0141496,0.0114643,0.00920154,0.00732323,0.00578433,0.00453786,0.00353831,0.00274381,0.00211716,0.0016263,0.00124414,0.000948224,0.000720215,0.000545302,0.000411655,0.00030991,0.000232708,0.000174306,0.00013025,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.95219,-5.6252,-0,-5.00782,-9.44293,-8.90437,-0,-11.9083,-22.5493,-32.1153,-27.2035,-22.7833,-28.1846,-27.2815,-41.3554,-37.698,-22.9515,-34.3314,-23.0029,-37.8484,-44.5235,-39.5842,-21.9843,-16.2717,-20.311,-17.6602,-18.4696,-3.86964,-20.2904,-12.7742,-4.46852,-18.7535,-4.9167,-0,-0,-0,-0,-0,-0,-6.68931,-0,-7.23596,-7.51417,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,5,3,4,12,5,5,3,9,7,17,10,9,11,12,13,12,10,7,7,6,6,3,2,3,2,0,2,3,0,1,0,1,1,0,1,0,0,0,0,0,1,0
-529.624,0.989843,0.152419,5,31,0,531.783,-2.40345,-1.67697,-1.34293,-0.168134,3.48034,0.0257578,-0.877934,4.87486,2.07901,8.65362e-06,1.32081e-05,2.01612e-05,3.07771e-05,4.69867e-05,7.17361e-05,0.000109513,0.000167126,0.000254835,0.000387903,0.00058861,0.000888589,0.00133118,0.00197332,0.00288637,0.00415527,0.00587542,0.00814674,0.0110648,0.0147095,0.0191321,0.0242888,0.0300653,0.0362689,0.0426278,0.0487992,0.0543879,0.0589799,0.0621921,0.0637376,0.0634866,0.0614978,0.0579997,0.0533335,0.0478866,0.0420391,0.0361282,0.030429,0.0251462,0.0204132,0.0162986,0.0128162,0.00993865,0.00761101,0.00576327,0.00432054,0.00321022,0.00236643,0.00173219,0.00126002,0.000911444,0.000655996,0.000470011,0.00033538,0.000238423,0.00016892,0.000119303,8.40161e-05,5.90062e-05,4.13354e-05,2.88859e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.22804,-5.84776,-0,-5.13698,-9.62028,-9.00797,-0,-11.8692,-22.3064,-31.5395,-26.5344,-22.0867,-27.1804,-26.2045,-39.6278,-36.1079,-22.0238,-33.0831,-22.31,-37.0151,-43.9679,-39.5059,-22.1841,-16.6034,-20.9542,-18.4152,-19.4579,-4.11668,-21.7852,-13.834,-4.87816,-20.625,-5.44437,-0,-0,-0,-0,-0,-0,-7.66275,-0,-8.34146,-8.68609,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,4,2,1,5,4,9,6,7,10,11,15,11,18,13,13,5,10,6,9,5,8,3,5,4,2,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-528.84,0.997365,0.152419,4,31,0,531.85,-3.19167,-1.54538,-1.21995,-0.462436,3.39065,-0.057589,-0.838906,5.54783,2.53067,3.00956e-05,4.12824e-05,5.66498e-05,7.77782e-05,0.000106858,0.000146937,0.000202263,0.00027878,0.00038482,0.000532052,0.000736758,0.00102142,0.00141654,0.00196249,0.00271097,0.00372563,0.00508137,0.0068617,0.00915384,0.0120415,0.0155954,0.0198197,0.0246653,0.030017,0.0356851,0.0414043,0.0468445,0.0516381,0.0554255,0.0579136,0.0589297,0.0584483,0.0565843,0.0535568,0.049645,0.0451451,0.0403393,0.0354733,0.030745,0.0263,0.0222346,0.0186008,0.0154159,0.0126703,0.0103371,0.00837836,0.00675125,0.00541185,0.00431797,0.00343075,0.0027155,0.00214195,0.00168422,0.00132048,0.00103251,0.000805329,0.00062665,0.000486517,0.000376893,0.000291336,0.000224703,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.23354,-5.91045,-0,-5.28217,-9.9636,-9.38716,-0,-12.4823,-23.5265,-33.3212,-28.0479,-23.3312,-28.6593,-27.5483,-41.4889,-37.6053,-22.7904,-33.9769,-22.7169,-37.3363,-43.9052,-39.0372,-21.6851,-16.0521,-20.0338,-17.4101,-18.1909,-3.80611,-19.9227,-12.5171,-4.36849,-18.2881,-4.7821,-0,-0,-0,-0,-0,-0,-6.38645,-0,-6.87576,-7.12426,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,1,3,1,5,10,3,4,13,7,12,7,8,13,11,6,15,8,14,4,8,6,7,3,6,4,3,4,3,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0
-528.128,0.992957,0.152419,5,31,0,532.601,-2.07718,-1.95465,-1.3911,-0.446813,3.668,0.364752,-0.97181,5.05942,2.33636,3.72682e-05,5.13604e-05,7.08049e-05,9.76557e-05,0.000134773,0.000186154,0.000257413,0.000356474,0.000494573,0.000687678,0.000958368,0.00133803,0.00186893,0.00260542,0.00361389,0.00497102,0.00675984,0.00906314,0.011954,0.0154839,0.0196702,0.0244503,0.0297,0.0352326,0.0408055,0.0461314,0.0508955,0.0547784,0.0574918,0.058828,0.0587068,0.05719,0.0544536,0.0507431,0.0463336,0.0415032,0.0365122,0.0315877,0.0269114,0.0226132,0.018771,0.0154168,0.012546,0.0101293,0.00812246,0.0064749,0.00513502,0.00405402,0.00318778,0.00249765,0.00195062,0.00151893,0.00117962,0.00091384,0.000706325,0.000544763,0.000419304,0.000322112,0.000246981,0.000189019,0.000144385,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.95016,-5.62297,-0,-4.99676,-9.40708,-8.85338,-0,-11.786,-22.2667,-31.6495,-26.7663,-22.3926,-27.6863,-26.8018,-40.6624,-37.1295,-22.6651,-34.0224,-22.891,-37.8353,-44.7147,-39.9345,-22.2739,-16.5505,-20.7299,-18.076,-18.9461,-3.97544,-20.8615,-13.1351,-4.59233,-19.2525,-5.03982,-0,-0,-0,-0,-0,-0,-6.74257,-0,-7.25544,-7.51516,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,2,1,3,1,4,7,9,8,10,3,13,14,15,10,9,11,8,8,6,15,5,10,5,5,3,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-525.791,0.997651,0.152419,4,15,0,529.016,-2.17724,-1.6919,-1.23962,-0.438694,3.65294,0.0061036,-1.0276,5.29165,2.41558,3.12602e-05,4.32104e-05,5.97558e-05,8.26858e-05,0.000114504,0.000158723,0.000220293,0.000306206,0.000426353,0.0005947,0.000830809,0.00116166,0.00162355,0.00226369,0.00314104,0.00432574,0.00589677,0.00793734,0.0105278,0.0137364,0.0176088,0.0221171,0.0271754,0.0326327,0.0382708,0.0438105,0.0489279,0.0532815,0.0565532,0.058497,0.0589833,0.0580199,0.0557422,0.0523785,0.0482076,0.0435204,0.0385914,0.0336592,0.0289151,0.0244987,0.0204997,0.0169631,0.0138983,0.0112881,0.00909792,0.00728331,0.00579612,0.00458852,0.00361574,0.00283748,0.00221854,0.00172886,0.00134321,0.00104072,0.000804315,0.00062015,0.000477099,0.000366276,0.000280623,0.000214568,0.000163727,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.09076,-5.7632,-0,-5.13335,-9.67235,-9.10747,-0,-12.1181,-22.8684,-32.449,-27.3795,-22.8415,-28.1509,-27.1567,-41.0503,-37.3435,-22.7102,-33.966,-22.7758,-37.5312,-44.2389,-39.4191,-21.9417,-16.2736,-20.3488,-17.717,-18.5457,-3.88735,-20.3836,-12.828,-4.484,-18.7988,-4.92217,-0,-0,-0,-0,-0,-0,-6.61269,-0,-7.12552,-7.38555,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,3,5,3,8,12,6,5,13,9,11,12,8,9,12,10,15,9,10,6,4,5,0,6,2,1,3,2,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0
-526.281,0.999633,0.152419,5,31,0,527.053,-2.80928,-1.59093,-1.3665,-0.466024,3.35008,0.0748078,-1.09709,5.35591,2.49295,3.34345e-05,4.58107e-05,6.2794e-05,8.61211e-05,0.0001182,0.000162381,0.000223346,0.000307667,0.000424591,0.000587149,0.000813621,0.00112936,0.00156879,0.00217721,0.00301195,0.0041423,0.00564777,0.00761414,0.0101272,0.0132638,0.0170819,0.0215615,0.0266245,0.0321256,0.0378478,0.0435054,0.0487585,0.0532418,0.0566118,0.0586059,0.0590941,0.0580989,0.0557765,0.0523741,0.048183,0.0435001,0.0385999,0.0337164,0.0290332,0.0246815,0.0207429,0.0172565,0.0142277,0.0116382,0.00945384,0.00763244,0.00612853,0.00489721,0.00389639,0.00308807,0.00243885,0.00191996,0.00150705,0.00117975,0.000921228,0.000717671,0.000557854,0.000432706,0.000334938,0.000258725,0.000199432,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.12971,-5.80517,-0,-5.17649,-9.7555,-9.18507,-0,-12.2092,-23.0211,-32.6333,-27.5048,-22.9193,-28.2138,-27.1879,-41.0608,-37.33,-22.6954,-33.9435,-22.7649,-37.5232,-44.2401,-39.4257,-21.9449,-16.2725,-20.3386,-17.6966,-18.5085,-3.87555,-20.2978,-12.7577,-4.45347,-18.6453,-4.87535,-0,-0,-0,-0,-0,-0,-6.4976,-0,-6.9898,-7.2395,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,4,4,5,1,6,2,3,11,9,9,13,13,7,15,18,5,15,3,6,9,6,8,8,3,3,4,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
