# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 20:58:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25ba0a7c0.json
# init = /tmp/RtmpC8O1hA/init-b41c2ee6be38_3.json
# random
#   seed = 4952009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0488_rep049_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605312158-3-81ae91.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0488_rep049_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605312158-3-1a4912.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.140691
# Diagonal elements of inverse mass matrix:
# 0.0684555, 0.0735061, 0.0280421, 0.0129866, 0.0222031, 0.046846, 0.0611286
-527.393,0.974771,0.140691,4,15,0,529.948,-1.9985,-1.74982,-0.723552,-0.511555,3.85602,0.288491,-0.331692,5.09832,2.30034,2.36955e-05,3.20249e-05,4.33044e-05,5.85968e-05,7.93636e-05,0.000107626,0.000146202,0.000199064,0.000271878,0.000372854,0.000514074,0.000713534,0.000998181,0.00140805,0.00200135,0.00285974,0.00409243,0.00583681,0.00825262,0.011507,0.0157494,0.021033,0.0272995,0.0343477,0.0418225,0.0492278,0.05597,0.0614343,0.0650935,0.0666247,0.0659787,0.0633621,0.0591567,0.0538275,0.0478489,0.0416519,0.0355898,0.0299215,0.02481,0.0203337,0.016505,0.0132913,0.010634,0.00846249,0.00670457,0.00529204,0.00416388,0.00326726,0.00255758,0.0019978,0.00155756,0.00121224,0.000941984,0.000730898,0.000566323,0.000438215,0.000338636,0.000261327,0.000201374,0.000154923,0.000118962,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.56555,-6.21393,-0,-5.49862,-10.2871,-9.59445,-0,-12.4529,-23.17,-32.408,-26.9698,-22.2202,-27.1017,-25.9464,-39.057,-35.5151,-21.6694,-32.6211,-22.0711,-36.7584,-43.8296,-39.5162,-22.2489,-16.6785,-21.0551,-18.4825,-19.4774,-4.10409,-21.6032,-13.6311,-4.77211,-20.0199,-5.24155,-0,-0,-0,-0,-0,-0,-6.96752,-0,-7.47635,-7.7328,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,1,2,4,7,5,6,6,8,12,13,14,11,11,15,9,11,19,7,7,4,2,4,3,3,4,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
-529.248,0.972907,0.140691,5,31,0,532.541,-0.752929,-1.82754,-0.945761,-0.792862,4.83644,0.996825,-0.108087,5.49768,2.65544,7.82785e-05,9.85859e-05,0.000124307,0.000156974,0.00019861,0.000251928,0.00032063,0.000409894,0.000527199,0.000683721,0.000896548,0.00119133,0.00160446,0.00218477,0.00299447,0.00410901,0.00561482,0.00760451,0.0101689,0.0133855,0.0173049,0.0218161,0.0267794,0.0320186,0.0373291,0.0424845,0.0472412,0.0513408,0.054515,0.0564993,0.0570864,0.0562392,0.054131,0.051033,0.0472216,0.0429498,0.0384415,0.0338922,0.0294681,0.0253039,0.0214986,0.0181098,0.015155,0.0126195,0.0104689,0.00865973,0.00714691,0.00588747,0.0048425,0.00397777,0.00326369,0.00267503,0.0021904,0.00179184,0.00146432,0.0011953,0.000974389,0.000792971,0.000643934,0.000521415,0.000420593,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.12625,-5.81099,-0,-5.18235,-9.75803,-9.17684,-0,-12.1703,-22.9506,-32.5811,-27.5315,-23.0159,-28.4275,-27.4724,-41.5698,-37.8206,-22.9882,-34.3583,-23.0251,-37.9125,-44.6292,-39.6877,-22.0341,-16.2931,-20.3074,-17.6222,-18.384,-3.83977,-20.0565,-12.5683,-4.37251,-18.2374,-4.74907,-0,-0,-0,-0,-0,-0,-6.12367,-0,-6.52637,-6.72936,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,1,2,4,7,6,3,9,6,10,16,8,10,10,10,14,14,5,11,4,14,5,4,3,6,2,2,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
-527.904,0.991976,0.140691,4,15,0,532.681,-0.520282,-1.18229,-0.876762,-0.810577,4.8777,0.681128,-0.39936,5.49452,2.68382,1.91642e-05,2.41498e-05,3.05046e-05,3.86491e-05,4.91618e-05,6.28585e-05,8.09251e-05,0.000105155,0.000138387,0.000185351,0.000254252,0.000359459,0.000525374,0.000791199,0.00121613,0.00188424,0.00290781,0.00442757,0.00660848,0.00963038,0.0136739,0.0186565,0.0244567,0.0308997,0.0377475,0.0446931,0.0513562,0.0572847,0.0619703,0.0649017,0.0656932,0.0642681,0.0609208,0.0561655,0.0505507,0.0445598,0.0385777,0.0328864,0.0276725,0.0230393,0.0190227,0.0156079,0.0127479,0.0103783,0.00843005,0.0068366,0.00553802,0.00448236,0.00362566,0.00293127,0.00236894,0.00191384,0.00154565,0.0012478,0.00100678,0.000811571,0.000653217,0.000524421,0.000419252,0.000332913,0.000261535,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.14196,-6.71208,-0,-5.84035,-10.8398,-10.0388,-0,-12.8768,-23.8894,-33.3976,-27.8161,-22.9379,-27.9714,-26.7207,-40.0361,-36.1543,-21.8791,-32.6731,-21.9575,-36.3763,-43.1918,-38.8021,-21.7765,-16.2754,-20.4882,-17.9366,-18.8528,-3.96212,-20.7999,-13.0872,-4.56804,-19.1038,-4.98546,-0,-0,-0,-0,-0,-0,-6.47231,-0,-6.901,-7.11654,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,4,4,8,6,6,7,17,12,13,11,10,11,13,8,8,11,3,7,5,6,3,2,7,3,2,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0
-527.544,0.977623,0.140691,5,31,0,530.884,-1.50698,-2.29756,-0.412739,-0.645049,4.25929,0.482916,-0.789633,5.1112,2.25745,2.45781e-05,3.20461e-05,4.18216e-05,5.46454e-05,7.15154e-05,9.37918e-05,0.000123355,0.000162853,0.000216102,0.000288771,0.00038957,0.00053234,0.000739576,0.0010478,0.00151464,0.00222682,0.00330676,0.00491441,0.0072391,0.0104767,0.0147907,0.020257,0.0268159,0.0342393,0.0421266,0.0499358,0.0570441,0.0628302,0.0667678,0.0685155,0.0679773,0.0653068,0.0608607,0.0551264,0.0486429,0.0419256,0.035406,0.029394,0.0240704,0.0195025,0.0156757,0.0125256,0.00996525,0.00790294,0.00625246,0.00493768,0.00389383,0.00306717,0.00241376,0.00189805,0.00149152,0.00117136,0.000919412,0.000721268,0.000565506,0.000443084,0.000346863,0.000271208,0.00021169,0.000164832,0.000127918,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.86107,-6.49258,-0,-5.71179,-10.6312,-9.85652,-0,-12.6413,-23.3955,-32.5688,-26.9951,-22.1695,-26.9732,-25.7754,-38.7425,-35.1849,-21.4456,-32.263,-21.8293,-36.3892,-43.4719,-39.3022,-22.203,-16.7044,-21.1618,-18.6339,-19.6861,-4.15564,-21.8999,-13.826,-4.84052,-20.2991,-5.31086,-0,-0,-0,-0,-0,-0,-6.99178,-0,-7.47779,-7.72175,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,2,7,3,6,9,8,7,16,10,17,11,15,15,10,10,6,9,3,6,6,8,4,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
-528.924,1,0.140691,5,31,0,531.162,-0.676142,-1.27708,-1.3079,-0.874324,4.41123,0.828857,-0.207404,5.27487,2.87533,0.000103389,0.000128125,0.000159009,0.000197698,0.00024637,0.000307934,0.00038635,0.000487142,0.000618238,0.000791364,0.00102423,0.00134335,0.00178649,0.0024043,0.00326144,0.0044377,0.00602857,0.00814482,0.0109117,0.0144696,0.0189828,0.0241321,0.0296736,0.0353752,0.0409977,0.046286,0.0509613,0.0547168,0.0572286,0.0582122,0.0575549,0.0554223,0.0521683,0.0481704,0.0437519,0.0391695,0.034621,0.0302557,0.0261814,0.0224681,0.0191517,0.0162381,0.013711,0.0115401,0.00968862,0.00811788,0.00679067,0.00567271,0.00473331,0.00394549,0.00328582,0.00273417,0.00227331,0.00188856,0.00156749,0.00129962,0.00107607,0.000889388,0.000733289,0.000602469,0.000492428,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.0305,-5.72559,-0,-5.11125,-9.62075,-9.03584,-0,-11.8927,-22.3453,-31.6575,-26.734,-22.3597,-27.6562,-26.7902,-40.6782,-37.1891,-22.7493,-34.2602,-23.1422,-38.3926,-45.4952,-40.6798,-22.679,-16.8165,-20.9884,-18.2135,-18.9783,-3.95536,-20.602,-12.8687,-4.46193,-18.5472,-4.81369,-0,-0,-0,-0,-0,-0,-6.08652,-0,-6.45828,-6.64568,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,5,5,5,8,6,7,6,10,8,11,10,13,10,10,11,12,8,8,7,5,3,4,5,3,2,2,3,1,1,0,2,0,2,0,0,1,0,1,0,0,0,0,0
-527.713,0.999626,0.140691,5,31,0,531.597,-1.74004,-1.74425,-1.05627,-0.659165,4.26281,1.17684,-0.173854,5.3159,2.50558,5.05622e-05,6.56194e-05,8.52127e-05,0.000110745,0.000144079,0.000187706,0.000244996,0.000320563,0.000420846,0.000555047,0.00073672,0.000986295,0.00133418,0.00182359,0.00251338,0.00348084,0.00482353,0.00665862,0.00911708,0.0123299,0.0164053,0.0213086,0.0269166,0.0330238,0.0393573,0.0455883,0.0513404,0.0561968,0.0597167,0.0615059,0.0614154,0.0596382,0.0565136,0.052391,0.0475981,0.042435,0.0371723,0.0320468,0.02725,0.0229126,0.0190978,0.0158114,0.0130219,0.0106797,0.00872878,0.00711371,0.0057832,0.00469148,0.00379864,0.00307052,0.00247816,0.00199726,0.00160758,0.00129232,0.00103763,0.000832147,0.000666531,0.000533177,0.00042588,0.0003396,0.000270247,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.30695,-5.98613,-0,-5.33425,-10.0237,-9.39521,-0,-12.3304,-23.0919,-32.5351,-27.2842,-22.6455,-27.7929,-26.7235,-40.3045,-36.6359,-22.309,-33.4811,-22.5557,-37.3526,-44.2353,-39.5845,-22.1185,-16.461,-20.6433,-18.0135,-18.8803,-3.95818,-20.7351,-13.0234,-4.53941,-18.9645,-4.94573,-0,-0,-0,-0,-0,-0,-6.43303,-0,-6.87081,-7.0915,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,1,1,5,3,9,3,5,10,10,5,10,13,14,15,11,12,14,7,7,6,3,8,6,1,3,4,1,3,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0
-527.81,0.999745,0.140691,4,31,0,529.102,-2.17809,-2.07906,-0.914189,-0.507595,4.02675,1.1069,-0.162227,5.10835,2.25063,2.90531e-05,3.92896e-05,5.31491e-05,7.19275e-05,9.7396e-05,0.000131985,0.000179049,0.000243254,0.000331162,0.000452144,0.000619855,0.00085462,0.00118684,0.00166076,0.00233822,0.00330251,0.00466121,0.00654592,0.00910478,0.0124824,0.0167854,0.022006,0.0280203,0.0345946,0.0414065,0.0480663,0.0541343,0.0591386,0.0626125,0.0642033,0.0638407,0.0617149,0.0581312,0.0534373,0.0479965,0.0421712,0.0363041,0.0306925,0.0255572,0.0210238,0.0171298,0.0138518,0.0111328,0.00890241,0.00708856,0.00562359,0.00444707,0.00350671,0.00275816,0.0021644,0.0016949,0.00132468,0.00103348,0.000804951,0.000625962,0.000486035,0.000376828,0.000291727,0.000225502,0.000174032,0.000134075,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.40048,-6.05836,-0,-5.36848,-10.0578,-9.39791,-0,-12.2617,-22.8986,-32.1734,-26.9125,-22.2902,-27.3166,-26.2466,-39.5902,-36.0203,-21.9656,-33.0164,-22.2818,-36.9857,-43.9387,-39.4761,-22.1621,-16.5791,-20.9024,-18.3342,-19.3105,-4.06694,-21.3967,-13.4936,-4.72143,-19.7971,-5.18079,-0,-0,-0,-0,-0,-0,-6.87482,-0,-7.37622,-7.62923,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,2,4,2,6,10,7,5,11,13,13,16,12,10,13,8,11,9,7,6,5,6,5,4,3,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-527.213,0.999989,0.140691,5,31,0,528.458,-2.10491,-2.10275,-1.05553,-0.525105,4.17595,1.09182,-0.2849,5.22265,2.30832,3.50415e-05,4.71483e-05,6.34604e-05,8.5457e-05,0.000115153,0.000155306,0.000209714,0.000283658,0.000384565,0.000523064,0.000714665,0.000982303,0.00135936,0.00189228,0.00264298,0.00369076,0.00513302,0.00708263,0.00965929,0.0129713,0.0170879,0.0219806,0.0275285,0.0335264,0.0397033,0.0457398,0.0512816,0.0559525,0.0593754,0.0612303,0.0613788,0.059918,0.0570783,0.0531413,0.0484075,0.0431821,0.0377621,0.0324213,0.0273886,0.0228256,0.0188161,0.0153766,0.0124783,0.0100686,0.00808542,0.00646647,0.00515344,0.00409428,0.00324382,0.00256363,0.0020215,0.00159073,0.00124937,0.000979525,0.000766677,0.000599123,0.000467461,0.000364174,0.000283268,0.000219979,0.000170535,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.26997,-5.93585,-0,-5.27206,-9.90022,-9.27967,-0,-12.2082,-22.9056,-32.3328,-27.1634,-22.5843,-27.7631,-26.7338,-40.3655,-36.7104,-22.3449,-33.4883,-22.5182,-37.2233,-44.022,-39.3653,-21.9963,-16.3822,-20.5736,-17.9881,-18.8994,-3.97304,-20.8745,-13.1513,-4.59834,-19.2708,-5.04112,-0,-0,-0,-0,-0,-0,-6.68511,-0,-7.17344,-7.42004,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,4,6,6,4,6,10,12,8,15,12,14,14,18,9,10,11,6,6,3,5,3,4,1,2,1,0,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0
