# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 21:03:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2479efbdb.json
# init = /tmp/RtmpC8O1hA/init-b41c21456186f_2.json
# random
#   seed = 4952010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0489_rep049_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605312203-2-158e4a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0489_rep049_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605312203-2-897472.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.212766
# Diagonal elements of inverse mass matrix:
# 0.0736458, 0.0208047, 0.00720817, 0.00423722, 0.00614273, 0.0078989, 0.00951547
-532.775,0.99266,0.212766,4,31,0,537.13,-0.587662,-1.05539,-0.768707,-1.048,4.37767,0.97025,-0.581319,5.63018,3.04415,1.47491e-05,1.78603e-05,2.17002e-05,2.64748e-05,3.24654e-05,4.0067e-05,4.98507e-05,6.26734e-05,7.9881e-05,0.000103713,0.000138165,0.000190891,0.000277021,0.000425415,0.000687008,0.00114442,0.00192095,0.003186,0.00515334,0.00806895,0.0121864,0.0175127,0.0239539,0.0312989,0.0392092,0.0472163,0.0547256,0.0610364,0.0654082,0.0672533,0.0664557,0.0634217,0.058788,0.0531963,0.0471996,0.0412288,0.0355849,0.0304486,0.0259,0.0219468,0.0185524,0.0156592,0.0132043,0.0111269,0.0093721,0.0078914,0.00664297,0.00559097,0.00470485,0.00395866,0.00333043,0.00280157,0.00235631,0.00198126,0.00166498,0.00139759,0.00117055,0.000976442,0.000808868,0.000662453,0.00053285,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.76245,-7.28316,-0,-6.25494,-11.498,-10.5362,-0,-13.2223,-24.269,-33.5846,-27.7134,-22.6719,-27.4771,-26.1488,-39.148,-35.4524,-21.5943,-32.5346,-22.0636,-36.8396,-44.0065,-39.6938,-22.3203,-16.6792,-20.9503,-18.2676,-19.0957,-3.98716,-20.7835,-12.9816,-4.49839,-18.6801,-4.84198,-0,-0,-0,-0,-0,-0,-6.05066,-0,-6.39794,-6.57301,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,5,11,8,9,9,11,9,7,17,14,15,17,8,13,6,3,8,6,1,4,1,2,4,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1
-530.02,1,0.212766,4,15,0,536.564,-0.723513,-2.285,-0.823247,-0.818714,4.30491,0.849706,-0.839442,5.10691,2.5971,0.000123255,0.0001543,0.000193368,0.00024265,0.000305005,0.000384206,0.000485304,0.000615176,0.000783388,0.00100357,0.00129563,0.00168885,0.00222531,0.00296185,0.00396991,0.00533306,0.007142,0.00948621,0.0124418,0.016055,0.0203242,0.025167,0.0304274,0.0358831,0.0412628,0.0462688,0.0506007,0.0539799,0.0561764,0.0570434,0.0565524,0.0547968,0.0519582,0.0482709,0.0439944,0.039392,0.03471,0.0301592,0.0259001,0.0220347,0.0186102,0.0156306,0.0130722,0.0108964,0.00905888,0.00751521,0.00622359,0.00514625,0.00424991,0.0035057,0.00288883,0.00237824,0.00195608,0.00160733,0.00131938,0.0010817,0.000885529,0.000723617,0.000589965,0.000479639,0.000388592,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.82194,-5.52901,-0,-4.94176,-9.31583,-8.77339,-0,-11.6878,-22.0933,-31.4317,-26.6199,-22.3146,-27.6596,-26.8541,-40.868,-37.4304,-22.9115,-34.4711,-23.233,-38.4451,-45.4639,-40.608,-22.6394,-16.8036,-21.0076,-18.2675,-19.0757,-3.98405,-20.7926,-13.0118,-4.51932,-18.816,-4.89083,-0,-0,-0,-0,-0,-0,-6.23681,-0,-6.6306,-6.82923,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,3,5,1,4,8,7,10,7,6,7,12,11,10,9,7,15,7,10,9,4,7,5,7,4,6,3,1,0,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1
-529.275,0.988028,0.212766,4,31,0,535.149,-0.237016,-2.06494,-0.804885,-0.79055,4.80048,0.573469,-0.705969,5.35743,2.65411,6.87882e-05,8.68744e-05,0.000109911,0.000139372,0.000177249,0.00022628,0.000290318,0.00037493,0.000488403,0.000643404,0.000859486,0.00116622,0.00160593,0.00223496,0.00312271,0.00434862,0.0059972,0.0081511,0.0108822,0.0142404,0.0182415,0.0228211,0.0278595,0.0331804,0.0385576,0.0437291,0.048415,0.0523386,0.0552494,0.0569501,0.0573278,0.0563821,0.0542247,0.0510507,0.047102,0.0426395,0.0379198,0.0331773,0.0286079,0.0243589,0.0205242,0.0171479,0.0142332,0.0117549,0.00967151,0.00793459,0.00649532,0.00530801,0.00433179,0.00353112,0.00287567,0.00233985,0.00190228,0.00154515,0.00125375,0.00101594,0.000821814,0.000663243,0.000533644,0.000427679,0.000341039,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.10353,-5.76905,-0,-5.11646,-9.6192,-9.04126,-0,-12.0122,-22.6804,-32.2252,-27.2464,-22.7892,-28.1677,-27.2515,-41.3003,-37.6467,-22.9246,-34.3076,-23.0048,-37.89,-44.624,-39.7207,-22.0848,-16.3614,-20.4353,-17.7704,-18.5743,-3.88615,-20.3294,-12.7565,-4.44348,-18.5543,-4.83652,-0,-0,-0,-0,-0,-0,-6.2647,-0,-6.68162,-6.89194,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,3,3,4,5,5,5,8,11,5,12,11,10,15,16,10,8,11,12,8,6,3,5,2,3,3,1,4,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
-531.526,0.994079,0.212766,4,15,0,534.8,0.763029,-1.83783,-0.566889,-0.876492,4.63368,0.760653,-0.590341,5.41342,2.75137,2.98843e-05,3.71849e-05,4.63888e-05,5.80612e-05,7.29763e-05,9.22223e-05,0.000117375,0.00015081,0.000196279,0.000260047,0.00035315,0.000495462,0.000721244,0.00108382,0.00165701,0.00253326,0.00381987,0.00563427,0.00809779,0.0113255,0.0154099,0.0203288,0.0260136,0.0323053,0.0389413,0.045562,0.0517365,0.0570015,0.060911,0.0631038,0.0633914,0.0618163,0.0586193,0.054164,0.0488706,0.0431618,0.0374172,0.0319385,0.0269307,0.0225019,0.0186804,0.0154395,0.0127229,0.0104633,0.00859293,0.00704993,0.00577981,0.0047359,0.00387885,0.00317576,0.00259927,0.00212671,0.00173928,0.0014214,0.00116014,0.000944829,0.000766747,0.000618879,0.000495667,0.00039278,0.000306882,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.82726,-6.40274,-0,-5.56754,-10.3578,-9.63233,-0,-12.5182,-23.3743,-32.8422,-27.4602,-22.7199,-27.7981,-26.6543,-40.1055,-36.3784,-22.1038,-33.1011,-22.2687,-36.877,-43.7361,-39.2415,-21.9996,-16.4281,-20.6637,-18.0724,-18.9708,-3.98028,-20.8541,-13.093,-4.55989,-19.0273,-4.95474,-0,-0,-0,-0,-0,-0,-6.35428,-0,-6.75921,-6.96451,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,4,6,9,6,13,9,8,17,14,17,12,14,9,10,9,6,6,3,5,1,2,2,0,5,3,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0
-532.047,0.997219,0.212766,4,15,0,534.357,0.86039,-2.08757,-0.554716,-0.823876,4.56403,0.636483,-0.408868,5.25836,2.66844,6.12519e-05,7.67935e-05,9.64471e-05,0.000121401,0.000153249,0.000194172,0.000247216,0.000316777,0.000409406,0.000535269,0.000710645,0.000961773,0.0013292,0.00187043,0.00265948,0.00378382,0.00534018,0.00742917,0.0101475,0.0135762,0.0177635,0.0226507,0.0281334,0.0340285,0.040073,0.0459384,0.0512563,0.0556518,0.0587841,0.0603979,0.0603795,0.0587843,0.0558112,0.0517518,0.0469448,0.0417365,0.0364463,0.0313383,0.0266041,0.0223579,0.0186457,0.0154618,0.0127688,0.0105131,0.00863667,0.00708334,0.00580192,0.00474747,0.00388142,0.00317111,0.00258915,0.00211269,0.00172273,0.00140352,0.00114203,0.000927545,0.000751307,0.000606228,0.000486617,0.000387928,0.000306551,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.28159,-5.92962,-0,-5.2325,-9.80468,-9.18105,-0,-12.0918,-22.7254,-32.1372,-27.0445,-22.5194,-27.7241,-26.7383,-40.441,-36.8405,-22.4544,-33.6853,-22.671,-37.5152,-44.4195,-39.7642,-22.2346,-16.5596,-20.7775,-18.1335,-19.0029,-3.98214,-20.8469,-13.0823,-4.55514,-19.007,-4.95001,-0,-0,-0,-0,-0,-0,-6.36385,-0,-6.77495,-6.98297,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4,3,3,5,3,8,5,12,11,13,9,8,11,7,10,12,10,12,7,5,5,7,7,4,0,2,2,0,3,0,3,0,0,1,0,1,1,1,0,0,0,1,0,0
-532.619,0.991133,0.212766,4,31,0,534.549,0.608791,-2.21468,-0.500218,-0.831079,4.57244,0.573677,-0.378983,5.32471,2.67205,6.562e-05,8.21015e-05,0.000102888,0.000129202,0.000162671,0.000205505,0.000260764,0.000332806,0.000428039,0.000556229,0.000732737,0.000981973,0.00134162,0.00186595,0.0026264,0.00370936,0.00521185,0.0072357,0.00987917,0.0132244,0.0173203,0.0221256,0.0275403,0.0333836,0.039394,0.0452439,0.0505671,0.0549928,0.0581874,0.0599031,0.0600263,0.0586001,0.0558037,0.0519112,0.0472487,0.0421552,0.0369471,0.031889,0.0271749,0.0229239,0.0191878,0.0159671,0.01323,0.0109274,0.00900425,0.00740632,0.00608352,0.00499148,0.00409178,0.00335168,0.00274358,0.00224434,0.00183466,0.00149846,0.00122239,0.000995428,0.000808536,0.000654367,0.000527003,0.000421709,0.000334717,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.28399,-5.94214,-0,-5.25682,-9.85746,-9.23465,-0,-12.1676,-22.8661,-32.3289,-27.1975,-22.639,-27.8612,-26.8601,-40.6077,-36.9731,-22.5202,-33.7557,-22.6962,-37.5169,-44.3733,-39.6803,-22.1648,-16.4913,-20.673,-18.0273,-18.8779,-3.95348,-20.6861,-12.9758,-4.51648,-18.8402,-4.90542,-0,-0,-0,-0,-0,-0,-6.3009,-0,-6.70695,-6.91234,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,6,3,4,4,7,6,12,10,15,12,12,20,7,9,12,13,9,4,8,6,3,1,0,0,1,1,2,2,1,0,2,0,1,0,0,0,0,0,0,1,0
