# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 21:36:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c23c87093f.json
# init = /tmp/RtmpC8O1hA/init-b41c2df32e17_1.json
# random
#   seed = 5052003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0492_rep050_accurate_moderate/prior_sensitivity_obspair_FAST-202605312236-1-6b3756.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0492_rep050_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605312236-1-9546c3.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0790725
# Diagonal elements of inverse mass matrix:
# 0.105368, 0.0953664, 0.0404673, 0.0318848, 0.0543375, 0.022668, 0.0581358
-524.445,0.994083,0.0790725,6,63,0,526.883,-1.091,-0.663708,-1.13041,-0.573954,2.63634,-0.137943,-1.32058,4.39511,2.46311,2.61442e-05,3.47798e-05,4.63229e-05,6.17936e-05,8.25997e-05,0.000110706,0.000148893,0.000201156,0.000273339,0.000374168,0.000516919,0.000722148,0.00102205,0.00146714,0.00213572,0.00314588,0.00466824,0.0069356,0.0102446,0.0149439,0.021407,0.0293603,0.0383175,0.047589,0.0563377,0.0636882,0.0688804,0.0714251,0.0712041,0.0684692,0.0637453,0.0576851,0.0509345,0.0440408,0.0374121,0.0313139,0.0258897,0.0211892,0.0171985,0.0138648,0.0111152,0.00887044,0.00705253,0.00558981,0.00441901,0.00348581,0.00274456,0.00215745,0.00169355,0.00132773,0.00103976,0.000813418,0.000635746,0.000496439,0.000387322,0.000301922,0.000235123,0.000182887,0.000142031,0.00011005,8.49769e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.94217,-13.743,-25.2207,-11.5321,-21.1687,-16.3092,-42.6321,-31.6403,-49.5676,-24.0785,-18.4737,-26.4221,-26.8137,-33.0343,-45.6441,-17.8633,-15.6132,-19.7146,-38.1006,-25.5774,-26.9799,-16.2517,-17.1136,-13.4983,-18.9001,-19.8175,-15.5604,-10.8437,-0,-5.89814,-0,-0,-0,-0,-7.11427,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,7,4,8,17,15,13,20,13,11,13,10,12,6,10,4,8,6,3,0,2,0,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
-524.361,0.99236,0.0790725,5,39,0,528.909,-1.55408,-2.25044,-1.11481,-0.146784,3.2132,0.0616806,-0.629538,4.22314,1.93321,1.07943e-05,1.6624e-05,2.56025e-05,3.94306e-05,6.07263e-05,9.35159e-05,0.00014398,0.00022157,0.000340648,0.000522776,0.000799724,0.00121695,0.00183691,0.00274103,0.00402896,0.00581396,0.00821355,0.0113355,0.01526,0.0200203,0.0255857,0.0317982,0.0384052,0.0450695,0.0513903,0.0569366,0.0612918,0.0641048,0.0651458,0.0643482,0.0618212,0.0578226,0.0527068,0.0468687,0.0406973,0.034541,0.0286846,0.0233361,0.0186239,0.0146027,0.0112672,0.0085691,0.00643407,0.00477666,0.00351115,0.00255855,0.00185022,0.00132904,0.000949048,0.00067416,0.000476665,0.000335624,0.00023543,0.000164588,0.000114708,7.97186e-05,5.52583e-05,3.82108e-05,2.63628e-05,1.81496e-05,1.24693e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-8.95963,-12.5476,-23.4661,-10.9972,-20.6901,-16.2978,-43.3937,-32.6514,-51.5847,-25.129,-19.2306,-27.3113,-27.4345,-33.4021,-45.606,-17.6581,-15.302,-19.2096,-37.0217,-24.8598,-26.3043,-15.9332,-16.9062,-13.4576,-19.0384,-20.1846,-16.032,-11.3036,-0,-6.29245,-0,-0,-0,-0,-7.99952,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,3,3,5,7,5,5,9,12,6,14,13,11,17,12,12,7,4,11,10,6,2,6,6,1,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-525.238,0.994006,0.0790725,4,15,0,526.778,-2.6143,-1.85102,-1.24454,-0.446238,3.74971,0.160592,-0.596139,5.42584,2.41709,3.08113e-05,4.2475e-05,5.85756e-05,8.08194e-05,0.000111584,0.000154192,0.000213309,0.000295504,0.000410052,0.000570044,0.000793838,0.0011068,0.00154313,0.00214742,0.00297558,0.00409458,0.00558058,0.00751479,0.00997687,0.0130357,0.0167389,0.0210698,0.0259573,0.0312684,0.0368059,0.0423123,0.0474812,0.0519796,0.055483,0.057725,0.0585489,0.0579366,0.056001,0.0529493,0.0490417,0.044555,0.0397571,0.0348878,0.0301467,0.0256862,0.0216096,0.0179752,0.0148029,0.0120835,0.00978776,0.00787471,0.00629803,0.0050107,0.003968,0.00312928,0.00245865,0.00192524,0.00150294,0.00116997,0.00090841,0.000703618,0.000543755,0.000419303,0.00032266,0.000247781,0.000189886,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.78176,-13.8225,-26.0404,-12.2701,-23.1595,-18.2565,-48.5121,-36.3231,-56.9282,-27.4268,-20.6983,-28.9168,-28.5207,-34.0547,-45.5745,-17.2943,-14.6921,-18.0905,-34.2213,-22.5748,-23.4893,-14.0067,-14.6472,-11.5039,-16.0751,-16.8517,-13.2477,-9.25325,-0,-5.06752,-0,-0,-0,-0,-6.2527,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,2,5,3,6,5,8,9,14,17,10,9,11,14,16,11,3,10,12,7,7,3,1,2,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
-524.731,0.998054,0.0790725,4,31,0,530.096,-2.20809,-2.96112,-1.06414,-0.256115,2.95291,0.342316,-1.64373,4.32096,1.98439,1.72367e-05,2.5385e-05,3.73866e-05,5.50655e-05,8.11103e-05,0.000119486,0.000176042,0.000259409,0.000382309,0.000563468,0.000830274,0.0012223,0.00179533,0.00262496,0.00380805,0.00546025,0.00770824,0.0106754,0.014461,0.0191139,0.0246074,0.0308022,0.037452,0.0442138,0.0506734,0.0563814,0.0608996,0.063858,0.0650184,0.0643184,0.0618731,0.05794,0.0528711,0.0470656,0.0409252,0.0348132,0.0290231,0.0237603,0.0191408,0.0152031,0.0119282,0.00925961,0.00712194,0.00543387,0.00411679,0.00309963,0.00232095,0.00172935,0.00128286,0.000947841,0.00069777,0.000511971,0.000374503,0.000273176,0.000198747,0.000144246,0.000104452,7.54746e-05,5.44242e-05,3.9167e-05,2.8132e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.07962,-12.7089,-23.744,-11.1141,-20.881,-16.4235,-43.6621,-32.8059,-51.7611,-25.1868,-19.2577,-27.3308,-27.4391,-33.392,-45.5735,-17.6394,-15.2811,-19.1761,-36.9353,-24.7776,-26.1782,-15.8237,-16.745,-13.2866,-18.7284,-19.7783,-15.6453,-10.9854,-0,-6.06578,-0,-0,-0,-0,-7.57724,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,2,4,8,5,5,6,9,6,17,10,15,9,16,15,11,10,5,10,4,4,3,6,1,2,4,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-524.26,0.984196,0.0790725,6,63,0,529.616,-1.02138,-1.90223,-1.71833,-0.186627,3.69252,0.212998,-0.543609,4.28983,2.06377,1.78189e-05,2.69939e-05,4.09012e-05,6.19893e-05,9.39788e-05,0.000142522,0.000216189,0.000327893,0.000496847,0.000750951,0.00112917,0.00168312,0.00247702,0.00358576,0.00509112,0.0070764,0.00961966,0.0127857,0.0166176,0.0211288,0.0262976,0.0319095,0.0377154,0.0434389,0.0487871,0.0534648,0.0571901,0.0597146,0.0608484,0.0604932,0.0586729,0.0555454,0.0513753,0.0464803,0.0411778,0.0357519,0.0304398,0.0254273,0.0208494,0.016792,0.0132956,0.0103607,0.00795654,0.00603039,0.00451752,0.00334975,0.00246185,0.00179538,0.0013006,0.000936694,0.000671176,0.000478769,0.000340164,0.00024083,0.00016996,0.0001196,8.39404e-05,5.87702e-05,4.10544e-05,2.86175e-05,1.99067e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-8.71886,-12.2919,-23.1427,-10.9148,-20.6691,-16.3884,-43.9096,-33.2232,-52.7172,-25.7524,-19.7273,-27.9937,-28.0523,-34.0293,-46.2489,-17.8116,-15.3436,-19.1391,-36.6427,-24.444,-25.7035,-15.4817,-16.3474,-12.961,-18.2789,-19.335,-15.3328,-10.7996,-0,-6.00684,-0,-0,-0,-0,-7.64429,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,1,7,11,4,17,10,10,7,10,10,13,16,8,12,9,7,7,4,5,4,1,3,3,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-525.593,0.982707,0.0790725,6,63,0,530.284,-2.78536,-2.77612,-0.909621,-0.147323,2.95625,0.289515,-1.09455,4.32344,1.86342,7.18615e-06,1.10643e-05,1.7036e-05,2.62318e-05,4.03937e-05,6.22064e-05,9.5807e-05,0.000147571,0.000227316,0.000350116,0.000538988,0.000828631,0.00127017,0.00193624,0.00292483,0.00436,0.00638704,0.00915974,0.0128182,0.0174577,0.0230944,0.0296212,0.036799,0.0442601,0.0515338,0.0580883,0.0633874,0.0669637,0.0684991,0.0678866,0.0652407,0.0608595,0.055165,0.048641,0.0417738,0.0349981,0.0286575,0.0229825,0.0180923,0.0140115,0.0106972,0.00806618,0.006017,0.00444645,0.00325896,0.00237141,0.00171457,0.00123262,0.000881629,0.000627688,0.000445031,0.000314331,0.000221246,0.00015523,0.000108592,7.57588e-05,5.27184e-05,3.65978e-05,2.53493e-05,1.75201e-05,1.20837e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.38588,-13.0707,-24.2879,-11.3045,-21.1156,-16.5114,-43.6474,-32.6207,-51.2243,-24.8264,-18.9252,-26.8093,-26.8992,-32.7561,-44.787,-17.3846,-15.1164,-19.0529,-36.8771,-24.8664,-26.4112,-16.0491,-17.0715,-13.6133,-19.2803,-20.4527,-16.2469,-11.4527,-0,-6.36859,-0,-0,-0,-0,-8.06506,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,5,6,8,4,17,9,12,8,19,13,12,14,11,9,11,2,7,7,5,5,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
