# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 21:36:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c23c87093f.json
# init = /tmp/RtmpC8O1hA/init-b41c2df32e17_4.json
# random
#   seed = 5052003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0492_rep050_accurate_moderate/prior_sensitivity_obspair_FAST-202605312236-4-6b3756.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0492_rep050_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605312236-4-9546c3.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0938877
# Diagonal elements of inverse mass matrix:
# 0.137645, 0.150004, 0.0378706, 0.0346603, 0.0538686, 0.0293941, 0.037923
-522.876,0.995917,0.0938877,5,31,0,527.419,-1.83475,-2.89143,-1.08875,-0.157638,4.22963,0.261185,-0.529072,4.8874,1.95713,9.98997e-06,1.53162e-05,2.34846e-05,3.60143e-05,5.5238e-05,8.4737e-05,0.00013,0.000199408,0.00030563,0.000467496,0.000712185,0.0010774,0.00161302,0.00238176,0.00345833,0.00492636,0.00687246,0.00937684,0.0125007,0.016272,0.020672,0.0256174,0.030964,0.0365125,0.042021,0.0472206,0.0518345,0.0555968,0.0582745,0.0596908,0.0597503,0.058457,0.0559145,0.0523065,0.047869,0.0428638,0.0375581,0.0322057,0.027032,0.0222202,0.0179017,0.0141524,0.0109952,0.00840916,0.00634247,0.00472583,0.00348428,0.00254557,0.00184516,0.00132836,0.000950618,0.000676747,0.000479557,0.000338429,0.000237956,0.000166756,0.000116507,8.11752e-05,5.64138e-05,3.91123e-05,2.70563e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.33903,-13.1459,-24.7099,-11.6369,-21.9869,-17.3746,-46.3414,-34.8654,-54.9526,-26.6373,-20.2274,-28.4259,-28.1858,-33.811,-45.4314,-17.3036,-14.7532,-18.2357,-34.647,-22.9731,-24.0493,-14.4429,-15.227,-12.0686,-17.0315,-18.0412,-14.3353,-10.121,-0,-5.6595,-0,-0,-0,-0,-7.29821,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,4,1,6,13,4,3,13,9,12,20,13,14,9,11,8,6,12,5,5,5,5,4,5,3,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-527.558,0.979184,0.0938877,5,63,0,532.182,-1.25567,-3.93493,-0.796303,-0.591604,3.4172,0.341998,-0.738518,4.52765,2.30092,0.000129178,0.000170402,0.000224801,0.000296596,0.000391373,0.000516525,0.000681842,0.000900303,0.00118911,0.001571,0.00207594,0.00274283,0.00362111,0.00477106,0.00626211,0.00816809,0.0105593,0.0134915,0.0169921,0.0210467,0.0255884,0.0304853,0.0355481,0.0405411,0.0452001,0.0492551,0.0524568,0.0546035,0.0555674,0.0553106,0.0538859,0.051424,0.048114,0.0441812,0.0398633,0.0353885,0.0309564,0.0267251,0.0228063,0.0192666,0.0161349,0.0134108,0.0110744,0.00909356,0.00743045,0.0060454,0.00489985,0.00395795,0.00318746,0.00255996,0.00205092,0.0016394,0.00130774,0.00104117,0.000827449,0.000656471,0.000519961,0.000411165,0.000324599,0.000255824,0.000201263,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-8.61139,-12.225,-23.1661,-10.9969,-20.9431,-16.6843,-44.8761,-34.0632,-54.1933,-26.5299,-20.3536,-28.9016,-28.9479,-35.0506,-47.4824,-18.2051,-15.5973,-19.3338,-36.7551,-24.3262,-25.3551,-15.1229,-15.7975,-12.3803,-17.2468,-18.0125,-14.1006,-9.80434,-0,-5.31855,-0,-0,-0,-0,-6.41342,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,2,5,2,4,5,5,9,6,4,12,5,9,10,10,8,10,7,7,9,8,9,10,3,10,5,3,6,5,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-525.746,0.998298,0.0938877,5,63,0,530.468,-0.63448,-2.20472,-1.72764,-0.109807,3.99463,0.0565003,-1.485,4.25706,2.07169,2.10302e-05,3.29057e-05,5.14714e-05,8.04671e-05,0.000125671,0.000195924,0.000304538,0.00047106,0.00072315,0.00109806,0.00164298,0.00241387,0.0034725,0.00488236,0.00670355,0.00898727,0.01177,0.0150682,0.0188729,0.0231473,0.0278253,0.032732,0.0376695,0.0424256,0.0467849,0.0505395,0.0535002,0.0555081,0.0564465,0.0562531,0.0549326,0.0525633,0.0492938,0.0453239,0.0408781,0.0361788,0.0314285,0.0268007,0.0224351,0.0184364,0.0148746,0.0117856,0.00917536,0.00702405,0.00529269,0.00393011,0.00287962,0.00208476,0.00149328,0.00105959,0.000745665,0.000520958,0.000361665,0.000249684,0.000171532,0.000117332,7.99481e-05,5.42875e-05,3.6748e-05,2.48044e-05,1.66984e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-8.39034,-11.9101,-22.5953,-10.7454,-20.5164,-16.3945,-44.24,-33.6841,-53.73,-26.3526,-20.2386,-28.7446,-28.7789,-34.8198,-47.1318,-18.0597,-15.4696,-19.183,-36.5121,-24.2203,-25.3353,-15.1885,-15.9737,-12.6243,-17.7635,-18.7649,-14.8752,-10.4829,-0,-5.8501,-0,-0,-0,-0,-7.55984,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,2,5,3,6,10,7,11,8,12,12,19,7,11,10,7,9,12,2,10,5,7,6,5,0,2,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-526.09,0.990788,0.0938877,5,63,0,529.19,-3.27133,-3.52692,-1.22379,-0.227792,3.11213,-0.264261,-0.656173,5.13914,2.25769,2.23036e-05,3.31748e-05,4.932e-05,7.32687e-05,0.000108731,0.000161114,0.000238221,0.000351175,0.000515554,0.000752693,0.00109099,0.00156695,0.00222559,0.0031199,0.00430881,0.00585371,0.00781318,0.0102365,0.0131559,0.0165795,0.0204846,0.0248011,0.0294174,0.0341826,0.0389119,0.0433965,0.0474168,0.0507597,0.0532384,0.0547118,0.0551011,0.0543983,0.0526651,0.0500226,0.0466359,0.0426965,0.0384052,0.0339571,0.0295292,0.0252705,0.0212967,0.0176876,0.0144891,0.0117166,0.00936125,0.00739662,0.00578472,0.0044818,0.00344268,0.00262388,0.00198564,0.00149293,0.00111588,0.000829586,0.000613721,0.000451991,0.000331509,0.000242221,0.000176359,0.000127986,9.25967e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.1636,-12.9927,-24.5975,-11.6642,-22.1812,-17.6309,-47.2645,-35.711,-56.4728,-27.439,-20.8646,-29.3297,-29.0568,-34.783,-46.5828,-17.6628,-14.9764,-18.3923,-34.69,-22.8169,-23.6786,-14.0895,-14.7125,-11.5476,-16.1396,-16.9374,-13.3403,-9.34235,-0,-5.15254,-0,-0,-0,-0,-6.50701,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,3,4,1,5,9,8,6,7,5,9,8,10,13,8,14,7,12,8,10,10,9,2,10,6,3,3,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-526.467,0.999778,0.0938877,5,31,0,527.861,-3.31614,-3.51124,-1.01911,-0.0660716,2.88881,-0.0148427,-0.466388,4.45672,1.89939,5.82562e-06,9.30089e-06,1.48475e-05,2.36973e-05,3.78096e-05,6.02944e-05,9.60685e-05,0.000152858,0.000242688,0.000383999,0.000604466,0.00094437,0.00146002,0.0022263,0.00333702,0.00490179,0.00703825,0.00985899,0.0134535,0.0178676,0.0230829,0.0289876,0.0353778,0.0419625,0.0483804,0.0542281,0.0590978,0.0626235,0.0645309,0.0646802,0.0630869,0.0599132,0.0554365,0.0500072,0.044006,0.0378042,0.0317309,0.0260484,0.0209394,0.0165057,0.0127776,0.00972961,0.00729894,0.00540259,0.00395132,0.00285922,0.00204941,0.00145658,0.00102746,0.000719888,0.000501344,0.000347247,0.000239332,0.000164218,0.000112221,7.64017e-05,5.18376e-05,3.50599e-05,2.36429e-05,1.58999e-05,1.0665e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.23874,-12.9255,-24.1486,-11.306,-21.2453,-16.7084,-44.3937,-33.3153,-52.462,-25.4571,-19.3943,-27.4061,-27.383,-33.1589,-45.0377,-17.3551,-14.9779,-18.7406,-36.0287,-24.1532,-25.5346,-15.4645,-16.4162,-13.0802,-18.5303,-19.6801,-15.6626,-11.0674,-0,-6.1902,-0,-0,-0,-0,-7.96547,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,1,4,0,4,2,3,6,9,12,5,9,11,21,10,16,18,8,9,14,6,2,8,3,3,3,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-526.584,0.995702,0.0938877,6,63,0,536.434,0.873661,-0.453789,-1.85023,-0.478926,4.86551,-0.296627,-1.29097,4.8621,2.86132,7.76642e-06,1.08059e-05,1.51314e-05,2.13608e-05,3.046e-05,4.39662e-05,6.43619e-05,9.56907e-05,0.000144551,0.000221644,0.000344107,0.000538879,0.000847355,0.00133157,0.0020821,0.00322763,0.00494634,0.00747846,0.0111398,0.0163354,0.0235719,0.0305436,0.036709,0.0420307,0.0465838,0.0504325,0.0535924,0.0560252,0.0576468,0.0583467,0.0580149,0.056576,0.0540235,0.0504452,0.0460282,0.0410382,0.0357784,0.0305412,0.0255695,0.0210356,0.0170382,0.0136128,0.0107469,0.00839703,0.00650293,0.004998,0.00381672,0.0028989,0.00219186,0.00165106,0.00123986,0.000928696,0.000694162,0.000517928,0.000385811,0.000286916,0.00021293,0.000157533,0.000115937,8.45101e-05,6.04971e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.79146,-13.4917,-24.6865,-11.2431,-20.9316,-16.5237,-44.371,-33.7315,-53.7682,-26.3371,-20.1737,-28.5342,-28.4135,-34.1647,-45.9547,-17.51,-14.9343,-18.471,-35.1258,-23.3129,-24.4208,-14.6654,-15.4462,-12.2169,-17.187,-18.1326,-14.3396,-10.071,-0,-5.56836,-0,-0,-0,-0,-6.98173,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,2,6,11,9,6,7,11,6,12,16,7,11,8,8,11,11,7,8,6,7,3,5,3,2,2,4,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
