# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 21:44:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2775913fa.json
# init = /tmp/RtmpC8O1hA/init-b41c27e3e46df_1.json
# random
#   seed = 5052004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0493_rep050_accurate_strong/prior_sensitivity_obspair_FAST-202605312244-1-345e75.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0493_rep050_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605312244-1-9ed197.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0905177
# Diagonal elements of inverse mass matrix:
# 0.0548098, 0.0597817, 0.00811081, 0.0091981, 0.0114697, 0.00906886, 0.00599918
-522.741,0.995121,0.0905177,6,63,0,525.837,-1.29189,-1.73393,-1.30591,-0.249348,3.85469,0.152366,-1.00223,4.55517,2.06342,1.58228e-05,2.33818e-05,3.45645e-05,5.11209e-05,7.56589e-05,0.000112074,0.000166201,0.000246782,0.000366892,0.000545904,0.000811988,0.00120482,0.00177788,0.0025996,0.00375258,0.00533043,0.00743174,0.0101512,0.0135681,0.0177334,0.0226569,0.0282246,0.0342491,0.040472,0.0465752,0.0521998,0.0569727,0.0605414,0.0626167,0.0630216,0.0617323,0.0588906,0.0547726,0.0497303,0.0441327,0.0383235,0.0325974,0.0271867,0.0222571,0.0179087,0.0141827,0.0110718,0.00853359,0.00650398,0.00490908,0.0036743,0.0027303,0.00201623,0.00148091,0.00108264,0.000788226,0.000571798,0.000413459,0.0002981,0.000214364,0.000153781,0.000110076,7.86294e-05,5.60566e-05,3.98879e-05,2.8329e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.18032,-12.9001,-24.1938,-11.3619,-21.4054,-16.8705,-44.9,-33.7336,-53.1482,-25.7866,-19.631,-27.7072,-27.6428,-33.4194,-45.3132,-17.4274,-15.0057,-18.7233,-35.8786,-23.9647,-25.2352,-15.2204,-16.0899,-12.7672,-18.0134,-19.055,-15.106,-10.6333,-0,-5.90335,-0,-0,-0,-0,-7.46672,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,1,4,5,2,4,4,4,10,9,10,15,9,12,11,9,13,11,13,7,6,5,5,5,6,3,1,4,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-528.067,0.983744,0.0905177,4,15,0,529.258,-0.891181,-2.30762,-1.34047,-0.416533,3.99243,-0.188982,-0.929797,4.79278,2.38118,7.67107e-05,0.000106701,0.000148414,0.000206413,0.000287004,0.000398861,0.000553808,0.000767765,0.00106177,0.00146294,0.00200506,0.00272854,0.00367935,0.0049069,0.00646061,0.0083857,0.0107182,0.0134799,0.0166736,0.0202796,0.0242533,0.0284814,0.0328224,0.0371126,0.0411742,0.0448256,0.0478933,0.0502243,0.0516998,0.0522461,0.0518439,0.050531,0.0483971,0.0455732,0.0422156,0.0384913,0.0345638,0.030584,0.0266823,0.022965,0.0195119,0.0163765,0.0135879,0.0111542,0.00906637,0.00730287,0.0058341,0.0046261,0.00364367,0.00285263,0.00222128,0.00172131,0.00132809,0.0010207,0.000781692,0.000596737,0.00045421,0.000344789,0.000261063,0.000197191,0.000148597,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-8.61311,-12.2818,-23.3888,-11.1576,-21.351,-17.0832,-46.1132,-35.0894,-55.8896,-27.349,-20.9388,-29.623,-29.5179,-35.5142,-47.7627,-18.1699,-15.4422,-18.9898,-35.8306,-23.5546,-24.4109,-14.495,-15.0951,-11.8102,-16.4476,-17.1943,-13.4878,-9.40637,-0,-5.14404,-0,-0,-0,-0,-6.36467,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,2,4,4,5,6,4,12,12,10,6,15,14,13,7,16,8,6,8,4,9,4,7,1,3,3,3,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
-524.107,0.996882,0.0905177,5,31,0,531.198,-1.44073,-1.27319,-1.14628,-0.516902,3.64494,0.366315,-0.980204,4.72505,2.29363,2.3717e-05,3.20337e-05,4.33033e-05,5.86047e-05,7.94362e-05,0.0001079,0.000146981,0.000200994,0.000276293,0.000382442,0.000534133,0.000754197,0.00107792,0.00155836,0.00227163,0.00332096,0.00483774,0.00697815,0.00991348,0.0138132,0.0188211,0.0249011,0.0318951,0.0395052,0.0472905,0.0546866,0.0610524,0.0657531,0.0682838,0.0684067,0.066222,0.0621153,0.0566255,0.0503194,0.0437103,0.037215,0.0311365,0.0256656,0.0208941,0.0168369,0.0134562,0.0106835,0.00843759,0.0066356,0.0052005,0.00406418,0.00316858,0.00246529,0.00191469,0.00148474,0.00114971,0.000889146,0.000686823,0.000529952,0.000408477,0.000314516,0.000241905,0.000185836,0.000142565,0.000109186,8.34415e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.92994,-13.8416,-25.6928,-11.9183,-22.1571,-17.2265,-45.2385,-33.5659,-52.3105,-25.1642,-19.0529,-26.8408,-26.8228,-32.5769,-44.4602,-17.2278,-14.9468,-18.781,-36.2015,-24.2856,-25.6382,-15.4732,-16.3367,-12.925,-18.1562,-19.1002,-15.0459,-10.518,-0,-5.75447,-0,-0,-0,-0,-7.02525,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,2,7,7,5,5,9,8,10,13,16,18,11,12,17,12,13,4,4,1,5,1,5,3,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-522.457,0.981574,0.0905177,3,15,0,527.867,-1.32188,-2.15161,-1.1937,-0.541833,3.5354,0.207516,-1.02243,4.71048,2.36321,7.75818e-05,0.000103891,0.000139176,0.000186539,0.000250189,0.00033585,0.000451344,0.000607403,0.000818808,0.00110591,0.00149659,0.0020284,0.0027504,0.00372379,0.00502052,0.00671926,0.00889868,0.0116281,0.0149561,0.0188992,0.0234307,0.0284362,0.0337394,0.0391085,0.0442689,0.0489232,0.0527763,0.055568,0.0571079,0.0573073,0.0561931,0.0538961,0.0506214,0.0466154,0.042137,0.0374349,0.0327298,0.0282019,0.0239842,0.0201622,0.0167785,0.0138408,0.0113318,0.00921777,0.00745659,0.00600305,0.00481278,0.00384448,0.00306114,0.00243046,0.00192478,0.00152078,0.00119904,0.000943529,0.000741117,0.000581128,0.000454924,0.000355549,0.000277427,0.000216104,0.000168033,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-8.90867,-12.6079,-23.8118,-11.2611,-21.3606,-16.9454,-45.3798,-34.2922,-54.3151,-26.4752,-20.231,-28.6281,-28.5933,-34.5475,-46.7311,-17.9003,-15.3291,-19.001,-36.1367,-23.9363,-24.9786,-14.9214,-15.6158,-12.263,-17.1205,-17.9206,-14.0599,-9.79731,-0,-5.33648,-0,-0,-0,-0,-6.48853,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,1,2,3,5,9,2,4,14,15,7,11,11,13,12,13,9,8,6,7,7,4,8,2,3,2,2,3,4,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0
-521.471,0.999228,0.0905177,5,31,0,525.254,-1.56703,-2.08687,-1.24796,-0.500409,3.46556,0.170826,-1.03049,4.81141,2.36513,6.13386e-05,8.31419e-05,0.000112734,0.000152927,0.000207574,0.000281968,0.000383401,0.000521962,0.000711627,0.000971745,0.0013289,0.00181901,0.00248913,0.00339829,0.00461653,0.0062216,0.00829304,0.0109037,0.0141093,0.0179365,0.0223728,0.0273194,0.0326155,0.0380416,0.0433299,0.0481813,0.0522906,0.0553779,0.0572274,0.0577227,0.0568671,0.0547752,0.0516449,0.0477221,0.0432701,0.0385449,0.0337765,0.0291555,0.0248258,0.0208831,0.0173786,0.0143268,0.0117149,0.00951161,0.00767554,0.006161,0.00492236,0.00391671,0.00310526,0.00245399,0.0019337,0.00151972,0.00119152,0.000932142,0.000727738,0.000567067,0.000441064,0.000342453,0.000265426,0.000205363,0.000158603,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.0373,-12.7828,-24.1255,-11.3997,-21.601,-17.1148,-45.767,-34.528,-54.5901,-26.5585,-20.255,-28.6072,-28.521,-34.4045,-46.4723,-17.7802,-15.2118,-18.8418,-35.8153,-23.7159,-24.7458,-14.7835,-15.4753,-12.1576,-16.9825,-17.7876,-13.9657,-9.73943,-0,-5.31397,-0,-0,-0,-0,-6.48923,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,3,4,9,1,4,8,5,13,6,12,15,16,12,13,6,11,11,9,8,7,7,2,2,3,2,0,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-525.513,0.982856,0.0905177,5,31,0,527.238,-0.708489,-1.7024,-1.44465,-0.38128,3.41111,0.200821,-0.979614,4.09093,2.12907,4.13172e-05,5.81987e-05,8.20124e-05,0.000115637,0.000163175,0.000230496,0.00032603,0.000461939,0.000655796,0.000932922,0.00132934,0.00189496,0.00269585,0.00381436,0.00534599,0.00739281,0.010054,0.0134143,0.0175314,0.0224245,0.0280643,0.0342,0.0405211,0.046672,0.0522733,0.0569492,0.0603604,0.0622431,0.0624518,0.0609941,0.0580377,0.0538754,0.048865,0.0433705,0.0377225,0.0321962,0.0270019,0.0222836,0.0181229,0.0145479,0.0115447,0.00907059,0.00706584,0.00546397,0.00419888,0.00320947,0.00244193,0.00185055,0.00139751,0.00105215,0.000789978,0.000591687,0.00044219,0.000329798,0.000245514,0.000182451,0.000135359,0.000100257,7.4134e-05,5.47211e-05,4.03133e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-8.62287,-12.1313,-22.7856,-10.7198,-20.2532,-16.0297,-42.9045,-32.464,-51.5807,-25.2668,-19.437,-27.7336,-27.9698,-34.16,-46.7373,-18.1122,-15.6899,-19.665,-37.795,-25.2829,-26.6273,-16.0423,-16.9212,-13.3846,-18.8109,-19.8099,-15.6287,-10.9459,-0,-6.01497,-0,-0,-0,-0,-7.43253,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,2,3,3,6,10,8,4,11,7,15,19,12,15,8,15,7,8,8,7,8,5,4,3,2,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
