# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 22:00:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2596607bc.json
# init = /tmp/RtmpC8O1hA/init-b41c21c16b869_1.json
# random
#   seed = 5052006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0495_rep050_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605312300-1-12afb8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0495_rep050_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605312300-1-687db8.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.109371
# Diagonal elements of inverse mass matrix:
# 0.18778, 0.0878512, 0.039077, 0.0307588, 0.0395234, 0.0461214, 0.0365844
-523.228,0.981465,0.109371,5,31,0,524.987,-2.05514,-3.12721,-1.41222,-0.410467,3.71364,0.506335,-0.591222,4.92533,2.25475,4.35104e-05,6.06387e-05,8.45183e-05,0.000117818,0.00016427,0.000229096,0.000319613,0.00044608,0.000622885,0.000870112,0.00121547,0.00169622,0.00236034,0.00326635,0.00448154,0.00607852,0.00812964,0.0106986,0.0138297,0.017535,0.021784,0.0264814,0.0314796,0.0365861,0.0415765,0.0462084,0.0502359,0.0534258,0.0555779,0.0565534,0.0563023,0.0548715,0.052387,0.0490276,0.0450037,0.04054,0.0358614,0.0311779,0.0266704,0.0224789,0.0186962,0.0153692,0.0125062,0.0100871,0.00807376,0.00641929,0.00507407,0.00399007,0.00312327,0.00243473,0.00189095,0.00146368,0.00112947,0.000869125,0.000667045,0.000510711,0.000390129,0.000297377,0.000226211,0.000171734,0.000130122,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.07528,-12.8428,-24.2613,-11.4797,-21.7879,-17.2921,-46.3132,-34.9824,-55.3427,-26.9192,-20.5062,-28.8997,-28.7257,-34.5242,-46.4442,-17.6946,-15.0769,-18.6061,-35.2601,-23.2967,-24.2763,-14.4968,-15.1807,-11.9383,-16.7016,-17.5261,-13.7895,-9.63827,-0,-5.28361,-0,-0,-0,-0,-6.5268,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,3,5,9,4,4,4,7,7,9,16,14,12,7,11,14,7,7,10,5,5,5,7,2,4,5,3,0,2,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0
-522.591,0.996464,0.109371,4,31,0,525.248,-2.70353,-2.12346,-1.08979,-0.183406,3.7557,0.534793,-0.806771,4.82992,1.9135,6.20408e-06,9.40931e-06,1.42725e-05,2.16539e-05,3.28632e-05,4.9899e-05,7.5819e-05,0.00011532,0.000175645,0.000268009,0.000409753,0.000627369,0.00096016,0.00146395,0.00221422,0.00330795,0.00486291,0.00701208,0.00989071,0.0136145,0.018251,0.0237752,0.0300585,0.0368647,0.0438618,0.0506447,0.0567626,0.0617512,0.0651802,0.0667294,0.0662745,0.0639161,0.0599278,0.0546822,0.0485965,0.0420936,0.0355682,0.0293562,0.0237087,0.018778,0.0146214,0.0112197,0.00850325,0.00637713,0.00474003,0.00349625,0.00256173,0.00186608,0.00135234,0.000975529,0.000700804,0.000501561,0.00035774,0.000254362,0.000180338,0.000127515,8.99415e-05,6.32915e-05,4.44398e-05,3.11373e-05,2.17719e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.92024,-13.8485,-25.7797,-12.0106,-22.4347,-17.523,-46.207,-34.3938,-53.6926,-25.8199,-19.4925,-27.306,-27.0711,-32.5674,-44.0029,-16.8877,-14.5311,-18.1452,-34.8465,-23.3541,-24.6978,-14.9677,-15.9003,-12.6758,-17.9603,-19.0692,-15.1651,-10.7034,-0,-5.96707,-0,-0,-0,-0,-7.59778,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,4,2,3,9,7,13,10,8,20,15,15,4,22,6,11,10,10,2,3,8,3,4,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-525.331,0.979248,0.109371,4,31,0,527.607,-2.08938,-3.42601,-0.670834,-0.622268,3.34323,0.551038,-0.900658,4.96668,2.43187,0.000102765,0.000134448,0.000175919,0.000230217,0.000301333,0.000394519,0.000516695,0.000677001,0.000887544,0.0011644,0.001529,0.00200988,0.00264495,0.00348375,0.00458916,0.00603729,0.00791452,0.01031,0.0133023,0.016941,0.0212248,0.026081,0.0313579,0.0368282,0.042204,0.0471607,0.0513694,0.0545357,0.056444,0.0569888,0.0561828,0.0541436,0.0510711,0.0472199,0.0428674,0.0382822,0.0336972,0.0292932,0.0251942,0.0214725,0.018159,0.015255,0.012742,0.0105897,0.00876236,0.00722211,0.0059319,0.00485695,0.00396554,0.00322938,0.00262367,0.00212692,0.00172075,0.00138951,0.00112005,0.000901306,0.000724094,0.000580784,0.00046508,0.000371807,0.000296724,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.14929,-12.9594,-24.4681,-11.5578,-21.8793,-17.3114,-46.2209,-34.8177,-54.9755,-26.7184,-20.3623,-28.7451,-28.649,-34.5497,-46.6579,-17.8472,-15.2647,-18.8979,-35.8905,-23.7324,-24.7128,-14.7246,-15.3639,-12.0258,-16.7314,-17.4514,-13.6436,-9.47458,-0,-5.12741,-0,-0,-0,-0,-6.15308,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,1,3,3,4,9,10,5,10,12,11,11,14,11,8,7,15,11,6,5,5,3,4,7,5,3,2,1,0,1,2,3,1,0,0,0,0,0,0,0,1,0,0,0
-524.66,0.999392,0.109371,5,31,0,530.183,-0.50559,-2.95853,-0.797338,-0.173082,4.17548,0.0412051,-0.738424,4.3113,1.95839,1.77878e-05,2.70904e-05,4.12586e-05,6.28353e-05,9.56861e-05,0.000145673,0.000221645,0.00033685,0.000510843,0.000771846,0.00115924,0.00172552,0.00253682,0.00367107,0.00521348,0.00724907,0.00985276,0.0130775,0.0169419,0.0214185,0.0264263,0.0318129,0.0373709,0.0428488,0.0479692,0.0524505,0.0560306,0.0584904,0.0596755,0.0595131,0.0580228,0.0553145,0.0515747,0.0470438,0.0419893,0.0366817,0.0313732,0.0262805,0.0215735,0.0173682,0.0137269,0.0106637,0.00815399,0.00614619,0.0045738,0.00336533,0.00245165,0.00177058,0.00126906,0.000903613,0.000639698,0.000450579,0.00031596,0.000220688,0.000153602,0.000106573,7.37311e-05,5.08764e-05,3.50207e-05,2.40508e-05,1.64802e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-8.67372,-12.2339,-23.061,-10.9002,-20.6873,-16.4343,-44.1011,-33.4091,-53.0619,-25.9367,-19.8722,-28.1883,-28.2156,-34.163,-46.3155,-17.7883,-15.2834,-19.022,-36.3603,-24.2326,-25.4725,-15.3452,-16.2125,-12.8652,-18.1636,-19.237,-15.2758,-10.7748,-0,-6.01099,-0,-0,-0,-0,-7.70498,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,2,6,1,5,7,6,7,8,10,18,12,9,12,12,13,10,5,10,11,3,6,8,2,1,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-523.356,0.997013,0.109371,4,15,0,526.164,-1.62952,-2.72557,-0.675179,-0.436562,4.38098,0.0823231,-0.628346,5.15946,2.18035,3.37341e-05,4.66515e-05,6.45398e-05,8.93332e-05,0.000123736,0.000171539,0.000238081,0.000330904,0.000460685,0.000642536,0.000897706,0.00125564,0.00175616,0.00245122,0.00340566,0.00469591,0.00640595,0.00861972,0.0114099,0.014824,0.0188696,0.0234972,0.0285943,0.0339847,0.0394362,0.044676,0.0494122,0.0533606,0.0562729,0.0579646,0.0583375,0.0573906,0.0552177,0.0519905,0.0479366,0.0433138,0.0383853,0.033397,0.0285596,0.0240365,0.0199383,0.0163255,0.0132151,0.0105908,0.00841474,0.00663629,0.00520045,0.00405301,0.00314384,0.00242864,0.00186943,0.00143444,0.00109758,0.000837717,0.000637918,0.000484754,0.000367645,0.00027831,0.000210304,0.000158632,0.000119437,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.50741,-13.4198,-25.269,-11.9106,-22.5052,-17.7727,-47.3458,-35.5638,-55.9498,-27.068,-20.5148,-28.7754,-28.4792,-34.0981,-45.726,-17.3788,-14.7835,-18.2273,-34.5321,-22.8206,-23.795,-14.223,-14.9127,-11.7453,-16.4601,-17.3056,-13.6433,-9.55554,-0,-5.25901,-0,-0,-0,-0,-6.54698,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,4,7,12,8,7,10,12,5,11,13,11,8,7,15,7,11,12,7,6,5,3,3,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-523.529,0.993697,0.109371,5,31,0,525.98,-1.47337,-2.9964,-0.586334,-0.321389,3.99744,0.485512,-0.632365,4.53448,1.87225,1.7786e-05,2.55694e-05,3.67656e-05,5.28781e-05,7.60801e-05,0.000109521,0.000157779,0.00022754,0.000328622,0.000475521,0.000689712,0.00100289,0.001461,0.00212846,0.00309139,0.00445838,0.00635683,0.00892245,0.01228,0.0165159,0.0216472,0.0275911,0.0341525,0.0410278,0.047825,0.054098,0.0593903,0.063287,0.0654695,0.0657672,0.0641864,0.060904,0.0562291,0.0505535,0.0443018,0.037885,0.0316618,0.0259091,0.0208072,0.0164405,0.0128129,0.00987246,0.00753554,0.00570728,0.00429478,0.00321437,0.00239467,0.00177691,0.00131395,0.000968638,0.000712128,0.000522264,0.00038217,0.00027909,0.000203432,0.000148026,0.000107534,7.79948e-05,5.64817e-05,4.08376e-05,2.94774e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.43837,-13.1994,-24.6206,-11.4986,-21.5416,-16.8846,-44.7091,-33.4423,-52.5052,-25.4126,-19.3205,-27.2617,-27.2163,-32.9516,-44.7753,-17.2699,-14.9236,-18.7004,-36.0052,-24.1685,-25.5721,-15.4898,-16.432,-13.0719,-18.472,-19.5525,-15.498,-10.9007,-0,-6.03451,-0,-0,-0,-0,-7.55734,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,1,3,2,3,3,4,5,7,8,11,17,11,15,20,8,12,11,8,9,11,7,4,8,1,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
