# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 22:41:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpBTQ4ch/standata-1f12e54daadc74.json
# init = /tmp/RtmpBTQ4ch/init-1f12e56d484f8_1.json
# random
#   seed = 5052009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0498_rep050_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605312341-1-73c56b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0498_rep050_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605312341-1-9d39f1.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.087119
# Diagonal elements of inverse mass matrix:
# 0.132532, 0.0768329, 0.0203675, 0.0175143, 0.0332936, 0.0423315, 0.0460354
-525.435,0.98248,0.087119,4,31,0,536.182,-1.13492,-2.31132,-0.584706,-0.316943,4.0389,0.537022,-0.235932,4.44995,1.88274,1.24125e-05,1.7878e-05,2.57578e-05,3.71269e-05,5.35476e-05,7.7301e-05,0.000111737,0.000161819,0.000234981,0.000342521,0.000501869,0.000740179,0.00109954,0.00164343,0.00246303,0.00368111,0.00545059,0.0079441,0.0113319,0.015748,0.021249,0.0277477,0.0350134,0.0426754,0.0502529,0.0572017,0.06297,0.0670609,0.0691012,0.0689167,0.0665792,0.062381,0.0567566,0.0502047,0.0432264,0.0362781,0.0297321,0.0238512,0.0187802,0.0145575,0.0111407,0.00843868,0.00633985,0.00473187,0.00351295,0.00259658,0.00191216,0.00140369,0.00102759,0.000750434,0.00054684,0.0003977,0.000288718,0.000209256,0.000151431,0.000109427,7.89624e-05,5.68988e-05,4.09395e-05,2.94084e-05,2.10855e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.67065,-13.4404,-24.9062,-11.5543,-21.5076,-16.7601,-44.1579,-32.8976,-51.5011,-24.8859,-18.9151,-26.7218,-26.7486,-32.5124,-44.3919,-17.2139,-14.9582,-18.8478,-36.4819,-24.6087,-26.1515,-15.8998,-16.9186,-13.4915,-19.0997,-20.2436,-16.0603,-11.3026,-0,-6.25952,-0,-0,-0,-0,-7.82981,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,2,1,2,3,4,2,7,13,15,9,12,14,7,19,13,15,10,9,8,8,3,1,4,3,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-525.582,0.998947,0.087119,4,31,0,527.995,-0.765413,-2.86733,-0.900749,-0.587452,4.75828,0.492984,-0.73393,5.11447,2.34163,8.53717e-05,0.000112922,0.000149452,0.000197952,0.000262463,0.000348472,0.000463491,0.00061789,0.000826058,0.00110793,0.00149063,0.00200979,0.00270981,0.00364303,0.00486763,0.00644418,0.00843063,0.0108755,0.0138093,0.0172355,0.0211219,0.0253884,0.0299121,0.0345337,0.0390666,0.0433094,0.0470592,0.0501254,0.0523434,0.0535898,0.0537968,0.0529638,0.0511584,0.0485043,0.0451635,0.0413197,0.0371631,0.0328787,0.028635,0.024575,0.0208088,0.01741,0.0144158,0.0118318,0.00963962,0.00780558,0.00628829,0.00504428,0.00403169,0.00321231,0.0025525,0.00202333,0.00160039,0.00126336,0.000995453,0.000782977,0.000614789,0.000481886,0.000377029,0.000294418,0.000229422,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.04249,-12.8472,-24.3647,-11.5723,-22.0408,-17.5475,-47.1215,-35.6674,-56.5089,-27.5071,-20.9526,-29.4993,-29.264,-35.0705,-47.0103,-17.837,-15.1305,-18.5848,-35.0506,-23.0471,-23.9045,-14.2125,-14.8241,-11.6171,-16.2028,-16.9577,-13.3109,-9.28375,-0,-5.06907,-0,-0,-0,-0,-6.20301,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,4,8,3,5,2,15,9,7,11,6,11,13,18,13,6,9,6,6,6,2,5,2,3,1,2,2,3,3,1,0,0,0,1,2,0,1,1,0,0,0,0,0
-523.09,0.979657,0.087119,4,15,0,531.188,-0.914132,-2.29261,-0.727652,-0.367743,4.50322,0.643867,-0.975698,4.68972,1.96247,1.46408e-05,2.07269e-05,2.93611e-05,4.16285e-05,5.90953e-05,8.40414e-05,0.000119825,0.000171474,0.000246671,0.00035742,0.000522758,0.000772633,0.00115231,0.0017262,0.00258002,0.00382057,0.00557167,0.00796492,0.011124,0.0151418,0.0200528,0.0257949,0.0321995,0.0389924,0.0458121,0.0522412,0.0578451,0.0622141,0.0650048,0.0659853,0.0650792,0.062391,0.0581827,0.0528167,0.0467021,0.040251,0.0338434,0.0277971,0.0223455,0.0176262,0.013684,0.0104881,0.00795876,0.00599338,0.00448701,0.00334405,0.00248329,0.00183871,0.00135812,0.00100106,0.00073653,0.000541026,0.000396835,0.00029068,0.000212652,0.000155377,0.000113387,8.26367e-05,6.01384e-05,4.36919e-05,3.16792e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.66542,-13.496,-25.1418,-11.7282,-21.9455,-17.179,-45.4214,-33.9153,-53.1339,-25.6499,-19.4402,-27.3329,-27.1832,-32.7858,-44.3894,-17.065,-14.7046,-18.3838,-35.3388,-23.7021,-25.0798,-15.2045,-16.1535,-12.8746,-18.23,-19.3339,-15.3513,-10.8131,-0,-5.99817,-0,-0,-0,-0,-7.52204,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,3,4,2,7,11,10,12,12,9,14,13,13,16,7,12,10,4,7,7,10,3,1,1,2,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
-525.969,0.981704,0.087119,5,47,0,528.328,0.0854546,-1.19377,-0.700753,-0.684898,3.71908,0.436959,-0.640975,4.34204,2.39244,2.57765e-05,3.33539e-05,4.32306e-05,5.61538e-05,7.31481e-05,9.56434e-05,0.00012568,0.000166248,0.00022188,0.000299724,0.000411543,0.000577493,0.000832955,0.00123943,0.0018984,0.0029632,0.0046418,0.007185,0.0108587,0.0159038,0.0224905,0.0302861,0.0388649,0.0476914,0.0561239,0.0634428,0.0689201,0.0719407,0.0721695,0.0696828,0.0649453,0.0586447,0.0515079,0.0441754,0.0371375,0.0307166,0.0250817,0.0202808,0.0162801,0.0129998,0.0103411,0.00820386,0.00649555,0.00513558,0.00405599,0.00320072,0.00252418,0.00198962,0.00156761,0.00123466,0.000972119,0.000765178,0.000602106,0.000473612,0.000372339,0.000292452,0.000229323,0.000179288,0.000139462,0.000107596,8.19676e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.87152,-13.5684,-24.8472,-11.384,-20.9824,-16.2383,-42.602,-31.6821,-49.6371,-24.0733,-18.4234,-26.2874,-26.638,-32.8105,-45.3801,-17.7961,-15.5979,-19.7588,-38.3125,-25.7993,-27.2866,-16.4712,-17.3713,-13.7149,-19.2126,-20.1466,-15.8147,-11.0151,-0,-5.98184,-0,-0,-0,-0,-7.1754,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,7,5,10,6,14,16,10,18,5,16,18,11,12,10,7,8,4,1,3,3,1,1,0,1,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
-524.984,0.999931,0.087119,5,31,0,527.912,-1.16995,-1.57734,-0.779252,-0.72005,4.41884,0.233611,-0.180639,5.38022,2.60167,4.65248e-05,5.9581e-05,7.63876e-05,9.80791e-05,0.000126171,0.000162712,0.00021052,0.000273537,0.000357403,0.00047037,0.000624752,0.000839109,0.00114131,0.00157235,0.00219073,0.00307638,0.00433293,0.00608616,0.0084774,0.0116514,0.0157402,0.0207053,0.0264293,0.0327045,0.0392347,0.0456467,0.0515141,0.0563935,0.059881,0.0616861,0.0617011,0.0600244,0.0569207,0.0527453,0.0478736,0.0426543,0.0373835,0.0322924,0.0275459,0.0232461,0.0194419,0.0161402,0.0133189,0.0109376,0.00894729,0.00729632,0.00593498,0.00481768,0.00390403,0.00315908,0.00255311,0.00206113,0.00166231,0.00133942,0.00107825,0.000867148,0.000696586,0.000558778,0.000447389,0.000357277,0.000284275,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.2035,-14.3111,-26.714,-12.4546,-23.2642,-18.1664,-47.8834,-35.6201,-55.5628,-26.6931,-20.1278,-28.154,-27.857,-33.4254,-45.0081,-17.1966,-14.7114,-18.2352,-34.7009,-23.0057,-24.0305,-14.3676,-15.0465,-11.821,-16.5058,-17.2743,-13.5466,-9.43281,-0,-5.12689,-0,-0,-0,-0,-6.1845,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,8,2,6,7,9,9,14,7,11,17,7,13,2,9,5,6,9,18,7,7,1,5,7,2,3,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0
-522.583,0.99957,0.087119,4,31,0,528.636,-1.20864,-1.76641,-0.881595,-0.531553,4.27014,0.444601,-0.0333019,4.97368,2.30334,3.4287e-05,4.60838e-05,6.19792e-05,8.34297e-05,0.000112437,0.000151771,0.000205312,0.00027856,0.000379441,0.00051956,0.000716104,0.000994506,0.00139173,0.00195982,0.0027692,0.00391091,0.00549595,0.00765029,0.0105049,0.014182,0.0187821,0.0241892,0.0302256,0.0366402,0.0431154,0.0492813,0.0547343,0.0590617,0.0618875,0.0629493,0.0621851,0.0597611,0.0560033,0.0512958,0.0460117,0.0404819,0.0349841,0.0297382,0.0249045,0.0205834,0.0168206,0.0136159,0.010936,0.00872774,0.00692932,0.00547808,0.00431549,0.0033895,0.00265542,0.0020757,0.00161937,0.00126114,0.000980587,0.000761321,0.000590262,0.00045702,0.000353377,0.000272851,0.000210344,0.000161859,0.000124264,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.74602,-13.6677,-25.5347,-11.9246,-22.3311,-17.4953,-46.2925,-34.5826,-54.1838,-26.1474,-19.8042,-27.8244,-27.6543,-33.3317,-45.0784,-17.2941,-14.8507,-18.4732,-35.2759,-23.47,-24.6072,-14.7708,-15.5331,-12.2554,-17.1861,-18.0628,-14.2237,-9.94399,-0,-5.44554,-0,-0,-0,-0,-6.67574,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,2,6,3,7,8,3,5,6,12,14,5,11,18,13,8,12,10,10,4,7,4,4,4,2,4,4,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
