# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 22:22:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2f07b7d7.json
# init = /tmp/RtmpC8O1hA/init-b41c24cb5dc37_2.json
# random
#   seed = 5052010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0499_rep050_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605312322-2-8d9f17.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0499_rep050_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605312322-2-53ae30.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.18883
# Diagonal elements of inverse mass matrix:
# 0.115475, 0.027238, 0.00623284, 0.00482946, 0.00821424, 0.00872793, 0.00828902
-524.533,0.998369,0.18883,4,31,0,527.54,0.724435,-0.998525,-0.931661,-0.838528,4.27517,0.695588,-0.483266,4.83465,2.73071,3.19804e-05,4.01178e-05,5.04613e-05,6.3689e-05,8.07376e-05,0.000102932,0.000132203,0.000171469,0.00022534,0.00030146,0.000413101,0.000583832,0.000854353,0.0012895,0.00198288,0.00305854,0.00467001,0.00699674,0.0102375,0.0146004,0.0202903,0.0266572,0.0334391,0.0404191,0.0473358,0.053845,0.059504,0.0637844,0.0661441,0.0662032,0.0639662,0.0598485,0.0544625,0.0484095,0.0421854,0.0361583,0.0305748,0.0255759,0.0212181,0.017496,0.0143643,0.0117573,0.00960317,0.00783201,0.00638068,0.00519421,0.00422586,0.00343645,0.00279347,0.00227009,0.00184427,0.0014979,0.00121616,0.000986897,0.000800139,0.000647689,0.000522828,0.000420055,0.000334883,0.000263675,0.000203512,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.92462,-13.7451,-25.3602,-11.6928,-21.7482,-16.9901,-44.9183,-33.5554,-52.5896,-25.3954,-19.2657,-27.1592,-27.1503,-32.9928,-45.055,-17.4615,-15.1403,-18.9941,-36.5183,-24.4131,-25.6627,-15.4116,-16.1831,-12.729,-17.7731,-18.5826,-14.5486,-10.109,-0,-5.46653,-0,-0,-0,-0,-6.50369,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,9,2,7,11,10,7,14,17,13,13,17,6,16,10,11,2,5,1,5,4,1,2,3,1,2,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0
-526.302,0.977578,0.18883,4,31,0,529.998,-0.820363,-2.36669,-1.01319,-0.606616,4.26242,0.453436,-0.686363,4.82065,2.35526,8.94412e-05,0.000117702,0.00015499,0.000204261,0.000269488,0.000356059,0.000471331,0.000625462,0.00083261,0.00111264,0.00149331,0.0020126,0.00272022,0.00367744,0.00495478,0.0066275,0.00876884,0.011441,0.0146841,0.0185048,0.0228664,0.0276568,0.0327105,0.0378174,0.0427366,0.0472134,0.0509985,0.053867,0.0556401,0.0562081,0.0555514,0.053746,0.0509454,0.0473526,0.0431945,0.0387023,0.034095,0.0295662,0.0252729,0.0213282,0.0178005,0.014717,0.0120722,0.00983851,0.00797502,0.0064356,0.00517384,0.00414618,0.0033135,0.00264168,0.00210159,0.00166872,0.0013227,0.00104673,0.000827055,0.0006525,0.000514003,0.000404261,0.000317408,0.000248743,0.000194516,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-8.94111,-12.663,-23.9383,-11.3343,-21.5273,-17.1003,-45.8498,-34.6797,-54.9554,-26.7836,-20.4487,-28.8885,-28.7869,-34.6853,-46.7758,-17.862,-15.2507,-18.8523,-35.7704,-23.6502,-24.6479,-14.7121,-15.3909,-12.0856,-16.875,-17.6674,-13.8644,-9.66288,-0,-5.26414,-0,-0,-0,-0,-6.3957,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,1,3,4,4,4,8,10,7,10,6,6,13,8,15,7,10,6,6,12,8,11,8,6,0,2,3,2,3,4,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0
-523.882,0.989001,0.18883,4,15,0,528.326,-0.52499,-1.66171,-0.693443,-0.668319,4.15447,0.6849,-0.496714,4.75167,2.34282,3.25766e-05,4.22589e-05,5.48838e-05,7.13912e-05,9.30535e-05,0.000121618,0.000159528,0.00021028,0.00027903,0.000373672,0.000506808,0.00069929,0.000985954,0.00142308,0.00209564,0.00312168,0.00465121,0.00685735,0.00991859,0.0139918,0.0191789,0.0254001,0.0324498,0.0399925,0.0475782,0.0546751,0.0607155,0.0651527,0.0675422,0.0676528,0.0655571,0.0615974,0.056263,0.0500818,0.0435522,0.0370994,0.0310472,0.0256059,0.0208773,0.0168754,0.0135546,0.0108376,0.00863676,0.00686618,0.00544865,0.00431771,0.00341769,0.00270283,0.00213586,0.00168672,0.00133126,0.00105016,0.000827986,0.000652467,0.000513825,0.000404292,0.000317705,0.000249184,0.000194882,0.000151776,0.000117506,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.96487,-13.84,-25.6157,-11.8618,-22.038,-17.1403,-45.0669,-33.4992,-52.3142,-25.214,-19.1172,-26.95,-26.9337,-32.698,-44.5942,-17.2663,-14.9705,-18.8028,-36.2357,-24.3057,-25.6545,-15.4764,-16.3276,-12.9031,-18.0989,-19.0069,-14.9434,-10.4248,-0,-5.67879,-0,-0,-0,-0,-6.85882,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,4,2,4,4,7,10,9,9,12,17,17,9,9,13,13,12,10,5,5,6,2,4,4,2,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-524.66,0.997547,0.18883,4,31,0,526.123,-0.0768541,-1.45455,-0.978091,-0.883339,4.59924,0.573577,-0.555316,5.27354,2.83549,6.50182e-05,8.07183e-05,0.000100445,0.000125363,0.000157053,0.000197705,0.000250438,0.000319826,0.000412822,0.000540336,0.000719829,0.000978971,0.00135963,0.00192083,0.0027396,0.00390923,0.00553483,0.0077262,0.0105883,0.0142097,0.0186497,0.0237348,0.0292781,0.0350638,0.0408412,0.0463265,0.05121,0.0551706,0.0579025,0.0591638,0.0588482,0.0570361,0.053969,0.0499702,0.0453752,0.0404923,0.0355833,0.030854,0.0264517,0.0224676,0.0189432,0.015881,0.0132571,0.0110315,0.0091579,0.00758905,0.00628048,0.00519209,0.00428871,0.00354006,0.00292033,0.00240774,0.00198395,0.00163357,0.00134375,0.00110377,0.000904732,0.00073927,0.000601342,0.00048602,0.000389313,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.72628,-13.644,-25.523,-11.9458,-22.4449,-17.6546,-46.9082,-35.1787,-55.2968,-26.7464,-20.2813,-28.4899,-28.2745,-33.9935,-45.8251,-17.5161,-14.9816,-18.5567,-35.2731,-23.3512,-24.3494,-14.5297,-15.1827,-11.8989,-16.5705,-17.2929,-13.521,-9.38628,-0,-5.07031,-0,-0,-0,-0,-6.02907,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,5,1,5,6,5,5,10,12,11,13,9,16,13,9,12,5,11,9,5,8,3,1,3,2,2,2,1,2,4,1,1,0,0,1,0,0,0,0,0,0,0,0
-523.988,0.997069,0.18883,4,15,0,527.152,-0.574026,-1.41703,-0.904674,-0.691597,4.233,0.87219,-0.534312,4.78688,2.40165,3.34082e-05,4.31118e-05,5.57093e-05,7.21154e-05,9.357e-05,0.000121781,0.000159146,0.000209127,0.000276885,0.000370449,0.000502902,0.000696305,0.000987546,0.00143477,0.00212267,0.00316544,0.00470591,0.0069093,0.0099498,0.0139892,0.0191484,0.0253068,0.0322414,0.0396271,0.04705,0.0540288,0.06004,0.0645515,0.067081,0.0673178,0.0652905,0.0613753,0.0561077,0.0500301,0.0436258,0.0372927,0.0313327,0.0259473,0.0212419,0.0172397,0.013904,0.0111638,0.00893521,0.00713506,0.00568781,0.00452813,0.00360113,0.00286148,0.00227214,0.00180308,0.00143009,0.00113371,0.000898317,0.000711439,0.000563092,0.000445304,0.000351726,0.000277302,0.00021802,0.000170705,0.000132854,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.94977,-13.8306,-25.6168,-11.8666,-22.0601,-17.1725,-45.1954,-33.622,-52.5283,-25.3147,-19.182,-27.0185,-26.9833,-32.7469,-44.652,-17.2829,-14.9756,-18.7926,-36.1785,-24.2416,-25.5618,-15.4071,-16.2422,-12.8267,-17.9803,-18.871,-14.8282,-10.3389,-0,-5.62651,-0,-0,-0,-0,-6.78226,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,4,4,8,8,8,12,12,13,14,12,15,19,9,8,6,12,5,3,4,1,6,2,3,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-526.115,0.990747,0.18883,4,15,0,528.445,-0.272492,-1.624,-0.636427,-0.704921,4.28165,0.417983,-0.838439,4.88442,2.45778,2.18857e-05,2.8211e-05,3.64367e-05,4.71826e-05,6.13054e-05,8.00132e-05,0.000105054,0.00013904,0.000186023,0.00025256,0.000349722,0.000496718,0.000726829,0.00109533,0.00168731,0.00262186,0.00404966,0.00614246,0.00907474,0.012999,0.0180165,0.024073,0.0309923,0.0384676,0.0460705,0.0532798,0.0595307,0.0642799,0.0670866,0.0677003,0.0661252,0.0626156,0.0576026,0.0516006,0.0451248,0.0386299,0.0324696,0.0268803,0.0219848,0.0178139,0.0143342,0.0114761,0.00915463,0.00728384,0.00578457,0.00458769,0.0036348,0.00287765,0.00227687,0.00180068,0.00142351,0.00112495,0.000888699,0.000701768,0.000553821,0.000436629,0.000343657,0.000269738,0.00021081,0.000163709,0.000125989,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.1851,-14.1068,-26.0573,-12.0494,-22.36,-17.3701,-45.6111,-33.8534,-52.7796,-25.3914,-19.2116,-27.0177,-26.9267,-32.5945,-44.3319,-17.1251,-14.8211,-18.5899,-35.791,-23.9921,-25.3145,-15.2696,-16.1111,-12.7353,-17.8699,-18.774,-14.7663,-10.3051,-0,-5.6172,-0,-0,-0,-0,-6.79002,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,2,5,3,8,6,8,7,14,13,14,11,10,13,15,14,12,6,9,5,2,3,2,1,0,1,4,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0
