# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-31 22:26:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2328a028f.json
# init = /tmp/RtmpC8O1hA/init-b41c276cc93dd_1.json
# random
#   seed = 5052011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0500_rep050_manuscript_default/prior_sensitivity_obspair_FAST-202605312326-1-67b870.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0500_rep050_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605312326-1-3a5cc7.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.063971
# Diagonal elements of inverse mass matrix:
# 0.166598, 0.110462, 0.204654, 0.0793331, 0.212152, 0.237537, 0.188079
-525.362,0.999992,0.063971,5,31,0,526.531,-1.3009,-0.801812,-1.28753,0.236148,3.89586,-0.461864,0.723059,4.69039,2.16731,3.2381e-06,5.91188e-06,1.06886e-05,1.90914e-05,3.36008e-05,5.81183e-05,9.85537e-05,0.000163517,0.000265092,0.000419665,0.000648821,0.000980297,0.00144894,0.00209754,0.00297717,0.00414674,0.00567139,0.00762013,0.0100761,0.013356,0.0213738,0.0281028,0.0346245,0.0411423,0.0475057,0.0534197,0.0585271,0.0624519,0.0648433,0.0654347,0.0641094,0.0609549,0.0562744,0.0505385,0.0442835,0.0379988,0.032048,0.0266473,0.0218875,0.0177761,0.0142753,0.0113285,0.00887509,0.0068561,0.00521653,0.00390513,0.00287393,0.00207803,0.00147583,0.0010295,0.00070556,0.000475304,0.000314946,0.000205443,0.000132051,8.37185e-05,5.24056e-05,3.2423e-05,1.98463e-05,1.20301e-05,7.22784e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.75392,-13.7928,-25.8947,-11.5368,-21.4313,-16.816,-44.6701,-33.516,-52.7324,-25.5444,-19.4135,-27.3578,-27.267,-32.966,-44.7619,-17.2651,-14.9251,-18.7029,-35.9722,-24.0836,-25.3755,-15.2874,-16.1196,-12.7477,-17.9217,-18.898,-14.9479,-10.5118,-0,-5.85208,-0,-0,-0,-0,-7.65156,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,3,4,3,10,6,10,11,9,12,11,18,16,11,12,8,8,4,5,3,4,7,2,5,3,1,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-523.171,0.985678,0.063971,6,63,0,527.823,-1.57859,-2.3044,-1.97498,0.0354324,5.12056,0.741934,-0.147279,5.00871,2.02385,5.20216e-06,8.73725e-06,1.46791e-05,2.46734e-05,4.15002e-05,6.98557e-05,0.000117621,0.00019767,0.000329726,0.00054114,0.00086637,0.00134621,0.00202731,0.00296179,0.00420646,0.00582122,0.00786577,0.010394,0.0134457,0.0170359,0.0211471,0.0256387,0.030348,0.035101,0.0397254,0.0440571,0.0479414,0.0512308,0.0537819,0.0554556,0.0561204,0.0556696,0.0540608,0.0513761,0.047832,0.0436983,0.0392192,0.0345911,0.0299686,0.0254759,0.0212158,0.0172754,0.0137281,0.0106312,0.00801926,0.00589731,0.00423729,0.00298363,0.00206547,0.00140988,0.000951273,0.00063567,0.000421333,0.000277336,0.000181461,0.00011811,7.65214e-05,4.9373e-05,3.17388e-05,2.03347e-05,1.29884e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.13305,-12.9273,-24.4346,-11.5688,-21.9819,-17.4751,-46.8934,-35.4834,-56.2008,-27.34,-20.7999,-29.2282,-28.9217,-34.5631,-46.2131,-17.5059,-14.8429,-18.2404,-34.4349,-22.6701,-23.5491,-14.0304,-14.6801,-11.559,-16.2339,-17.1532,-13.6319,-9.65182,-0,-5.46383,-0,-0,-0,-0,-7.36083,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,3,3,3,7,11,7,7,10,9,7,8,9,12,14,11,9,7,11,3,14,4,3,2,4,2,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-523.367,0.999298,0.063971,6,63,0,525.412,-1.4468,-1.48348,-1.71115,0.0398103,4.60152,0.738524,-0.100396,4.59297,1.89041,2.56032e-06,4.30967e-06,7.25634e-06,1.22234e-05,2.06061e-05,3.4778e-05,5.8796e-05,9.96055e-05,0.00016897,0.000286006,0.000479385,0.00078841,0.00126364,0.00196782,0.00297711,0.00438168,0.0062851,0.00880148,0.0120506,0.0161546,0.0212501,0.027058,0.0333117,0.0397385,0.0460624,0.052005,0.0572795,0.0615804,0.0645746,0.0659098,0.0652726,0.0625492,0.0580238,0.0523168,0.0460653,0.0397323,0.0336084,0.0278689,0.0226229,0.0179431,0.0138794,0.0104589,0.00767988,0.00550462,0.00386248,0.00266214,0.00180807,0.00121338,0.000806323,0.000531462,0.000347888,0.00022638,0.000146556,9.44524e-05,6.06292e-05,3.87788e-05,2.47232e-05,1.57159e-05,9.96339e-06,6.30081e-06,3.97534e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.46567,-13.2559,-24.7533,-11.5542,-21.6586,-17.0092,-45.1561,-33.8553,-53.2155,-25.7383,-19.5119,-27.3993,-27.1947,-32.7502,-44.3488,-17.0814,-14.7522,-18.4662,-35.4815,-23.7509,-25.0617,-15.1552,-16.0822,-12.8321,-18.2412,-19.4766,-15.6065,-11.1129,-0,-6.3155,-0,-0,-0,-0,-8.3933,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,3,0,3,2,4,3,11,7,8,13,16,13,17,11,14,18,11,11,2,8,1,5,4,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-523.415,0.99855,0.063971,6,63,0,525.003,-1.53275,-1.82896,-1.98693,-0.417906,4.59419,0.963871,-0.303174,5.04633,2.33729,3.85745e-05,5.36795e-05,7.47355e-05,0.000104121,0.000145199,0.000202755,0.000283657,0.000397879,0.000560033,0.000791427,0.00112175,0.00158899,0.00223826,0.00312087,0.00429362,0.00581781,0.00775721,0.0101747,0.013127,0.016657,0.0207878,0.0253735,0.0302453,0.0352192,0.0401044,0.0447076,0.0488332,0.0522817,0.0548485,0.0563287,0.0565441,0.0554234,0.0530924,0.0498202,0.045894,0.0415634,0.0370344,0.0324762,0.0280293,0.0238111,0.0199179,0.0164219,0.0133658,0.0107589,0.00858104,0.00679204,0.00534192,0.00417885,0.00325392,0.00252351,0.0019501,0.0015022,0.00115387,0.000883998,0.000675628,0.00051523,0.000392097,0.000297805,0.00022576,0.000170824,0.000129012,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.1757,-12.9993,-24.5696,-11.6202,-22.0443,-17.4921,-46.8463,-35.379,-55.937,-27.1741,-20.6578,-29.0318,-28.7655,-34.4728,-46.284,-17.6143,-14.9967,-18.4885,-34.9859,-23.0714,-23.9907,-14.298,-14.9504,-11.7484,-16.4365,-17.2602,-13.5961,-9.5164,-0,-5.23217,-0,-0,-0,-0,-6.50082,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,2,1,0,7,2,3,5,6,7,7,7,7,7,10,14,12,7,12,10,13,6,6,8,4,7,3,4,6,4,2,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
-527.629,0.983437,0.063971,6,63,0,530.573,0.456482,0.0293595,-1.95235,-0.0538225,2.85626,-0.997686,-2.95837,4.34376,2.71296,3.67497e-06,5.42321e-06,7.96842e-06,1.16795e-05,1.71188e-05,2.5164e-05,3.72187e-05,5.55766e-05,8.40551e-05,0.000129097,0.000201675,0.000320554,0.000517772,0.000847675,0.00140137,0.00232914,0.00387382,0.00641866,0.0105526,0.0171551,0.0275003,0.0378841,0.0467435,0.0536137,0.0585245,0.0616791,0.0633025,0.0635867,0.0626831,0.0607173,0.0578087,0.0540876,0.0497059,0.0448396,0.0396836,0.0344394,0.0293005,0.0244369,0.019982,0.0160264,0.0126153,0.00975394,0.0074147,0.0055476,0.0040899,0.00297464,0.00213697,0.0015182,0.00106793,0.000744622,0.000515212,0.000354116,0.000242012,0.000164607,0.000111513,7.52956e-05,5.06996e-05,3.40512e-05,2.28049e-05,1.52079e-05,1.0059e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-10.0971,-13.6541,-24.3928,-10.7807,-19.6393,-15.3154,-40.9633,-31.2214,-50.1446,-24.8385,-19.2875,-27.6966,-28.0153,-34.2074,-46.6744,-18.0098,-15.5233,-19.3609,-37.0541,-24.711,-25.9816,-15.6517,-16.5341,-13.1185,-18.5203,-19.6172,-15.5832,-10.9985,-0,-6.14836,-0,-0,-0,-0,-7.94589,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,6,5,7,11,11,14,12,12,11,19,17,8,12,11,9,5,2,5,1,6,0,1,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-523.623,0.993783,0.063971,6,63,0,528.67,-0.374966,-0.52058,-2.07259,-0.401755,3.3333,-0.856066,-0.787615,5.16354,2.95367,5.2149e-05,7.09933e-05,9.63458e-05,0.000130346,0.000175819,0.000236504,0.000317369,0.000425055,0.000568482,0.000759708,0.00101512,0.00135708,0.00181629,0.00243499,0.00327155,0.0044069,0.00595372,0.00806972,0.0109771,0.0149923,0.020572,0.0267071,0.0327857,0.0384324,0.0434143,0.047585,0.0508523,0.0531612,0.0544863,0.0548294,0.0542216,0.052724,0.0504295,0.0474597,0.04396,0.0400902,0.0360141,0.0318873,0.0278476,0.0240069,0.0204482,0.0172246,0.0143626,0.0118662,0.00972235,0.00790627,0.00638624,0.00512729,0.00409417,0.00325318,0.00257344,0.00202747,0.00159136,0.00124471,0.000970396,0.000754172,0.000584339,0.00045136,0.000347511,0.000266569,0.000203541,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-9.63927,-13.5358,-25.2013,-11.6515,-21.737,-17.0888,-45.624,-34.5066,-54.8143,-26.8095,-20.541,-29.0981,-29.0353,-34.9761,-47.0829,-17.9231,-15.2394,-18.7469,-35.3829,-23.2669,-24.1188,-14.324,-14.9177,-11.6696,-16.2457,-16.9725,-13.3022,-9.26666,-0,-5.05361,-0,-0,-0,-0,-6.20097,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,1,2,4,4,7,8,6,11,11,6,17,17,15,10,7,10,12,6,6,5,3,5,5,3,2,2,2,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0
