prior_scenario,accuracy,strength,n_successful_fits,failure_rate,median_bias_mean_gen,median_abs_error_mean_gen,rmse_mean_gen,coverage_mean_gen,median_ci_width_mean_gen,median_bias_sd_gen,median_abs_error_sd_gen,rmse_sd_gen,coverage_sd_gen,median_ci_width_sd_gen,median_test_lpd_per_pair,median_kl_true_to_postmean,median_tv_true_to_postmean,median_rmse_p_si,median_waic,median_looic,convergence_ok_rate,median_max_rhat,median_min_ess_bulk,median_min_ess_tail
accurate_moderate,accurate,moderate,50,0,-0.02660907977846616,0.10939907977846586,0.19832273792042177,0.94,0.8008304999999996,-0.037443947399629085,0.10425250000000008,0.15262121649967322,1,0.7014602499999999,-3.419021448321216,0.002172848196069962,0.02266973995379893,0.001075332325693652,1373.9695276953157,1374.0879450969428,1,1.0084386977330553,684.4556793906644,561.2219644393897
accurate_strong,accurate,strong,50,0,9.359202215342144e-4,0.09971249999999987,0.18945103872099286,0.94,0.7789260000000002,-0.033448947399629114,0.06167999999999996,0.08858809508041321,1,0.4996949999999998,-3.416806084130058,0.0015800510299672477,0.021315712595350422,0.0010021180265291168,1372.6790184969732,1372.7648821449134,1,1.0073881034590078,734.7463940160035,598.5951722716862
accurate_weak,accurate,weak,50,0,-0.022471579778466033,0.11233657977846567,0.20377757115041545,0.94,0.8171397499999999,-0.05282894739962907,0.12288894739962908,0.19591069149513896,1,0.7936719999999999,-3.4198223985872565,0.0034894910379992157,0.024421484217994026,0.0011869081494204803,1376.106788061438,1376.0677038888919,1,1.0096551289204143,500.2624229055811,379.16208360102297
badly_wrong_moderate,badly_wrong,moderate,50,0,0.04790092022153436,0.13847499999999968,0.21870259607337614,0.94,0.80537225,5.935526003706393e-4,0.10407750000000027,0.15913428694419157,1,0.7822245,-3.418951164643529,0.0028422822364335123,0.023341203381454886,0.001095801486233256,1374.3868541183558,1374.5831189342848,1,1.0086100584941873,665.8528433836657,558.0646701714218
badly_wrong_strong,badly_wrong,strong,50,0,0.12950342022153416,0.1450849999999999,0.23028261185495325,0.92,0.7565095,0.15343605260037085,0.15343605260037085,0.18598128928670232,0.98,0.65723825,-3.4178829545981424,0.0037124526723490824,0.02556247559350658,0.0010794991309931493,1373.2296884624652,1373.2392734484351,1,1.008882472624654,662.1154893883077,540.0211872927766
badly_wrong_weak,badly_wrong,weak,50,0,0.012588420221534502,0.12153592022153381,0.2136497560469548,0.92,0.8223777499999998,-0.03505644739962932,0.13078999999999996,0.20605358798432663,0.96,0.8531839999999997,-3.4200019054895243,0.003185727677702528,0.02586957934874185,0.0012575536404219397,1377.1449895224237,1377.258350781937,1,1.0095900803326017,516.2268222908598,384.4935637539664
manuscript_default,manuscript_default,default,50,0,-0.01847657977846584,0.11211500000000019,0.20654738697158195,0.96,0.8259962500000002,-0.040293947399629326,0.12204644739962922,0.19533740636782698,0.98,0.8030264999999999,-3.4197550548468394,0.0034335071277107184,0.025407756866065247,0.0012389597311142182,1376.2165074802426,1376.4258272720028,1,1.0104014809527995,452.2604720516093,370.42463516037583
mildly_wrong_moderate,mildly_wrong,moderate,50,0,-0.005699079778466398,0.11675249999999959,0.20412336092232453,0.94,0.8191879999999996,-0.03845394739962926,0.10514000000000023,0.15553620391533068,1,0.73932175,-3.4190447110718845,0.0022091398016336667,0.02312314031045736,0.00105703401189938,1374.6707079661314,1374.7499674741825,1,1.009165589829328,654.8320175740447,596.8643339761902
mildly_wrong_strong,mildly_wrong,strong,50,0,0.021248420221533948,0.11086250000000009,0.208825648519288,0.94,0.8260137499999995,0.0016835526003711188,0.0592885526003708,0.08173816661617328,1,0.5612482499999998,-3.417222457420108,0.002059908707892996,0.022077720167704647,0.0010050382441289878,1373.519986208505,1373.5605185004897,1,1.0082727074638806,669.3501395268695,564.0112086595087
mildly_wrong_weak,mildly_wrong,weak,50,0,-0.0026140797784659497,0.11614342022153412,0.20885343684711538,0.94,0.8226527499999996,-0.04455144739962913,0.13352500000000012,0.2026324755621081,0.98,0.8028057499999999,-3.419760196373624,0.003226555741833096,0.025508299232332915,0.0012210818341989748,1375.938424153162,1376.03944926216,1,1.0098332854086394,511.0164022409339,386.3171922437143
